timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,dataQLiquidStg1
3803.612,113.66,53.13,50,60,
3803.612,113.66,53.13,50,60,
3803.612,113.66,53.13,50,60,
3803.612,113.66,53.13,50,60,
3803.762,113.62,53.46,50,60,
3803.762,113.62,53.46,50,60,
3803.762,113.62,53.46,50,60,
3803.762,113.62,53.46,50,60,
3803.912,113.69,53.79,50,60,
3803.912,113.69,53.79,50,60,
3803.912,113.69,53.79,50,60,
3803.912,113.69,53.79,50,60,
3804.062,113.72,54.11,50,60,54.27
3804.062,113.72,54.11,50,60,54.27
3804.062,113.72,54.11,50,60,54.27
3804.062,113.72,54.11,50,60,54.27
3804.062,113.72,54.11,50,60,54.27
3804.212,113.75,54.44,50,60,
3804.212,113.75,54.44,50,60,
3804.212,113.75,54.44,50,60,
3804.212,113.75,54.44,50,60,
3804.362,113.71,54.76,50,60,
3804.362,113.71,54.76,50,60,
3804.362,113.71,54.76,50,60,
3804.362,113.71,54.76,50,60,
3804.512,113.71,55.08,50,60,
3804.512,113.71,55.08,50,60,
3804.512,113.71,55.08,50,60,
3804.512,113.71,55.08,50,60,
3804.662,113.74,55.4,50,60,
3804.662,113.74,55.4,50,60,
3804.662,113.74,55.4,50,60,
3804.662,113.74,55.4,50,60,
3804.812,113.75,55.71,50,60,
3804.812,113.75,55.71,50,60,
3804.812,113.75,55.71,50,60,
3804.812,113.75,55.71,50,60,
3804.962,113.79,56.03,50,60,
3804.962,113.79,56.03,50,60,
3804.962,113.79,56.03,50,60,
3804.962,113.79,56.03,50,60,
3805.112,113.7,56.34,50,60,54.6
3805.112,113.7,56.34,50,60,54.6
3805.112,113.7,56.34,50,60,54.6
3805.112,113.7,56.34,50,60,54.6
3805.112,113.7,56.34,50,60,54.6
3805.262,113.07,56.65,50,60,
3805.262,113.07,56.65,50,60,
3805.262,113.07,56.65,50,60,
3805.262,113.07,56.65,50,60,
3805.412,111.87,56.95,50,60,
3805.412,111.87,56.95,50,60,
3805.412,111.87,56.95,50,60,
3805.412,111.87,56.95,50,60,
3805.562,110.16,57.24,50,60,
3805.562,110.16,57.24,50,60,
3805.562,110.16,57.24,50,60,
3805.562,110.16,57.24,50,60,
3805.712,108.28,57.52,50,60,
3805.712,108.28,57.52,50,60,
3805.712,108.28,57.52,50,60,
3805.712,108.28,57.52,50,60,
3805.862,106.29,57.78,50,60,
3805.862,106.29,57.78,50,60,
3805.862,106.29,57.78,50,60,
3805.862,106.29,57.78,50,60,
3806.012,104.31,58.04,50,60,51.46
3806.012,104.31,58.04,50,60,51.46
3806.012,104.31,58.04,50,60,51.46
3806.012,104.31,58.04,50,60,51.46
3806.012,104.31,58.04,50,60,51.46
3806.162,102.13,58.28,50,60,
3806.162,102.13,58.28,50,60,
3806.162,102.13,58.28,50,60,
3806.162,102.13,58.28,50,60,
3806.312,100.22,58.5,50,60,
3806.312,100.22,58.5,50,60,
3806.312,100.22,58.5,50,60,
3806.312,100.22,58.5,50,60,
3806.462,98.28,58.72,50,60,
3806.462,98.28,58.72,50,60,
3806.462,98.28,58.72,50,60,
3806.462,98.28,58.72,50,60,
3806.612,96.49,58.92,50,60,
3806.612,96.49,58.92,50,60,
3806.612,96.49,58.92,50,60,
3806.612,96.49,58.92,50,60,
3806.762,94.82,59.11,50,60,
3806.762,94.82,59.11,50,60,
3806.762,94.82,59.11,50,60,
3806.762,94.82,59.11,50,60,
3806.912,93.05,59.29,50,60,
3806.912,93.05,59.29,50,60,
3806.912,93.05,59.29,50,60,
3806.912,93.05,59.29,50,60,
3807.062,91.11,59.46,50,60,51.39
3807.062,91.11,59.46,50,60,51.39
3807.062,91.11,59.46,50,60,51.39
3807.062,91.11,59.46,50,60,51.39
3807.062,91.11,59.46,50,60,51.39
3807.212,89.41,59.62,50,60,
3807.212,89.41,59.62,50,60,
3807.212,89.41,59.62,50,60,
3807.212,89.41,59.62,50,60,
3807.362,87.73,59.77,50,60,
3807.362,87.73,59.77,50,60,
3807.362,87.73,59.77,50,60,
3807.362,87.73,59.77,50,60,
3807.512,86.1,59.9,50,60,
3807.512,86.1,59.9,50,60,
3807.512,86.1,59.9,50,60,
3807.512,86.1,59.9,50,60,
3807.662,84.54,60.03,50,60,
3807.662,84.54,60.03,50,60,
3807.662,84.54,60.03,50,60,
3807.662,84.54,60.03,50,60,
3807.814,82.97,60.15,50,60,
3807.814,82.97,60.15,50,60,
3807.814,82.97,60.15,50,60,
3807.814,82.97,60.15,50,60,
3807.965,81.46,60.26,50,60,
3807.965,81.46,60.26,50,60,
3807.965,81.46,60.26,50,60,
3807.965,81.46,60.26,50,60,
3808.114,79.92,60.35,50,60,
3808.114,79.92,60.35,50,60,
3808.114,79.92,60.35,50,60,
3808.114,79.92,60.35,50,60,
3808.164,,,,,52.01
3808.261,78.47,60.44,60,60,
3808.261,78.47,60.44,60,60,
3808.261,78.47,60.44,60,60,
3808.261,78.47,60.44,60,60,
3808.411,77.04,60.52,60,60,
3808.411,77.04,60.52,60,60,
3808.411,77.04,60.52,60,60,
3808.411,77.04,60.52,60,60,
3808.561,75.64,60.59,60,60,
3808.561,75.64,60.59,60,60,
3808.561,75.64,60.59,60,60,
3808.561,75.64,60.59,60,60,
3808.711,74.27,60.66,60,60,
3808.711,74.27,60.66,60,60,
3808.711,74.27,60.66,60,60,
3808.711,74.27,60.66,60,60,
3808.861,72.94,60.71,60,60,
3808.861,72.94,60.71,60,60,
3808.861,72.94,60.71,60,60,
3808.861,72.94,60.71,60,60,
3809.011,71.6,60.76,60,60,
3809.011,71.6,60.76,60,60,
3809.011,71.6,60.76,60,60,
3809.011,71.6,60.76,60,60,
3809.161,70.43,60.8,60,60,55
3809.161,70.43,60.8,60,60,55
3809.161,70.43,60.8,60,60,55
3809.161,70.43,60.8,60,60,55
3809.161,70.43,60.8,60,60,55
3809.311,69.04,60.83,60,60,
3809.311,69.04,60.83,60,60,
3809.311,69.04,60.83,60,60,
3809.311,69.04,60.83,60,60,
3809.461,67.82,60.85,60,60,
3809.461,67.82,60.85,60,60,
3809.461,67.82,60.85,60,60,
3809.461,67.82,60.85,60,60,
3809.611,66.61,60.87,60,60,
3809.611,66.61,60.87,60,60,
3809.611,66.61,60.87,60,60,
3809.611,66.61,60.87,60,60,
3809.761,65.43,60.87,60,60,
3809.761,65.43,60.87,60,60,
3809.761,65.43,60.87,60,60,
3809.761,65.43,60.87,60,60,
3809.912,64.25,60.87,60,60,
3809.912,64.25,60.87,60,60,
3809.912,64.25,60.87,60,60,
3809.912,64.25,60.87,60,60,
3810.062,63.23,60.87,60,60,
3810.062,63.23,60.87,60,60,
3810.062,63.23,60.87,60,60,
3810.062,63.23,60.87,60,60,
3810.172,,,,,52.1
3810.212,62.11,60.86,60,60,
3810.212,62.11,60.86,60,60,
3810.212,62.11,60.86,60,60,
3810.212,62.11,60.86,60,60,
3810.361,61.03,60.84,60,60,
3810.361,61.03,60.84,60,60,
3810.361,61.03,60.84,60,60,
3810.361,61.03,60.84,60,60,
3810.511,59.95,60.81,60,60,
3810.511,59.95,60.81,60,60,
3810.511,59.95,60.81,60,60,
3810.511,59.95,60.81,60,60,
3810.661,58.9,60.78,60,60,
3810.661,58.9,60.78,60,60,
3810.661,58.9,60.78,60,60,
3810.661,58.9,60.78,60,60,
3810.811,58.06,60.75,60,60,
3810.811,58.06,60.75,60,60,
3810.811,58.06,60.75,60,60,
3810.811,58.06,60.75,60,60,
3810.961,57.37,60.71,60,60,
3810.961,57.37,60.71,60,60,
3810.961,57.37,60.71,60,60,
3810.961,57.37,60.71,60,60,
3811.111,56.84,60.66,60,60,52.74
3811.111,56.84,60.66,60,60,52.74
3811.111,56.84,60.66,60,60,52.74
3811.111,56.84,60.66,60,60,52.74
3811.111,56.84,60.66,60,60,52.74
3811.261,56.49,60.62,60,60,
3811.261,56.49,60.62,60,60,
3811.261,56.49,60.62,60,60,
