timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,dataQLiquidStg1
411.448,59.79,59.79,70,
411.598,60.07,60.07,70,
411.598,60.07,60.07,70,
411.598,60.07,60.07,70,
411.748,60.36,60.36,70,
411.748,60.36,60.36,70,
411.748,60.36,60.36,70,
411.897,60.6,60.6,70,
411.897,60.6,60.6,70,
411.897,60.6,60.6,70,
412.048,60.82,60.82,70,
412.048,60.82,60.82,70,
412.048,60.82,60.82,70,
412.198,61.05,61.05,70,
412.198,61.05,61.05,70,
412.198,61.05,61.05,70,
412.348,61.23,61.23,70,39.91
412.348,61.23,61.23,70,39.91
412.348,61.23,61.23,70,39.91
412.348,61.23,61.23,70,39.91
412.499,61.44,61.44,70,
412.499,61.44,61.44,70,
412.499,61.44,61.44,70,
412.648,61.58,61.58,70,
412.648,61.58,61.58,70,
412.648,61.58,61.58,70,
412.8,61.73,61.73,70,
412.8,61.73,61.73,70,
412.8,61.73,61.73,70,
412.949,61.9,61.9,70,
412.949,61.9,61.9,70,
412.949,61.9,61.9,70,
413.1,62.04,62.04,70,
413.1,62.04,62.04,70,
413.1,62.04,62.04,70,
413.249,62.14,62.14,70,
413.249,62.14,62.14,70,
413.249,62.14,62.14,70,
413.4,62.27,62.27,70,40.52
413.4,62.27,62.27,70,40.52
413.4,62.27,62.27,70,40.52
413.4,62.27,62.27,70,40.52
413.551,62.38,62.38,70,
413.551,62.38,62.38,70,
413.551,62.38,62.38,70,
413.701,62.49,62.49,70,
413.701,62.49,62.49,70,
413.701,62.49,62.49,70,
413.85,62.6,62.6,70,
413.85,62.6,62.6,70,
413.85,62.6,62.6,70,
414,62.7,62.7,70,
414,62.7,62.7,70,
414,62.7,62.7,70,
414.15,62.8,62.8,70,
414.15,62.8,62.8,70,
414.15,62.8,62.8,70,
414.3,62.88,62.88,70,41.2
414.3,62.88,62.88,70,41.2
414.3,62.88,62.88,70,41.2
414.3,62.88,62.88,70,41.2
414.451,62.94,62.94,70,
414.451,62.94,62.94,70,
414.451,62.94,62.94,70,
414.601,63,63,70,
414.601,63,63,70,
414.601,63,63,70,
414.751,63.08,63.08,70,
414.751,63.08,63.08,70,
414.751,63.08,63.08,70,
414.901,63.14,63.14,70,
414.901,63.14,63.14,70,
414.901,63.14,63.14,70,
415.05,63.21,63.21,70,
415.05,63.21,63.21,70,
415.05,63.21,63.21,70,
415.2,63.26,63.26,70,
415.2,63.26,63.26,70,
415.2,63.26,63.26,70,
415.351,63.31,63.31,70,41.96
415.351,63.31,63.31,70,41.96
415.351,63.31,63.31,70,41.96
415.351,63.31,63.31,70,41.96
415.5,63.35,63.35,70,
415.5,63.35,63.35,70,
415.5,63.35,63.35,70,
415.651,63.41,63.41,70,
415.651,63.41,63.41,70,
415.651,63.41,63.41,70,
415.8,63.46,63.46,70,
415.8,63.46,63.46,70,
415.8,63.46,63.46,70,
415.952,63.52,63.52,70,
415.952,63.52,63.52,70,
415.952,63.52,63.52,70,
416.102,63.55,63.55,70,
416.102,63.55,63.55,70,
416.102,63.55,63.55,70,
416.252,63.59,63.59,70,
416.252,63.59,63.59,70,
416.252,63.59,63.59,70,
416.402,63.63,63.63,70,42.68
416.402,63.63,63.63,70,42.68
416.402,63.63,63.63,70,42.68
416.402,63.63,63.63,70,42.68
416.551,63.64,63.64,70,
416.551,63.64,63.64,70,
416.551,63.64,63.64,70,
416.702,63.68,63.68,70,
416.702,63.68,63.68,70,
416.702,63.68,63.68,70,
416.853,63.7,63.7,70,
416.853,63.7,63.7,70,
416.853,63.7,63.7,70,
417.002,63.74,63.74,70,
417.002,63.74,63.74,70,
417.002,63.74,63.74,70,
417.153,63.75,63.75,70,
417.153,63.75,63.75,70,
417.153,63.75,63.75,70,
417.303,63.78,63.78,70,
417.303,63.78,63.78,70,
417.303,63.78,63.78,70,
417.453,63.81,63.81,70,42.94
417.453,63.81,63.81,70,42.94
417.453,63.81,63.81,70,42.94
417.453,63.81,63.81,70,42.94
417.602,63.83,63.83,70,
417.602,63.83,63.83,70,
417.602,63.83,63.83,70,
417.752,63.85,63.85,70,
417.752,63.85,63.85,70,
417.752,63.85,63.85,70,
417.902,63.87,63.87,70,
417.902,63.87,63.87,70,
417.902,63.87,63.87,70,
418.052,63.9,63.9,70,
418.052,63.9,63.9,70,
418.052,63.9,63.9,70,
418.204,63.92,63.92,70,
418.204,63.92,63.92,70,
418.204,63.92,63.92,70,
418.353,63.94,63.94,70,43.3
418.353,63.94,63.94,70,43.3
418.353,63.94,63.94,70,43.3
418.353,63.94,63.94,70,43.3
418.504,63.97,63.97,70,
418.504,63.97,63.97,70,
418.504,63.97,63.97,70,
418.653,63.98,63.98,70,
418.653,63.98,63.98,70,
418.653,63.98,63.98,70,
418.804,64,64,70,
418.804,64,64,70,
418.804,64,64,70,
418.954,64.03,64.03,70,
418.954,64.03,64.03,70,
418.954,64.03,64.03,70,
419.104,64.04,64.04,70,
419.104,64.04,64.04,70,
419.104,64.04,64.04,70,
419.254,64.05,64.05,70,
419.254,64.05,64.05,70,
419.254,64.05,64.05,70,
419.403,64.06,64.06,70,43.59
419.403,64.06,64.06,70,43.59
419.403,64.06,64.06,70,43.59
419.403,64.06,64.06,70,43.59
419.554,64.08,64.08,70,
419.554,64.08,64.08,70,
419.554,64.08,64.08,70,
419.703,64.07,64.07,70,
419.703,64.07,64.07,70,
419.703,64.07,64.07,70,
419.853,64.09,64.09,70,
419.853,64.09,64.09,70,
419.853,64.09,64.09,70,
420.005,64.11,64.11,70,
420.005,64.11,64.11,70,
420.005,64.11,64.11,70,
420.154,64.13,64.13,70,
420.154,64.13,64.13,70,
420.154,64.13,64.13,70,
420.305,64.15,64.15,70,
420.305,64.15,64.15,70,
420.305,64.15,64.15,70,
420.455,64.15,64.15,70,
420.455,64.15,64.15,70,
420.455,64.15,64.15,70,
420.465,,,,44
420.604,64.15,64.15,70,
420.604,64.15,64.15,70,
420.604,64.15,64.15,70,
420.755,64.16,64.16,70,
420.755,64.16,64.16,70,
420.755,64.16,64.16,70,
420.904,64.17,64.17,70,
420.904,64.17,64.17,70,
420.904,64.17,64.17,70,
421.054,64.19,64.19,70,
421.054,64.19,64.19,70,
421.054,64.19,64.19,70,
421.205,64.2,64.2,70,
421.205,64.2,64.2,70,
421.205,64.2,64.2,70,
421.354,64.2,64.2,70,
421.354,64.2,64.2,70,
421.354,64.2,64.2,70,
421.505,64.21,64.21,70,44.25
421.505,64.21,64.21,70,44.25
421.505,64.21,64.21,70,44.25
421.505,64.21,64.21,70,44.25
421.655,64.24,64.24,70,
421.655,64.24,64.24,70,
421.655,64.24,64.24,70,
421.804,64.24,64.24,70,
421.804,64.24,64.24,70,
421.804,64.24,64.24,70,
421.955,64.25,64.25,70,
421.955,64.25,64.25,70,
421.955,64.25,64.25,70,
422.105,64.26,64.26,70,
422.105,64.26,64.26,70,
422.105,64.26,64.26,70,
422.255,64.27,64.27,70,
422.255,64.27,64.27,70,
422.255,64.27,64.27,70,
422.404,64.28,64.28,70,44.62
422.404,64.28,64.28,70,44.62
422.404,64.28,64.28,70,44.62
422.404,64.28,64.28,70,44.62
422.555,64.27,64.27,70,
422.555,64.27,64.27,70,
422.555,64.27,64.27,70,
422.706,64.29,64.29,70,
422.706,64.29,64.29,70,
422.706,64.29,64.29,70,
422.855,64.28,64.28,70,
422.855,64.28,64.28,70,
422.855,64.28,64.28,70,
423.004,64.3,64.3,70,
423.004,64.3,64.3,70,
423.004,64.3,64.3,70,
423.155,64.3,64.3,70,
423.155,64.3,64.3,70,
423.155,64.3,64.3,70,
423.304,64.31,64.31,70,
423.304,64.31,64.31,70,
423.304,64.31,64.31,70,
423.454,64.33,64.33,70,44.91
423.454,64.33,64.33,70,44.91
423.454,64.33,64.33,70,44.91
423.454,64.33,64.33,70,44.91
423.605,64.33,64.33,70,
423.605,64.33,64.33,70,
423.605,64.33,64.33,70,
423.755,64.34,64.34,70,
423.755,64.34,64.34,70,
423.755,64.34,64.34,70,
423.905,64.34,64.34,70,
423.905,64.34,64.34,70,
423.905,64.34,64.34,70,
424.054,64.35,64.35,70,
424.054,64.35,64.35,70,
424.054,64.35,64.35,70,
424.204,64.36,64.36,70,
424.204,64.36,64.36,70,
424.204,64.36,64.36,70,
424.355,64.36,64.36,70,
424.355,64.36,64.36,70,
424.355,64.36,64.36,70,
424.505,64.36,64.36,70,45.22
424.505,64.36,64.36,70,45.22
424.505,64.36,64.36,70,45.22
424.505,64.36,64.36,70,45.22
424.655,64.37,64.37,70,
424.655,64.37,64.37,70,
424.655,64.37,64.37,70,
424.805,64.38,64.38,70,
424.805,64.38,64.38,70,
424.805,64.38,64.38,70,
424.957,64.37,64.37,70,
424.957,64.37,64.37,70,
424.957,64.37,64.37,70,
425.105,64.37,64.37,70,
425.105,64.37,64.37,70,
425.105,64.37,64.37,70,
425.254,64.39,64.39,70,
425.254,64.39,64.39,70,
425.254,64.39,64.39,70,
425.405,64.39,64.39,70,45.55
425.405,64.39,64.39,70,45.55
425.405,64.39,64.39,70,45.55
425.405,64.39,64.39,70,45.55
425.554,64.4,64.4,70,
425.554,64.4,64.4,70,
425.554,64.4,64.4,70,
425.704,64.41,64.41,70,
425.704,64.41,64.41,70,
425.704,64.41,64.41,70,
425.855,64.41,64.41,70,
425.855,64.41,64.41,70,
425.855,64.41,64.41,70,
426.005,64.42,64.42,70,
426.005,64.42,64.42,70,
426.005,64.42,64.42,70,
426.154,64.42,64.42,70,
426.154,64.42,64.42,70,
426.154,64.42,64.42,70,
426.304,64.42,64.42,70,
426.304,64.42,64.42,70,
426.304,64.42,64.42,70,
426.454,64.43,64.43,70,45.71
426.454,64.43,64.43,70,45.71
426.454,64.43,64.43,70,45.71
426.454,64.43,64.43,70,45.71
426.605,64.43,64.43,70,
426.605,64.43,64.43,70,
426.605,64.43,64.43,70,
426.755,64.45,64.45,70,
426.755,64.45,64.45,70,
426.755,64.45,64.45,70,
426.906,64.45,64.45,70,
426.906,64.45,64.45,70,
426.906,64.45,64.45,70,
427.056,64.46,64.46,70,
427.056,64.46,64.46,70,
427.056,64.46,64.46,70,
