timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC,PCR Output,Stage1 Error Time Ms,PCR Error Time Ms,PCR Target Rate,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
2918.411,74.91,25.07,62,,31.83,100,,,,,,,5850,,,,,,,,,,,,,,,
2918.411,74.91,25.07,62,,31.83,100,,,,,,,5850,,,,,,,,,,,,,,,
2918.561,75.74,25.26,62,26.39,31.79,100,,,,,,,6000,,,,,,,,,,,,,,,
2918.561,75.74,25.26,62,26.39,31.79,100,,,,,,,6000,,,,,,,,,,,,,,,
2918.561,75.74,25.26,62,26.39,31.79,100,,,,,,,6000,,,,,,,,,,,,,,,
2918.561,75.74,25.26,62,26.39,31.79,100,,,,,,,6000,,,,,,,,,,,,,,,
2918.561,75.74,25.26,62,26.39,31.79,100,,,,,,,6000,,,,,,,,,,,,,,,
2918.561,75.74,25.26,62,26.39,31.79,100,,,,,,,6000,,,,,,,,,,,,,,,
2918.561,75.74,25.26,62,26.39,31.79,100,,,,,,,6000,,,,,,,,,,,,,,,
2918.711,76.55,25.44,62,,31.75,100,,,,,,,6150,,,,,,,,,,,,,,,
2918.711,76.55,25.44,62,,31.75,100,,,,,,,6150,,,,,,,,,,,,,,,
2918.711,76.55,25.44,62,,31.75,100,,,,,,,6150,,,,,,,,,,,,,,,
2918.711,76.55,25.44,62,,31.75,100,,,,,,,6150,,,,,,,,,,,,,,,
2918.711,76.55,25.44,62,,31.75,100,,,,,,,6150,,,,,,,,,,,,,,,
2918.711,76.55,25.44,62,,31.75,100,,,,,,,6150,,,,,,,,,,,,,,,
2918.861,77.62,25.65,62,,31.7,100,,,,,,,6300,,,,,,,,,,,,,,,
2918.861,77.62,25.65,62,,31.7,100,,,,,,,6300,,,,,,,,,,,,,,,
2918.861,77.62,25.65,62,,31.7,100,,,,,,,6300,,,,,,,,,,,,,,,
2918.861,77.62,25.65,62,,31.7,100,,,,,,,6300,,,,,,,,,,,,,,,
2918.861,77.62,25.65,62,,31.7,100,,,,,,,6300,,,,,,,,,,,,,,,
2918.861,77.62,25.65,62,,31.7,100,,,,,,,6300,,,,,,,,,,,,,,,
2919.011,78.41,25.85,62,,31.67,100,,,,,,,6450,,,,,,,,,,,,,,,
2919.011,78.41,25.85,62,,31.67,100,,,,,,,6450,,,,,,,,,,,,,,,
2919.011,78.41,25.85,62,,31.67,100,,,,,,,6450,,,,,,,,,,,,,,,
2919.011,78.41,25.85,62,,31.67,100,,,,,,,6450,,,,,,,,,,,,,,,
2919.011,78.41,25.85,62,,31.67,100,,,,,,,6450,,,,,,,,,,,,,,,
2919.011,78.41,25.85,62,,31.67,100,,,,,,,6450,,,,,,,,,,,,,,,
2919.161,79.17,26.05,62,27.57,31.63,100,,,,,,,6600,,,,,,,,,,,,,,,
2919.161,79.17,26.05,62,27.57,31.63,100,,,,,,,6600,,,,,,,,,,,,,,,
2919.161,79.17,26.05,62,27.57,31.63,100,,,,,,,6600,,,,,,,,,,,,,,,
2919.161,79.17,26.05,62,27.57,31.63,100,,,,,,,6600,,,,,,,,,,,,,,,
2919.161,79.17,26.05,62,27.57,31.63,100,,,,,,,6600,,,,,,,,,,,,,,,
2919.161,79.17,26.05,62,27.57,31.63,100,,,,,,,6600,,,,,,,,,,,,,,,
2919.161,79.17,26.05,62,27.57,31.63,100,,,,,,,6600,,,,,,,,,,,,,,,
2919.311,80.2,26.27,62,,31.58,100,,,,,,,6750,,,,,,,,,,,,,,,
2919.311,80.2,26.27,62,,31.58,100,,,,,,,6750,,,,,,,,,,,,,,,
2919.311,80.2,26.27,62,,31.58,100,,,,,,,6750,,,,,,,,,,,,,,,
2919.311,80.2,26.27,62,,31.58,100,,,,,,,6750,,,,,,,,,,,,,,,
2919.311,80.2,26.27,62,,31.58,100,,,,,,,6750,,,,,,,,,,,,,,,
2919.311,80.2,26.27,62,,31.58,100,,,,,,,6750,,,,,,,,,,,,,,,
2919.461,80.96,26.48,62,,31.55,100,,,,,,,6900,,,,,,,,,,,,,,,
2919.461,80.96,26.48,62,,31.55,100,,,,,,,6900,,,,,,,,,,,,,,,
2919.461,80.96,26.48,62,,31.55,100,,,,,,,6900,,,,,,,,,,,,,,,
2919.461,80.96,26.48,62,,31.55,100,,,,,,,6900,,,,,,,,,,,,,,,
2919.461,80.96,26.48,62,,31.55,100,,,,,,,6900,,,,,,,,,,,,,,,
