,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
244,4721.366,70.81,76.54,70.0,68.09,42.37
245,4721.516,69.76,75.92,70.0,,42.6
246,4721.677,68.37,75.27,70.0,,42.9
247,4721.826,67.35,74.6,70.0,,43.11
248,4721.976,66.36,73.93,70.0,68.17,43.33
249,4722.126,65.3,73.25,70.0,,43.56
250,4722.276,64.76,72.62,70.0,,43.68
251,4722.426,64.49,72.05,70.0,,43.74
252,4722.576,64.39,71.56,70.0,68.27,43.78
253,4722.728,64.46,71.16,70.0,,43.77
254,4722.878,64.62,70.83,70.0,,43.76
255,4723.029,64.95,70.58,70.0,,43.71
256,4723.176,65.25,70.39,70.0,68.31,43.65
257,4723.329,65.57,70.27,70.0,,43.6
258,4723.472,66.04,70.2,70.0,,43.51
259,4723.62,66.38,70.17,70.0,,43.45
260,4843.384,,,,67.79,
261,4723.77,66.73,70.17,70.0,,43.38
262,4723.92,67.1,70.19,70.0,65.93,43.29
263,4724.07,67.33,70.23,70.0,,43.23
264,4724.22,67.5,70.27,70.0,,43.18
265,4724.37,67.68,70.31,70.0,,43.12
266,4724.52,67.76,70.34,70.0,63.65,43.07
267,4724.67,67.82,70.36,70.0,,43.03
268,4724.82,67.87,70.37,70.0,,42.98
269,4724.97,67.9,70.37,70.0,,42.96
270,4725.12,67.9,70.36,70.0,61.38,42.93
271,4850.025,,,,59.51,
272,4725.27,67.92,70.35,70.0,,42.89
273,4725.42,67.93,70.32,70.0,,42.83
274,4725.57,67.95,70.3,70.0,,42.78
275,4725.72,67.97,70.27,70.0,58.65,42.75
276,4725.87,67.99,70.24,70.0,,42.71
277,4726.02,68.02,70.21,70.0,,42.68
278,4726.169,68.04,70.17,70.0,,42.65
279,4726.32,68.09,70.14,70.0,57.91,42.6
280,4855.56,,,,57.46,
281,4726.47,68.1,70.11,70.0,,42.57
282,4726.62,68.13,70.08,70.0,,42.54
283,4726.77,68.2,70.05,70.0,,42.5
284,4726.92,68.23,70.03,70.0,57.85,42.47
285,4727.07,68.28,70.01,70.0,,42.45
286,4727.22,68.37,69.99,70.0,,42.41
287,4727.37,68.43,69.97,70.0,,42.38
288,4727.52,68.48,69.96,70.0,58.28,42.35
289,4727.67,68.53,69.95,70.0,,42.31
290,4727.82,68.57,69.93,70.0,,42.29
291,4862.2,,,,58.6,
292,4727.97,68.61,69.92,70.0,,42.27
293,4728.12,68.68,69.91,70.0,58.54,42.23
294,4728.27,68.73,69.9,70.0,,42.21
295,4728.42,68.78,69.89,70.0,,42.19
296,4728.57,68.84,69.89,70.0,,42.15
297,4728.72,68.9,69.88,70.0,58.55,42.13
298,4728.87,68.96,69.88,70.0,,42.11
299,4729.02,69.01,69.88,70.0,,42.08
300,4729.17,69.06,69.87,70.0,,42.05
301,4729.32,69.12,69.87,70.0,58.42,42.04
