timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Alternate1 Thermocouple TempC
532.311,76.4,27.32,62,,18.38,
532.461,77.06,27.53,62,19.87,18.37,20.38
532.461,77.06,27.53,62,19.87,18.37,20.38
532.461,77.06,27.53,62,19.87,18.37,20.38
532.461,77.06,27.53,62,19.87,18.37,20.38
532.461,77.06,27.53,62,19.87,18.37,20.38
532.461,77.06,27.53,62,19.87,18.37,20.38
532.611,77.72,27.74,62,,18.35,
532.611,77.72,27.74,62,,18.35,
532.611,77.72,27.74,62,,18.35,
532.611,77.72,27.74,62,,18.35,
532.761,78.58,27.97,62,,18.33,
532.761,78.58,27.97,62,,18.33,
532.761,78.58,27.97,62,,18.33,
532.761,78.58,27.97,62,,18.33,
532.911,79.21,28.19,62,,18.32,
532.911,79.21,28.19,62,,18.32,
532.911,79.21,28.19,62,,18.32,
532.911,79.21,28.19,62,,18.32,
533.061,79.84,28.41,62,,18.31,
533.061,79.84,28.41,62,,18.31,
533.061,79.84,28.41,62,,18.31,
533.061,79.84,28.41,62,,18.31,
533.211,80.68,28.65,62,19.78,18.29,20.42
533.211,80.68,28.65,62,19.78,18.29,20.42
533.211,80.68,28.65,62,19.78,18.29,20.42
533.211,80.68,28.65,62,19.78,18.29,20.42
533.211,80.68,28.65,62,19.78,18.29,20.42
533.211,80.68,28.65,62,19.78,18.29,20.42
533.361,81.29,28.88,62,,18.28,
533.361,81.29,28.88,62,,18.28,
533.361,81.29,28.88,62,,18.28,
533.361,81.29,28.88,62,,18.28,
533.511,81.89,29.11,62,,18.27,
533.511,81.89,29.11,62,,18.27,
533.511,81.89,29.11,62,,18.27,
533.511,81.89,29.11,62,,18.27,
533.661,82.66,29.36,62,,18.26,
533.661,82.66,29.36,62,,18.26,
533.661,82.66,29.36,62,,18.26,
533.661,82.66,29.36,62,,18.26,
533.811,83.25,29.59,62,19.89,18.24,20.75
533.811,83.25,29.59,62,19.89,18.24,20.75
533.811,83.25,29.59,62,19.89,18.24,20.75
533.811,83.25,29.59,62,19.89,18.24,20.75
533.811,83.25,29.59,62,19.89,18.24,20.75
533.811,83.25,29.59,62,19.89,18.24,20.75
533.961,83.81,29.83,62,,18.23,
533.961,83.81,29.83,62,,18.23,
533.961,83.81,29.83,62,,18.23,
533.961,83.81,29.83,62,,18.23,
534.124,84.54,30.09,62,,18.23,
534.124,84.54,30.09,62,,18.23,
534.124,84.54,30.09,62,,18.23,
534.124,84.54,30.09,62,,18.23,
534.295,85.17,30.38,62,19.96,18.22,20.99
534.295,85.17,30.38,62,19.96,18.22,20.99
534.295,85.17,30.38,62,19.96,18.22,20.99
534.295,85.17,30.38,62,19.96,18.22,20.99
534.295,85.17,30.38,62,19.96,18.22,20.99
