***Stage1 ON***
[13]TC TEC set to 50°C
(1690363) _setStage1TecTempC: TEC Set Temp 50.000000
(1690364) _resetThermalControlState: RESET Peltier 0 control state
(1690368) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(1690375) _setThermalControlState: thermalControl-0: changing state 3->1
(1690382) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(1690390) thermalControlSetEnable: Enabling Peltier 0
(1702335) TC: TC-0 = 67.95, modeled = 23.68, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 11900, exptTempC = 50.00, TecRate = 0.875
(1702485) TC: TC-0 = 68.90, modeled = 23.82, target = 50.00, heatSink = -87.42, output = 100.0, timeout = 12050, exptTempC = 50.00, TecRate = 0.892
(1702635) TC: TC-0 = 69.81, modeled = 23.95, target = 50.00, heatSink = -88.10, output = 100.0, timeout = 12200, exptTempC = 50.00, TecRate = 0.909
(1702787) TC: TC-0 = 70.69, modeled = 24.09, target = 50.00, heatSink = -87.74, output = 100.0, timeout = 12350, exptTempC = 50.00, TecRate = 0.926
(1702941) TC: TC-0 = 71.26, modeled = 24.23, target = 50.00, heatSink = -87.48, output = 100.0, timeout = 12500, exptTempC = 50.00, TecRate = 0.935
(1703086) TC: TC-0 = 72.12, modeled = 24.37, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 12650, exptTempC = 50.00, TecRate = 0.951
(1703236) TC: TC-0 = 72.94, modeled = 24.52, target = 50.00, heatSink = -87.08, output = 100.0, timeout = 12800, exptTempC = 50.00, TecRate = 0.966
(1703386) TC: TC-0 = 73.74, modeled = 24.66, target = 50.00, heatSink = -87.58, output = 100.0, timeout = 12950, exptTempC = 50.00, TecRate = 0.980
(1703536) TC: TC-0 = 74.50, modeled = 24.81, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 13100, exptTempC = 50.00, TecRate = 0.994
(1703688) TC: TC-0 = 75.24, modeled = 24.96, target = 50.00, heatSink = -87.74, output = 100.0, timeout = 13250, exptTempC = 50.00, TecRate = 1.007
(1703842) TC: TC-0 = 75.71, modeled = 25.11, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 13400, exptTempC = 50.00, TecRate = 1.014
(1703987) TC: TC-0 = 76.40, modeled = 25.27, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 13550, exptTempC = 50.00, TecRate = 1.026
(1704137) TC: TC-0 = 77.08, modeled = 25.42, target = 50.00, heatSink = -87.28, output = 100.0, timeout = 13700, exptTempC = 50.00, TecRate = 1.037
(1704287) TC: TC-0 = 77.73, modeled = 25.58, target = 50.00, heatSink = -87.54, output = 100.0, timeout = 13850, exptTempC = 50.00, TecRate = 1.049
(1704437) TC: TC-0 = 78.37, modeled = 25.74, target = 50.00, heatSink = -87.92, output = 100.0, timeout = 14000, exptTempC = 50.00, TecRate = 1.059
(1704589) TC: TC-0 = 78.99, modeled = 25.90, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 14150, exptTempC = 50.00, TecRate = 1.069
(1704743) TC: TC-0 = 79.38, modeled = 26.06, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 14300, exptTempC = 50.00, TecRate = 1.075
(1704888) TC: TC-0 = 79.96, modeled = 26.22, target = 50.00, heatSink = -87.48, output = 100.0, timeout = 14450, exptTempC = 50.00, TecRate = 1.084
(1705039) TC: TC-0 = 80.55, modeled = 26.38, target = 50.00, heatSink = -86.91, output = 100.0, timeout = 14600, exptTempC = 50.00, TecRate = 1.094
(1705189) TC: TC-0 = 81.11, modeled = 26.55, target = 50.00, heatSink = -87.71, output = 100.0, timeout = 14750, exptTempC = 50.00, TecRate = 1.102
(1705338) TC: TC-0 = 81.64, modeled = 26.71, target = 50.00, heatSink = -88.06, output = 100.0, timeout = 14900, exptTempC = 50.00, TecRate = 1.111
(1705491) TC: TC-0 = 82.15, modeled = 26.88, target = 50.00, heatSink = -87.63, output = 100.0, timeout = 15050, exptTempC = 50.00, TecRate = 1.119
(1705645) TC: TC-0 = 82.49, modeled = 27.05, target = 50.00, heatSink = -87.45, output = 100.0, timeout = 15200, exptTempC = 50.00, TecRate = 1.122
(1705790) TC: TC-0 = 82.99, modeled = 27.22, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 15350, exptTempC = 50.00, TecRate = 1.130
(1705939) TC: TC-0 = 83.47, modeled = 27.39, target = 50.00, heatSink = -87.22, output = 100.0, timeout = 15500, exptTempC = 50.00, TecRate = 1.137
(1706090) TC: TC-0 = 83.93, modeled = 27.56, target = 50.00, heatSink = -87.84, output = 100.0, timeout = 15650, exptTempC = 50.00, TecRate = 1.143
(1706240) TC: TC-0 = 84.38, modeled = 27.73, target = 50.00, heatSink = -87.47, output = 100.0, timeout = 15800, exptTempC = 50.00, TecRate = 1.150
(1706392) TC: TC-0 = 84.83, modeled = 27.91, target = 50.00, heatSink = -87.61, output = 100.0, timeout = 15950, exptTempC = 50.00, TecRate = 1.156
(1706546) TC: TC-0 = 85.10, modeled = 28.08, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 16100, exptTempC = 50.00, TecRate = 1.158
(1706691) TC: TC-0 = 85.51, modeled = 28.25, target = 50.00, heatSink = -87.49, output = 100.0, timeout = 16250, exptTempC = 50.00, TecRate = 1.163
(1706841) TC: TC-0 = 85.92, modeled = 28.43, target = 50.00, heatSink = -87.24, output = 100.0, timeout = 16400, exptTempC = 50.00, TecRate = 1.169
(1706992) TC: TC-0 = 86.30, modeled = 28.60, target = 50.00, heatSink = -87.92, output = 100.0, timeout = 16550, exptTempC = 50.00, TecRate = 1.173
(1707142) TC: TC-0 = 86.69, modeled = 28.78, target = 50.00, heatSink = -87.84, output = 100.0, timeout = 16700, exptTempC = 50.00, TecRate = 1.178
(1707294) TC: TC-0 = 87.06, modeled = 28.96, target = 50.00, heatSink = -87.61, output = 100.0, timeout = 16850, exptTempC = 50.00, TecRate = 1.183
(1707448) TC: TC-0 = 87.30, modeled = 29.13, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 17000, exptTempC = 50.00, TecRate = 1.184
(1707593) TC: TC-0 = 87.64, modeled = 29.31, target = 50.00, heatSink = -87.49, output = 100.0, timeout = 17150, exptTempC = 50.00, TecRate = 1.187
(1707743) TC: TC-0 = 88.00, modeled = 29.49, target = 50.00, heatSink = -87.16, output = 100.0, timeout = 17300, exptTempC = 50.00, TecRate = 1.192
(1707894) TC: TC-0 = 88.33, modeled = 29.67, target = 50.00, heatSink = -87.96, output = 100.0, timeout = 17450, exptTempC = 50.00, TecRate = 1.195
(1708043) TC: TC-0 = 88.65, modeled = 29.85, target = 50.00, heatSink = -87.42, output = 100.0, timeout = 17600, exptTempC = 50.00, TecRate = 1.198
(1708196) TC: TC-0 = 88.95, modeled = 30.03, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 17750, exptTempC = 50.00, TecRate = 1.201
(1708350) TC: TC-0 = 89.15, modeled = 30.21, target = 50.00, heatSink = -87.11, output = 100.0, timeout = 17900, exptTempC = 50.00, TecRate = 1.201
(1708495) TC: TC-0 = 89.45, modeled = 30.39, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 18050, exptTempC = 50.00, TecRate = 1.204
(1708645) TC: TC-0 = 89.75, modeled = 30.57, target = 50.00, heatSink = -87.07, output = 100.0, timeout = 18200, exptTempC = 50.00, TecRate = 1.207
(1708796) TC: TC-0 = 90.02, modeled = 30.75, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 18350, exptTempC = 50.00, TecRate = 1.209
(1708946) TC: TC-0 = 90.29, modeled = 30.93, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 18500, exptTempC = 50.00, TecRate = 1.211
(1709098) TC: TC-0 = 90.55, modeled = 31.12, target = 50.00, heatSink = -87.48, output = 100.0, timeout = 18650, exptTempC = 50.00, TecRate = 1.212
(1709252) TC: TC-0 = 90.71, modeled = 31.30, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 18800, exptTempC = 50.00, TecRate = 1.212
(1709397) TC: TC-0 = 90.98, modeled = 31.48, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 18950, exptTempC = 50.00, TecRate = 1.214
(1709547) TC: TC-0 = 91.24, modeled = 31.66, target = 50.00, heatSink = -87.20, output = 100.0, timeout = 19100, exptTempC = 50.00, TecRate = 1.216
(1709697) TC: TC-0 = 91.47, modeled = 31.84, target = 50.00, heatSink = -87.35, output = 100.0, timeout = 19250, exptTempC = 50.00, TecRate = 1.217
(1709847) TC: TC-0 = 91.70, modeled = 32.03, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 19400, exptTempC = 50.00, TecRate = 1.218
(1709999) TC: TC-0 = 91.93, modeled = 32.21, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 19550, exptTempC = 50.00, TecRate = 1.219
(1710153) TC: TC-0 = 92.08, modeled = 32.39, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 19700, exptTempC = 50.00, TecRate = 1.218
(1710298) TC: TC-0 = 92.29, modeled = 32.58, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 19850, exptTempC = 50.00, TecRate = 1.219
(1710448) TC: TC-0 = 92.51, modeled = 32.76, target = 50.00, heatSink = -87.07, output = 100.0, timeout = 20000, exptTempC = 50.00, TecRate = 1.219
(1710598) TC: TC-0 = 92.70, modeled = 32.94, target = 50.00, heatSink = -87.42, output = 100.0, timeout = 20150, exptTempC = 50.00, TecRate = 1.220
(1710748) TC: TC-0 = 92.90, modeled = 33.12, target = 50.00, heatSink = -87.46, output = 100.0, timeout = 20300, exptTempC = 50.00, TecRate = 1.220
(1710900) TC: TC-0 = 93.10, modeled = 33.31, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 20450, exptTempC = 50.00, TecRate = 1.220
(1711054) TC: TC-0 = 93.22, modeled = 33.49, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 20600, exptTempC = 50.00, TecRate = 1.219
(1711199) TC: TC-0 = 93.42, modeled = 33.67, target = 50.00, heatSink = -87.19, output = 100.0, timeout = 20750, exptTempC = 50.00, TecRate = 1.219
(1711349) TC: TC-0 = 93.60, modeled = 33.86, target = 50.00, heatSink = -87.20, output = 100.0, timeout = 20900, exptTempC = 50.00, TecRate = 1.219
(1711499) TC: TC-0 = 93.78, modeled = 34.04, target = 50.00, heatSink = -87.96, output = 100.0, timeout = 21050, exptTempC = 50.00, TecRate = 1.219
(1711648) TC: TC-0 = 93.96, modeled = 34.22, target = 50.00, heatSink = -87.67, output = 100.0, timeout = 21200, exptTempC = 50.00, TecRate = 1.219
(1711801) TC: TC-0 = 94.13, modeled = 34.40, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 21350, exptTempC = 50.00, TecRate = 1.218
(1711955) TC: TC-0 = 94.26, modeled = 34.59, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 21500, exptTempC = 50.00, TecRate = 1.217
(1712100) TC: TC-0 = 94.44, modeled = 34.77, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 21650, exptTempC = 50.00, TecRate = 1.217
(1712250) TC: TC-0 = 94.59, modeled = 34.95, target = 50.00, heatSink = -86.96, output = 100.0, timeout = 21800, exptTempC = 50.00, TecRate = 1.216
(1712400) TC: TC-0 = 94.74, modeled = 35.13, target = 50.00, heatSink = -87.88, output = 100.0, timeout = 21950, exptTempC = 50.00, TecRate = 1.215
(1712549) TC: TC-0 = 94.88, modeled = 35.32, target = 50.00, heatSink = -87.71, output = 100.0, timeout = 22100, exptTempC = 50.00, TecRate = 1.214
(1712702) TC: TC-0 = 95.04, modeled = 35.50, target = 50.00, heatSink = -87.31, output = 100.0, timeout = 22250, exptTempC = 50.00, TecRate = 1.214
(1712856) TC: TC-0 = 95.14, modeled = 35.68, target = 50.00, heatSink = -87.49, output = 100.0, timeout = 22400, exptTempC = 50.00, TecRate = 1.212
(1713001) TC: TC-0 = 95.27, modeled = 35.86, target = 50.00, heatSink = -87.45, output = 100.0, timeout = 22550, exptTempC = 50.00, TecRate = 1.211
(1713152) TC: TC-0 = 95.40, modeled = 36.04, target = 50.00, heatSink = -87.08, output = 100.0, timeout = 22700, exptTempC = 50.00, TecRate = 1.209
(1713302) TC: TC-0 = 95.52, modeled = 36.22, target = 50.00, heatSink = -87.93, output = 100.0, timeout = 22850, exptTempC = 50.00, TecRate = 1.208
(1713451) TC: TC-0 = 95.65, modeled = 36.41, target = 50.00, heatSink = -87.92, output = 100.0, timeout = 23000, exptTempC = 50.00, TecRate = 1.207
(1713604) TC: TC-0 = 95.77, modeled = 36.59, target = 50.00, heatSink = -87.48, output = 100.0, timeout = 23150, exptTempC = 50.00, TecRate = 1.205
(1713758) TC: TC-0 = 95.85, modeled = 36.77, target = 50.00, heatSink = -87.57, output = 100.0, timeout = 23300, exptTempC = 50.00, TecRate = 1.203
(1713903) TC: TC-0 = 95.99, modeled = 36.95, target = 50.00, heatSink = -87.25, output = 100.0, timeout = 23450, exptTempC = 50.00, TecRate = 1.202
(1714052) TC: TC-0 = 96.10, modeled = 37.13, target = 50.00, heatSink = -87.25, output = 100.0, timeout = 23600, exptTempC = 50.00, TecRate = 1.200
(1714203) TC: TC-0 = 96.22, modeled = 37.31, target = 50.00, heatSink = -87.92, output = 100.0, timeout = 23750, exptTempC = 50.00, TecRate = 1.199
(1714353) TC: TC-0 = 96.34, modeled = 37.49, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 23900, exptTempC = 50.00, TecRate = 1.197
(1714505) TC: TC-0 = 96.46, modeled = 37.67, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 24050, exptTempC = 50.00, TecRate = 1.196
(1714659) TC: TC-0 = 96.53, modeled = 37.85, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 24200, exptTempC = 50.00, TecRate = 1.193
(1714804) TC: TC-0 = 96.63, modeled = 38.02, target = 50.00, heatSink = -87.28, output = 100.0, timeout = 24350, exptTempC = 50.00, TecRate = 1.191
(1714954) TC: TC-0 = 96.74, modeled = 38.20, target = 50.00, heatSink = -87.97, output = 100.0, timeout = 24500, exptTempC = 50.00, TecRate = 1.190
(1715105) TC: TC-0 = 96.86, modeled = 38.38, target = 50.00, heatSink = -88.19, output = 100.0, timeout = 24650, exptTempC = 50.00, TecRate = 1.188
