,channel,metric,mean diff,sig diff mean,std diff,sig diff std,config 0 std of means,config 0 std of stds,config 1 std of means,config 1 std of stds
43,555,melt range,-46.72333333333336,True,-2.145666269181392,False,11.80720119249266,5.6079959016240615,4.216496702766933,1.75683238542308
44,555,melt start,-68.01666666666668,True,-2.815840851219164,False,12.655214120845383,3.0803306123969985,5.02173055607106,2.689900474237339
45,555,melt stop,-21.293333333333337,True,-1.9075120974841262,False,3.841296077570114,1.8078438512299666,2.4050317623220243,2.331791200003261
46,555,pcr min,-38.66333333333333,True,5.675979009907591,False,11.349547225428081,7.784310130599578,9.005519295286517,10.298583271278924
47,555,pcr start,-44.02333333333334,True,5.797810186776093,False,13.302923655263823,7.282250490687705,9.675040051596685,11.745073863948331
48,555,pcr stop,-127.7533333333333,True,2.0646176214908927,False,31.044412630223103,11.963722769238448,16.326088189016858,13.43342862037334
49,555,reverse cq,1.503333333333333,False,1.7418989705954706,False,0.9695359714832659,0.5558649254186012,1.751393096302991,1.7269229158932038
50,590,cq,0.9563333333333333,True,0.3876061709460657,True,0.3179972047396358,0.1366273690666952,0.35608738003785284,0.20693287140638653
51,590,fmax,-34.733333333333334,True,-2.0148468817535017,False,7.965481083330052,3.233353736411967,1.8451136670797383,2.024149101203874
52,590,mean pcr,-54.706592592592585,True,-3.3113996148097637,False,9.227045265669016,5.444440681715097,3.983699064774232,4.558742022652997
53,590,melt range,-17.196666666666665,True,-0.6487712846935088,False,4.586332352157269,1.8381362260110554,1.1680182646973745,0.2730298068613571
54,590,melt start,-57.76333333333332,True,-8.455682377635348,True,9.31193976689187,4.421444908580669,2.182516386600059,1.5193467740513575
55,590,melt stop,-40.56666666666667,True,-10.178809943355265,True,8.660510634162655,2.362787555196721,1.3097921802925678,1.5123999514260318
56,590,pcr min,-47.74666666666666,True,-4.223942757336539,False,8.004443210561938,6.061449716155846,3.472405506273712,4.4502584427433005
57,590,pcr start,-51.14999999999998,True,-3.3029759183510485,False,7.634061100678257,5.5602580263374906,3.550273854851826,4.824665110795781
58,590,pcr stop,-81.25999999999998,True,-2.6547629192166475,False,13.775340286178054,3.7981175919394037,5.878563694569541,5.47879282585989
59,590,reverse cq,4.076666666666667,True,0.3160896458659779,False,1.8040078836979743,0.6312068116454727,3.8681836104875433,1.633919647029809
60,630,cq,0.8770000000000024,True,0.14019391872081477,False,0.4932995483927031,0.35060559064173535,0.40038647995821836,0.1746167634861124
61,630,fmax,-21.096666666666668,True,-0.634474996517576,False,5.391454143158206,1.064503868031911,1.3059862173851609,1.903506024107807
62,630,mean pcr,-119.46074074074076,True,-16.458069102901106,True,19.548353106864848,6.068765765489324,5.6137995759567625,3.6910279760971827
63,630,melt range,-13.39333333333333,True,-2.5296137999149546,False,4.926571943157952,2.5101989831165046,1.074636889579194,0.6889414936020963
64,630,melt start,-118.04333333333334,True,-18.463250671629044,True,19.17814149262412,7.345719330932861,4.806772999286182,2.097953700170639
65,630,melt stop,-104.64999999999999,True,-19.938985079250763,True,19.8166316231818,10.420928925760224,4.388874824168743,2.382907531918001
66,630,pcr min,-113.88,True,-16.607881596391586,True,18.773503787104964,6.0026850013033135,5.327062980667678,4.0037072603423995
67,630,pcr start,-121.11666666666665,True,-17.229067627570128,True,18.713304833133506,6.470646681956593,4.697043987682278,3.9197719109202955
68,630,pcr stop,-133.94666666666666,True,-14.531706710872765,True,19.922516574636518,5.526758521863722,6.804625877543402,3.8171525461813
69,630,reverse cq,2.446666666666667,False,0.17014288716058346,False,1.3416407864998738,0.7000230888347571,3.0569120221411525,1.282089682971487
70,680,cq,1.2316666666666656,True,0.04602165347966092,False,0.5418999497652255,0.5931107750195928,0.3357247549870447,0.2464042793832869
71,680,fmax,-18.890000000000004,True,-5.693421316342397,True,2.9459953986537184,3.765250053214301,1.1543925771687134,1.1062085551503362
72,680,mean pcr,-70.69674074074072,True,-13.427428834996235,True,10.37255331522051,9.324327072527423,3.8497322259149778,2.1560074483797806
