DATAQ: | Stg1ThermoTempC = 57.03 | stg1AltThermoTempC2 = 37.65 | stg1AltThermoTempC3 = 44.17  |
DATAQ: | Stg1ThermoTempC = 57.88 | stg1AltThermoTempC2 = 38.6 | stg1AltThermoTempC23= 45.19  |
DATAQ: | Stg1ThermoTempC = 58.24 | stg1AltThermoTempC2 = 39.14 | stg1AltThermoTempC3 = 45.45  |
DATAQ: | Stg1ThermoTempC = 58.71 | stg1AltThermoTempC2 = 39.45 | stg1AltThermoTempC3 = 45.93  |
DATAQ: | Stg1ThermoTempC = 59.25 | stg1AltThermoTempC2 = 40.61 | stg1AltThermoTempC3 = 46.75  |
DATAQ: | Stg1ThermoTempC = 59.59 | stg1AltThermoTempC2 = 40.96 | stg1AltThermoTempC3 = 47.7  |
DATAQ: | Stg1ThermoTempC = 59.84 | stg1AltThermoTempC2 = 41.98 | stg1AltThermoTempC3 = 47.91  |
DATAQ: | Stg1ThermoTempC = 60.0 | stg1AltThermoTempC2 = 42.74 | stg1AltThermoTempC23= 48.64  |
DATAQ: | Stg1ThermoTempC = 60.12 | stg1AltThermoTempC2 = 43.27 | stg1AltThermoTempC3 = 48.88  |
DATAQ: | Stg1ThermoTempC = 60.15 | stg1AltThermoTempC2 = 44.01 | stg1AltThermoTempC3 = 49.35  |
DATAQ: | Stg1ThermoTempC = 60.29 | stg1AltThermoTempC2 = 44.33 | stg1AltThermoTempC3 = 49.39  |
DATAQ: | Stg1ThermoTempC = 60.25 | stg1AltThermoTempC2 = 44.89 | stg1AltThermoTempC3 = 49.82  |
DATAQ: | Stg1ThermoTempC = 60.3 | stg1AltThermoTempC2 = 45.16 | stg1AltThermoTempC23= 49.95  |
DATAQ: | Stg1ThermoTempC = 60.23 | stg1AltThermoTempC2 = 45.34 | stg1AltThermoTempC3 = 50.01  |
DATAQ: | Stg1ThermoTempC = 60.1 | stg1AltThermoTempC2 = 45.96 | stg1AltThermoTempC23= 50.18  |
DATAQ: | Stg1ThermoTempC = 60.08 | stg1AltThermoTempC2 = 46.1 | stg1AltThermoTempC23= 50.22  |
DATAQ: | Stg1ThermoTempC = 59.98 | stg1AltThermoTempC2 = 46.56 | stg1AltThermoTempC3 = 50.32  |
DATAQ: | Stg1ThermoTempC = 59.94 | stg1AltThermoTempC2 = 46.76 | stg1AltThermoTempC3 = 50.32  |
DATAQ: | Stg1ThermoTempC = 59.86 | stg1AltThermoTempC2 = 47.13 | stg1AltThermoTempC3 = 50.46  |
DATAQ: | Stg1ThermoTempC = 59.74 | stg1AltThermoTempC2 = 47.18 | stg1AltThermoTempC3 = 50.46  |
DATAQ: | Stg1ThermoTempC = 59.63 | stg1AltThermoTempC2 = 47.58 | stg1AltThermoTempC3 = 50.48  |
DATAQ: | Stg1ThermoTempC = 59.6 | stg1AltThermoTempC2 = 47.83 | stg1AltThermoTempC23= 50.6  |
DATAQ: | Stg1ThermoTempC = 59.35 | stg1AltThermoTempC2 = 48.05 | stg1AltThermoTempC3 = 50.58  |
DATAQ: | Stg1ThermoTempC = 59.34 | stg1AltThermoTempC2 = 48.31 | stg1AltThermoTempC3 = 50.7  |
