consumable/lot,numericValue
TKM-1667,1.096
TKM-1789,1.268
TKM-1829,1.24
TKM-1790,1.303
TKM-1914,1.3
TKM-1664,1.171
TKM-1790,1.242
TKM-1657,1.036
TKM-1750,1.345
TKM-1856,1.2
TKM-1684,1.016
TKM-1771,1.134
TKM-1694,
TKM-1657,1
TKM-1910,1.3
TKM-1613,1.017
TKM-1948,1.2
TKM-1613,1.127
TKM-1651,1.267
TKM-1664,1.323
TKM-1771,1.066
TKM-1651,1.344
TKM-1914,1.3
TKM-1664,1.284
TKM-1667,1.047
TKM-1949,1.3
TKM-1689,1.146
TKM-1751,1.259
TKM-1913,1.3
TKM-1751,1.25
TKM-1689,1.096
TKM-1830,1.304
TKM-1750,1.302
TKM-1636,1.167
TKM-1636,1.087
TKM-2008,1.577
TKM-1613,0.983
TKM-1684,1.092
TKM-1789,1.319
TKM-1664,1.165
TKM-1969,1.5
TKM-1697,1.064
TKM-1664,1.275
TKM-1636,1.126
TKM-1830,1.284
TKM-1953,1.3
TKM-1604,1.32
TKM-1750,1.145
TKM-1789,1.3
TKM-1830,1
TKM-1944,1.3
TKM-1636,1.104
TKM-1751,0.973
TKM-1667,1.051
TKM-1771,1.136
TKM-1694,1.2
TKM-1689,1.068
TKM-1750,1.304
TKM-1664,1.218
TKM-1751,1.279
TKM-1750,1.167
TKM-1926,1.2
TKM-1771,1.118
TKM-1750,1.322
TKM-1830,1.2
TKM-1829,1.328
TKM-1750,1.189
TKM-1750,1.285
TKM-1750,1.266
TKM-1750,1.22
TKM-1954,1.3
TKM-1944,1.3
TKM-1947,1.2
TKM-1657,1.012
TKM-1604,1.339
TKM-1771,1.149
TKM-1914,1.3
TKM-1830,1.254
TKM-1636,1.156
TKM-1952,1.3
TKM-1914,1.3
TKM-1694,1.2
TKM-1613,1.082
TKM-1771,1.205
TKM-1771,1.053
TKM-1636,0.994
TKM-1751,1.312
TKM-1750,1.229
TKM-1572,1256
TKM-1829,1.381
TKM-1657,0.997
TKM-1750,1.24
TKM-1790,1.291
TKM-1636,1.135
TKM-1694,1.2
TKM-1949,1.5
TKM-1789,1.128
TKM-1636,1.209
TKM-1830,1.2
TKM-1750,1.262
TKM-1749,1.319
TKM-1651,1.267
TKM-1613,1.079
TKM-1572,1.204
TKM-1689,0.994
TKM-1572,1.228
TKM-1648,1.052
TKM-1925,1.3
TKM-1856,1.2
TKM-1636,1.17
TKM-1899,1.2
TKM-1750,1.263
3221,1.199
TKM-1769,1.109
TKM-1636,1.145
TKM-1751,1.264
TKM-1636,1.292
TKM-1790,1.263
TKM-1830,1.3
TKM-1750,1.303
TKM-1899,1.3
TKM-1954,1.3
TKM-1697,1.172
TKM-1830,1.277
TKM-2024,1.3
TKM-1749,1.263
TKM-1729,1.446
TKM-1689,0.953
TKM-1664,1.28
TKM-1712,1.055
TKM-1613,1.014
TKM-1684,1.045
TKM-1636,1.2
TKM-1820,1.304
TKM-1751,1.186
TKM-1664,1.191
TKM-1667,1.047
TKM-1729,1.275
TKM-1728,1.248
TKM-1598,1.057
TKM-1572,1.225
TKM-1751,1.275
TKM-2024,1.3
TKM-1751,1.289
TKM-1850,1.041
TKM-1697,1.045
TKM-1729,1.302
TKM-1949,1.2
TKM-1926,1.3
TKM-1664,1.269
TKM-1954,1.3
TKM-1652,1
TKM-1775,1.185
TKM-1694,1.2
TKM-1657,1.023
TKM-1830,1.2
TKM-1694,1.041
TKM-1966,1.4
TKM-1789,1.2
TKM-1667,1.145
TKM-1856,1.282
TKM-1657,0.767
TKM-1613,1.029
TKM-1856,1.347
TKM-1749,1.339
TKM-1572,1.278
TKM-1751,1.212
TKM-1664,1.311
TKM-1664,1.17
TKM-1572,1.256
TKM-1749,1.302
TKM-1790,1.234
TKM-1790,1.346
TKM-1830,1.16
TKM-1830,1.329
TKM-1729,1.204
TKM-1651,1.229
TKM-2008,1.377
TKM-1572,1.28
TKM-1651,1.254
TKM-1694,1.2
TKM-1689,1.109
TKM-1657,1.097
TKM-1651,1.249
TKM-1636,1.129
TKM-1636,1.261
TKM-1856,1.3
TKM-1926,1.2
TKM-1856,1.3
TKM-1966,1.3
TKM-1953,1.3
TKM-1750,1.308
TKM-1636,1.221
TKM-1598,0.963
TKM-1751,1.219
TKM-1750,1.156
TKM-1874,1.236
TKM-1913,1.3
TKM-1899,1.2
TKM-1790,1.255
TKM-1540,0.992
TKM-1790,1.277
TKM-1648,1.121
TKM-1598,1.081
TKM-1881,1.219
TKM-1970,1.4
TKM-1750,1.234
TKM-1856,1.154
TKM-1913,1.3
TKM-1613,1.077
TKM-1652,0.9
TKM-1664,1.266
TKM-1657,0.983
TKM-1728,1.322
TKM-1773,0.992
TKM-1789,1.195
TKM-1684,1
TKM-1789,1.305
TKM-1664,1.235
TKM-1749,1.342
TKM-2024,1.2
TKM-1572,1.313
TKM-1598,1.219
TKM-1790,1.248
TKM-1829,1.17
TKM-1820,1.302
TKM-1694,1.2
TKM-1899,1.2
TKM-1790,1.228
TKM-1820,1.364
TKM-1899,1.3
TKM-1657,1.182
TKM-1598,1.079
TKM-1830,1.419
TKM-1572,1.225
TKM-1664,1.198
TKM-1572,1.229
TKM-1948,1
TKM-1572,1.279
TKM-1667,1.099
TKM-1657,1.049
TKM-1662,1.031
TKM-1750,1.255
TKM-1771,1.13
TKM-1856,1.1
TKM-1789,1.33
TKM-1694,1.171
TKM-1767,1.183
TKM-1830,1.222
TKM-1664,1.252
TKM-1689,1.199
TKM-1947,1.253
TKM-1662,0.935
TKM-1750,1.244
TKM-1789,1.19
TKM-1947,1.2
TKM-1856,1.2
TKM-1773,1.105
TKM-1652,1.1
TKM-1969,1.3
TKM-1657,0.978
TKM-1926,1.2
TKM-1830,1.2
TKM-1664,1.196
TKM-1751,1.244
TKM-1856,1.1
TKM-2008,1.355
TKM-1689,1.076
TKM-1648,1.04
TKM-1749,1.345
TKM-1966,1.4
TKM-1926,1.3
TKM-1953,1.1
TKM-1636,1.19
TKM-1572,1.216
TKM-1684,1.007
TKM-1910,1.3
TKM-1749,1.221
TKM-1657,1.132
TKM-1914,1.2
TKM-1856,1.3
TKM-1667,1.06
TKM-1829,1.3
TKM-1856,1.3
TKM-1751,1.255
TKM-1636,1.256
TKM-1830,1.239
TKM-1750,1.255
TKM-1598,1.017
TKM-1790,1.232
TKM-1949,1.2
TKM-1777,0.949
TKM-1856,1.2
TKM-1790,1.245
TKM-1697,1.076
TKM-1771,1.037
TKM-1829,1.298
TKM-1572,1.355
TKM-1572,1.218
TKM-1657,1.011
TKM-2033,1.4
TKM-1664,1.268
TKM-1789,1.181
TKM-1572,1.315
TKM-2008,1.336
TKM-1750,1.145
TKM-1771,1.161
TKM-1636,1.28
TKM-1856,1.1
TKM-1657,1.164
TKM-1572,1.294
TKM-1636,1.156
TKM-1689,1.125
TKM-1572,1.384
TKM-1636,1.057
TKM-1775,1.073
TKM-1966,1.5
TKM-1830,1.2
TKM-1651,1.227
TKM-1773,1.135
TKM-1830,1.329
TKM-1881,1.321
TKM-1856,1.227
TKM-1830,1.215
TKM-1790,1.47
TKM-1769,1.134
TKM-1881,1.237
TKM-1729,1.25
TKM-1952,1.4
TKM-1914,1.3
TKM-1572,1.257
TKM-1751,1.174
TKM-1651,1.22
TKM-1572,1.179
TKM-1636,1.272
TKM-1899,1.2
TKM-1944,1.3
TKM-1689,1.083
TKM-1830,1.2
TKM-1613,0.993
TKM-1952,1.3
TKM-1820,1.332
TKM-1820,1.278
TKM-1749,1.311
TKM-1927,0.9
TKM-1954,1.3
TKM-1771,0.974
TKM-1820,1.256
TKM-1662,1.006
TKM-1657,1.045
TKM-1875,1.104
3221,1.17
TKM-1598,1.098
TKM-1789,1.2
TKM-1947,1.32
TKM-1830,1.3
TKM-1750,1.199
TKM-1948,1.22
TKM-1636,1.128
TKM-1636,1.168
TKM-1949,1.2
TKM-1875,1.155
TKM-1750,1.224
TKM-1664,1.313
TKM-1944,1.3
TKM-1750,1.288
TKM-1751,1.305
TKM-1750,1.24
TKM-1749,1.299
TKM-1790,1.266
TKM-1694,1.2
TKM-1751,1.258
TKM-1789,1.249
TKM-1719,1.015
TKM-1657,1.124
TKM-1613,0.995
TKM-1636,1.102
TKM-1712,1.181
TKM-1694,1.2
TKM-1829,1.2
TKM-1829,1.2
3221,1.207
3221,1.191
TKM-1689,0.999
TKM-1750,1.237
TKM-1953,1.3
TKM-1651,1.017
TKM-1882,1.205
TKM-1910,1.3
TKM-1820,1.307
TKM-1749,1.34
TKM-1667,0.999
TKM-1790,1.251
TKM-1689,1.049
TKM-1657,1.128
TKM-2009,1.2
TKM-1662,0.957
TKM-1651,1.208
TKM-1830,1.2
TKM-1664,1.139
TKM-1636,1.254
TKM-1648,1.065
TKM-1829,1.3
TKM-1750,1.226
TKM-1790,0.986
TKM-1572,1.232
TKM-1613,1.042
TKM-1856,1.2
TKM-1657,1.093
TKM-1913,1.3
TKM-1856,1.1
TKM-1657,1.046
TKM-1969,1.3
TKM-1829,1.372
TKM-1820,1.237
TKM-1651,1.283
TKM-1966,1.3
TKM-1970,1.3
TKM-2008,1.43
TKM-1697,1.126
TKM-1830,1.249
TKM-1667,1.082
TKM-1598,1.129
TKM-1910,1.3
TKM-1652,1
TKM-1949,1.2
TKM-1648,0.992
TKM-1949,1.3
TKM-1694,1.2
TKM-1914,1.3
TKM-1953,1.3
TKM-1751,1.274
TKM-1687,1.159
TKM-1970,1.3
TKM-1636,1.216
TKM-1667,1.084
