consumableId,consumable/lot,numericValue,instrument
9258746d-98a5-47ea-96be-ffde57d417fd,TKM-1598,1.06,101
edc43ecf-da85-444e-8341-22319ecf8590,TKM-1598,1.061,AdvBuild04
ac10c4e3-afc2-44a9-8c55-1af9fb33bc02,TKM-1598,1.07,203
377cf01f-cfb0-494a-b37b-1e315cfd3a9d,TKM-1598,1.071,217
a0cca089-e0bf-491d-91c4-a4dce40c558a,TKM-1598,1.073,216
ad32b393-8c90-426f-b671-d48d42550055,TKM-1598,1.074,AdvBuild27
5aac7113-a365-4edf-8286-ea7d80a8c4ac,TKM-1598,1.079,AdvBuild27
a4890e86-0b03-4601-99e8-8931c496c207,TKM-1598,1.079,AdvBuild04
63bb0c85-de6b-4b0a-86e1-f482940ae5b5,TKM-1598,1.081,217
5c776702-c843-4a01-9a4e-723e9bd7a35a,TKM-1598,1.082,203
75447f6e-9332-4058-8427-d2aeb67f8455,TKM-1598,1.083,203
421eca26-a7e3-4626-969d-8b2fabca3de2,TKM-1598,1.093,216
11f91848-2c5e-4c7a-b237-0ca495596301,TKM-1598,1.098,114
e262b8b0-15e4-43a1-aacc-f940102c71b8,TKM-1598,1.107,217
a5f412ac-5910-4a34-823b-55dbbb9e8317,TKM-1598,1.127,AdvBuild03
385901ac-e988-4a75-ada9-282a672d691c,TKM-1598,1.129,216
b5b17f12-ec11-4693-b6b4-93d6190d0dbc,TKM-1598,1.134,217
84821917-91af-4117-a468-129b2d039750,TKM-1598,1.136,AdvBuild03
666088e9-1b9d-48b4-809d-7b614567f55e,TKM-1598,1.137,216
c574ad4c-f7ee-4c8d-a8a0-f3a8f206141f,TKM-1598,1.137,108
16cc1e43-a767-4d71-8f42-371e4c9813f6,TKM-1598,1.159,AdvBuild06
6ac7ec61-57ac-407d-a363-e302446741db,TKM-1598,1.167,AdvBuild03
5a6bea6a-14c8-412f-b52e-1e5493acd4ea,TKM-1598,1.168,AdvBuild06
e2103cce-d079-4dd2-9eaf-2559b18d4f58,TKM-1598,1.198,AdvBuild03
8929dad8-d0b1-4159-998f-f12761827e23,TKM-1598,1.213,AdvBuild06
7cbbc387-e009-45a1-8255-df4326467ba6,TKM-1598,1.219,103
1d82fb5d-cd80-45af-b6ca-a3a38e9c7566,TKM-1604,1.212,AdvBuild25
df863975-026e-4dd4-b9ce-a90569bf25af,TKM-1604,1.213,AdvBuild25
cca596fe-5314-4253-ad11-1d583aa0bbf0,TKM-1604,1.254,AdvBuild25
