[49]Set PCR TEC:  HEAT: True  POW: 100
(116008) RAW PELTIER: TC-1 = 34.2, HSTemp = 20.1, modeled = 26.0, rawRR C/s = 10.4, output = 100.0
(116058) RAW PELTIER: TC-1 = 34.8, HSTemp = 20.1, modeled = 26.2, rawRR C/s = 10.7, output = 100.0
(116066) heapMonitor_checkFreeHeapSize: New heap low water mark 115440
(116108) RAW PELTIER: TC-1 = 35.3, HSTemp = 20.0, modeled = 26.5, rawRR C/s = 10.6, output = 100.0
(116158) RAW PELTIER: TC-1 = 35.9, HSTemp = 20.0, modeled = 26.8, rawRR C/s = 10.6, output = 100.0
(116208) RAW PELTIER: TC-1 = 36.5, HSTemp = 20.0, modeled = 27.1, rawRR C/s = 10.7, output = 100.0
(116258) RAW PELTIER: TC-1 = 37.0, HSTemp = 20.0, modeled = 27.3, rawRR C/s = 10.0, output = 100.0
(116308) RAW PELTIER: TC-1 = 37.6, HSTemp = 19.9, modeled = 27.6, rawRR C/s = 10.0, output = 100.0
(116358) RAW PELTIER: TC-1 = 38.1, HSTemp = 19.9, modeled = 27.9, rawRR C/s = 10.3, output = 100.0
(116409) RAW PELTIER: TC-1 = 38.7, HSTemp = 19.9, modeled = 28.2, rawRR C/s = 10.2, output = 100.0
(116459) RAW PELTIER: TC-1 = 39.2, HSTemp = 19.9, modeled = 28.5, rawRR C/s = 10.5, output = 100.0
(116510) RAW PELTIER: TC-1 = 39.7, HSTemp = 19.8, modeled = 28.8, rawRR C/s = 10.1, output = 100.0
(116558) RAW PELTIER: TC-1 = 40.3, HSTemp = 19.8, modeled = 29.1, rawRR C/s = 9.8, output = 100.0
(116610) RAW PELTIER: TC-1 = 40.8, HSTemp = 19.8, modeled = 29.5, rawRR C/s = 9.7, output = 100.0
(116660) RAW PELTIER: TC-1 = 41.3, HSTemp = 19.8, modeled = 29.8, rawRR C/s = 9.7, output = 100.0
(116713) RAW PELTIER: TC-1 = 41.8, HSTemp = 19.7, modeled = 30.1, rawRR C/s = 9.9, output = 100.0
(116764) RAW PELTIER: TC-1 = 42.3, HSTemp = 19.7, modeled = 30.4, rawRR C/s = 9.9, output = 100.0
(116815) RAW PELTIER: TC-1 = 42.9, HSTemp = 19.7, modeled = 30.7, rawRR C/s = 9.8, output = 100.0
(116861) RAW PELTIER: TC-1 = 42.9, HSTemp = 19.7, modeled = 31.0, rawRR C/s = 9.8, output = 100.0
(116911) RAW PELTIER: TC-1 = 43.4, HSTemp = 19.7, modeled = 31.3, rawRR C/s = 9.8, output = 100.0
(116961) RAW PELTIER: TC-1 = 43.9, HSTemp = 19.7, modeled = 31.6, rawRR C/s = 9.8, output = 100.0
(117010) RAW PELTIER: TC-1 = 44.4, HSTemp = 19.6, modeled = 31.9, rawRR C/s = 9.8, output = 100.0
(117061) RAW PELTIER: TC-1 = 45.0, HSTemp = 19.6, modeled = 32.2, rawRR C/s = 9.7, output = 100.0
(117110) RAW PELTIER: TC-1 = 45.5, HSTemp = 19.6, modeled = 32.6, rawRR C/s = 9.7, output = 100.0
(117161) RAW PELTIER: TC-1 = 46.0, HSTemp = 19.6, modeled = 32.9, rawRR C/s = 9.6, output = 100.0
(117210) RAW PELTIER: TC-1 = 46.5, HSTemp = 19.6, modeled = 33.2, rawRR C/s = 9.5, output = 100.0
(117261) RAW PELTIER: TC-1 = 47.0, HSTemp = 19.5, modeled = 33.5, rawRR C/s = 9.4, output = 100.0
(117310) RAW PELTIER: TC-1 = 47.5, HSTemp = 19.5, modeled = 33.8, rawRR C/s = 9.4, output = 100.0
(117361) RAW PELTIER: TC-1 = 48.0, HSTemp = 19.5, modeled = 34.1, rawRR C/s = 9.3, output = 100.0
(117410) RAW PELTIER: TC-1 = 48.5, HSTemp = 19.5, modeled = 34.5, rawRR C/s = 9.3, output = 100.0
(117461) RAW PELTIER: TC-1 = 49.0, HSTemp = 19.5, modeled = 34.8, rawRR C/s = 9.3, output = 100.0
(117511) RAW PELTIER: TC-1 = 49.5, HSTemp = 19.4, modeled = 35.1, rawRR C/s = 9.3, output = 100.0
(117564) RAW PELTIER: TC-1 = 50.0, HSTemp = 19.4, modeled = 35.4, rawRR C/s = 9.2, output = 100.0
(117616) RAW PELTIER: TC-1 = 50.4, HSTemp = 19.4, modeled = 35.8, rawRR C/s = 9.1, output = 100.0
(117663) RAW PELTIER: TC-1 = 50.4, HSTemp = 19.4, modeled = 36.1, rawRR C/s = 9.1, output = 100.0
(117713) RAW PELTIER: TC-1 = 50.9, HSTemp = 19.4, modeled = 36.4, rawRR C/s = 9.0, output = 100.0
(117762) RAW PELTIER: TC-1 = 51.4, HSTemp = 19.4, modeled = 36.7, rawRR C/s = 8.9, output = 100.0
(117813) RAW PELTIER: TC-1 = 51.9, HSTemp = 19.4, modeled = 37.0, rawRR C/s = 8.9, output = 100.0
(117864) RAW PELTIER: TC-1 = 52.4, HSTemp = 19.4, modeled = 37.3, rawRR C/s = 8.9, output = 100.0
(117913) RAW PELTIER: TC-1 = 52.8, HSTemp = 19.3, modeled = 37.6, rawRR C/s = 9.1, output = 100.0
(117964) RAW PELTIER: TC-1 = 53.3, HSTemp = 19.3, modeled = 38.0, rawRR C/s = 9.1, output = 100.0
(118013) RAW PELTIER: TC-1 = 53.8, HSTemp = 19.3, modeled = 38.3, rawRR C/s = 9.0, output = 100.0
