timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output
11187.384,75.18,24.68,40,65,,28.79,100
11187.384,75.18,24.68,40,65,,28.79,100
11187.534,76.03,24.82,40,65,,28.76,100
11187.534,76.03,24.82,40,65,,28.76,100
11187.534,76.03,24.82,40,65,,28.76,100
11187.534,76.03,24.82,40,65,,28.76,100
11187.534,76.03,24.82,40,65,,28.76,100
11187.534,76.03,24.82,40,65,,28.76,100
11187.684,77.18,24.97,40,65,,28.7,100
11187.684,77.18,24.97,40,65,,28.7,100
11187.684,77.18,24.97,40,65,,28.7,100
11187.684,77.18,24.97,40,65,,28.7,100
11187.684,77.18,24.97,40,65,,28.7,100
11187.684,77.18,24.97,40,65,,28.7,100
11187.834,78.03,25.12,40,65,24.33,28.67,100
11187.834,78.03,25.12,40,65,24.33,28.67,100
11187.834,78.03,25.12,40,65,24.33,28.67,100
11187.834,78.03,25.12,40,65,24.33,28.67,100
11187.834,78.03,25.12,40,65,24.33,28.67,100
11187.834,78.03,25.12,40,65,24.33,28.67,100
11187.834,78.03,25.12,40,65,24.33,28.67,100
11187.984,78.87,25.27,40,65,,28.64,100
11187.984,78.87,25.27,40,65,,28.64,100
11187.984,78.87,25.27,40,65,,28.64,100
11187.984,78.87,25.27,40,65,,28.64,100
11187.984,78.87,25.27,40,65,,28.64,100
11187.984,78.87,25.27,40,65,,28.64,100
11188.134,79.94,25.44,40,65,,28.6,100
11188.134,79.94,25.44,40,65,,28.6,100
11188.134,79.94,25.44,40,65,,28.6,100
11188.134,79.94,25.44,40,65,,28.6,100
11188.134,79.94,25.44,40,65,,28.6,100
11188.134,79.94,25.44,40,65,,28.6,100
11188.284,80.77,25.6,40,65,,28.57,100
11188.284,80.77,25.6,40,65,,28.57,100
11188.284,80.77,25.6,40,65,,28.57,100
11188.284,80.77,25.6,40,65,,28.57,100
11188.284,80.77,25.6,40,65,,28.57,100
11188.284,80.77,25.6,40,65,,28.57,100
11188.434,81.56,25.77,40,65,24.73,28.54,100
11188.434,81.56,25.77,40,65,24.73,28.54,100
11188.434,81.56,25.77,40,65,24.73,28.54,100
11188.434,81.56,25.77,40,65,24.73,28.54,100
11188.434,81.56,25.77,40,65,24.73,28.54,100
11188.434,81.56,25.77,40,65,24.73,28.54,100
11188.434,81.56,25.77,40,65,24.73,28.54,100
11188.585,82.57,25.94,40,65,,28.5,100
11188.585,82.57,25.94,40,65,,28.5,100
11188.585,82.57,25.94,40,65,,28.5,100
11188.585,82.57,25.94,40,65,,28.5,100
11188.585,82.57,25.94,40,65,,28.5,100
11188.585,82.57,25.94,40,65,,28.5,100
11188.735,83.32,26.12,40,65,,28.48,100
11188.735,83.32,26.12,40,65,,28.48,100
