timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output
3942.055,94.1,26.91,40,65,,38.26,100
3942.055,94.1,26.91,40,65,,38.26,100
3942.055,94.1,26.91,40,65,,38.26,100
3942.055,94.1,26.91,40,65,,38.26,100
3942.205,94.81,27.12,40,65,,38.22,100
3942.205,94.81,27.12,40,65,,38.22,100
3942.205,94.81,27.12,40,65,,38.22,100
3942.205,94.81,27.12,40,65,,38.22,100
3942.205,94.81,27.12,40,65,,38.22,100
3942.205,94.81,27.12,40,65,,38.22,100
3942.356,95.72,27.35,40,65,,38.18,100
3942.356,95.72,27.35,40,65,,38.18,100
3942.356,95.72,27.35,40,65,,38.18,100
3942.356,95.72,27.35,40,65,,38.18,100
3942.356,95.72,27.35,40,65,,38.18,100
3942.356,95.72,27.35,40,65,,38.18,100
3942.506,96.41,27.56,40,65,,38.16,100
3942.506,96.41,27.56,40,65,,38.16,100
3942.506,96.41,27.56,40,65,,38.16,100
3942.506,96.41,27.56,40,65,,38.16,100
3942.506,96.41,27.56,40,65,,38.16,100
3942.506,96.41,27.56,40,65,,38.16,100
3942.656,97.08,27.78,40,65,,38.12,100
3942.656,97.08,27.78,40,65,,38.12,100
3942.656,97.08,27.78,40,65,,38.12,100
3942.656,97.08,27.78,40,65,,38.12,100
3942.656,97.08,27.78,40,65,,38.12,100
3942.656,97.08,27.78,40,65,,38.12,100
3942.807,97.94,28.01,40,65,,38.07,100
3942.807,97.94,28.01,40,65,,38.07,100
3942.807,97.94,28.01,40,65,,38.07,100
3942.807,97.94,28.01,40,65,,38.07,100
3942.807,97.94,28.01,40,65,,38.07,100
3942.807,97.94,28.01,40,65,,38.07,100
3942.957,98.57,28.24,40,65,,38.04,100
3942.957,98.57,28.24,40,65,,38.04,100
3942.957,98.57,28.24,40,65,,38.04,100
3942.957,98.57,28.24,40,65,,38.04,100
3942.957,98.57,28.24,40,65,,38.04,100
3942.957,98.57,28.24,40,65,,38.04,100
3943.107,99.2,28.46,40,65,,38.01,100
3943.107,99.2,28.46,40,65,,38.01,100
3943.107,99.2,28.46,40,65,,38.01,100
3943.107,99.2,28.46,40,65,,38.01,100
3943.107,99.2,28.46,40,65,,38.01,100
3943.107,99.2,28.46,40,65,,38.01,100
3943.258,100.05,28.71,40,65,,37.98,100
3943.258,100.05,28.71,40,65,,37.98,100
3943.258,100.05,28.71,40,65,,37.98,100
3943.258,100.05,28.71,40,65,,37.98,100
3943.258,100.05,28.71,40,65,,37.98,100
3943.258,100.05,28.71,40,65,,37.98,100
3943.408,100.66,28.94,40,65,,37.95,100
3943.408,100.66,28.94,40,65,,37.95,100
3943.408,100.66,28.94,40,65,,37.95,100
3943.408,100.66,28.94,40,65,,37.95,100
3943.408,100.66,28.94,40,65,,37.95,100
3943.408,100.66,28.94,40,65,,37.95,100
