***Stage1 ON***
[9]TC TEC set to 50°C
(1127473) _setStage1TecTempC: TEC Set Temp 50.000000
(1127474) _resetThermalControlState: RESET Peltier 0 control state
(1127478) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(1127485) _setThermalControlState: thermalControl-0: changing state 3->1
(1127492) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(1127500) thermalControlSetEnable: Enabling Peltier 0
(1134578) TC: TC-0 = 22.54, modeled = 15.32, target = 50.00, heatSink = -87.11, output = 100.0, timeout = 7050, exptTempC = 0.00, TecRate = 0.154
(1134727) TC: TC-0 = 22.54, modeled = 15.34, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 7200, exptTempC = 0.00, TecRate = 0.160
(1134878) TC: TC-0 = 22.55, modeled = 15.37, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 7350, exptTempC = 0.00, TecRate = 0.161
(1135032) TC: TC-0 = 22.54, modeled = 15.39, target = 50.00, heatSink = -87.58, output = 100.0, timeout = 7500, exptTempC = 0.00, TecRate = 0.149
(1135179) TC: TC-0 = 22.55, modeled = 15.41, target = 50.00, heatSink = -87.74, output = 100.0, timeout = 7650, exptTempC = 0.00, TecRate = 0.156
(1135328) TC: TC-0 = 22.55, modeled = 15.43, target = 50.00, heatSink = -87.19, output = 100.0, timeout = 7800, exptTempC = 0.00, TecRate = 0.158
(1135478) TC: TC-0 = 22.55, modeled = 15.46, target = 50.00, heatSink = -87.57, output = 100.0, timeout = 7950, exptTempC = 0.00, TecRate = 0.174
(1135630) TC: TC-0 = 22.55, modeled = 15.48, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 8100, exptTempC = 0.00, TecRate = 0.155
(1135780) TC: TC-0 = 22.55, modeled = 15.50, target = 50.00, heatSink = -87.87, output = 100.0, timeout = 8250, exptTempC = 0.00, TecRate = 0.141
(1135931) TC: TC-0 = 22.56, modeled = 15.53, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 8400, exptTempC = 0.00, TecRate = 0.157
(1136081) TC: TC-0 = 22.55, modeled = 15.55, target = 50.00, heatSink = -87.66, output = 100.0, timeout = 8550, exptTempC = 0.00, TecRate = 0.142
(1136231) TC: TC-0 = 22.56, modeled = 15.57, target = 50.00, heatSink = -87.32, output = 100.0, timeout = 8700, exptTempC = 0.00, TecRate = 0.168
(1136380) TC: TC-0 = 22.56, modeled = 15.59, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 8850, exptTempC = 0.00, TecRate = 0.163
(1136531) TC: TC-0 = 22.57, modeled = 15.62, target = 50.00, heatSink = -87.74, output = 100.0, timeout = 9000, exptTempC = 0.00, TecRate = 0.154
(1136682) TC: TC-0 = 22.57, modeled = 15.64, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 9150, exptTempC = 0.00, TecRate = 0.159
(1136837) TC: TC-0 = 22.57, modeled = 15.66, target = 50.00, heatSink = -87.61, output = 100.0, timeout = 9300, exptTempC = 0.00, TecRate = 0.131
(1136982) TC: TC-0 = 22.58, modeled = 15.69, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 9450, exptTempC = 0.00, TecRate = 0.187
(1137133) TC: TC-0 = 22.59, modeled = 15.72, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 9600, exptTempC = 0.00, TecRate = 0.204
(1137283) TC: TC-0 = 22.61, modeled = 15.75, target = 50.00, heatSink = -87.57, output = 100.0, timeout = 9750, exptTempC = 0.00, TecRate = 0.224
(1137434) TC: TC-0 = 22.65, modeled = 15.79, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 9900, exptTempC = 0.00, TecRate = 0.292
(1137583) TC: TC-0 = 22.68, modeled = 15.83, target = 50.00, heatSink = -87.87, output = 100.0, timeout = 10050, exptTempC = 0.00, TecRate = 0.273
(1137740) TC: TC-0 = 22.71, modeled = 15.87, target = 50.00, heatSink = -87.83, output = 100.0, timeout = 10200, exptTempC = 0.00, TecRate = 0.131
(1137884) TC: TC-0 = 22.74, modeled = 15.91, target = 50.00, heatSink = -87.88, output = 100.0, timeout = 10350, exptTempC = 0.00, TecRate = 0.285
(1138034) TC: TC-0 = 22.78, modeled = 15.96, target = 50.00, heatSink = -87.50, output = 100.0, timeout = 10500, exptTempC = 0.00, TecRate = 0.269
(1138185) TC: TC-0 = 22.81, modeled = 16.00, target = 50.00, heatSink = -87.23, output = 100.0, timeout = 10650, exptTempC = 0.00, TecRate = 0.266
(1138335) TC: TC-0 = 22.84, modeled = 16.03, target = 50.00, heatSink = -87.57, output = 100.0, timeout = 10800, exptTempC = 0.00, TecRate = 0.248
(1138485) TC: TC-0 = 22.87, modeled = 16.07, target = 50.00, heatSink = -88.01, output = 100.0, timeout = 10950, exptTempC = 0.00, TecRate = 0.261
(1138641) TC: TC-0 = 22.89, modeled = 16.11, target = 50.00, heatSink = -87.87, output = 100.0, timeout = 11100, exptTempC = 0.00, TecRate = 0.129
(1138785) TC: TC-0 = 22.93, modeled = 16.15, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 11250, exptTempC = 0.00, TecRate = 0.260
(1138936) TC: TC-0 = 22.96, modeled = 16.18, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 11400, exptTempC = 0.00, TecRate = 0.275
(1139087) TC: TC-0 = 22.99, modeled = 16.22, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 11550, exptTempC = 0.00, TecRate = 0.261
(1139237) TC: TC-0 = 23.01, modeled = 16.26, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 11700, exptTempC = 0.00, TecRate = 0.247
(1139386) TC: TC-0 = 23.04, modeled = 16.29, target = 50.00, heatSink = -88.10, output = 100.0, timeout = 11850, exptTempC = 0.00, TecRate = 0.256
(1139542) TC: TC-0 = 23.06, modeled = 16.33, target = 50.00, heatSink = -87.88, output = 100.0, timeout = 12000, exptTempC = 0.00, TecRate = 0.124
(1139687) TC: TC-0 = 23.08, modeled = 16.36, target = 50.00, heatSink = -87.49, output = 100.0, timeout = 12150, exptTempC = 0.00, TecRate = 0.227
(1139837) TC: TC-0 = 23.11, modeled = 16.40, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 12300, exptTempC = 0.00, TecRate = 0.224
(1139988) TC: TC-0 = 23.14, modeled = 16.44, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 12450, exptTempC = 0.00, TecRate = 0.250
(1140139) TC: TC-0 = 23.17, modeled = 16.47, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 12600, exptTempC = 0.00, TecRate = 0.239
(1140288) TC: TC-0 = 23.19, modeled = 16.51, target = 50.00, heatSink = -87.74, output = 100.0, timeout = 12750, exptTempC = 0.00, TecRate = 0.221
(1140441) TC: TC-0 = 23.21, modeled = 16.54, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 12900, exptTempC = 0.00, TecRate = 0.211
