***Stage1 ON***
[46]TC TEC set to 50°C
(1912774) _setStage1TecTempC: TEC Set Temp 50.000000
(1912775) _resetThermalControlState: RESET Peltier 0 control state
(1912779) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(1912786) _setThermalControlState: thermalControl-0: changing state 3->1
(1912793) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(1912801) thermalControlSetEnable: Enabling Peltier 0
(1921445) TC: TC-0 = 90.48, modeled = 16.12, target = 50.00, heatSink = -86.75, output = 100.0, timeout = 8650, exptTempC = 50.00, TecRate = 1.571
(1921596) TC: TC-0 = 91.04, modeled = 16.36, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 8800, exptTempC = 50.00, TecRate = 1.579
(1921746) TC: TC-0 = 91.55, modeled = 16.59, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 8950, exptTempC = 50.00, TecRate = 1.585
(1921896) TC: TC-0 = 92.01, modeled = 16.83, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 9100, exptTempC = 50.00, TecRate = 1.590
(1922047) TC: TC-0 = 92.45, modeled = 17.07, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 9250, exptTempC = 50.00, TecRate = 1.595
(1922205) TC: TC-0 = 92.90, modeled = 17.31, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 9400, exptTempC = 50.00, TecRate = 1.600
(1922351) TC: TC-0 = 93.17, modeled = 17.55, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 9550, exptTempC = 50.00, TecRate = 1.601
(1922500) TC: TC-0 = 93.55, modeled = 17.79, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 9700, exptTempC = 50.00, TecRate = 1.604
(1922652) TC: TC-0 = 93.91, modeled = 18.03, target = 50.00, heatSink = -86.55, output = 100.0, timeout = 9850, exptTempC = 50.00, TecRate = 1.607
(1922801) TC: TC-0 = 94.27, modeled = 18.27, target = 50.00, heatSink = -86.98, output = 100.0, timeout = 10000, exptTempC = 50.00, TecRate = 1.609
(1922951) TC: TC-0 = 94.60, modeled = 18.51, target = 50.00, heatSink = -87.15, output = 100.0, timeout = 10150, exptTempC = 50.00, TecRate = 1.611
(1923106) TC: TC-0 = 94.91, modeled = 18.76, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 10300, exptTempC = 50.00, TecRate = 1.613
(1923252) TC: TC-0 = 95.11, modeled = 19.00, target = 50.00, heatSink = -87.03, output = 100.0, timeout = 10450, exptTempC = 50.00, TecRate = 1.612
(1923402) TC: TC-0 = 95.39, modeled = 19.24, target = 50.00, heatSink = -86.75, output = 100.0, timeout = 10600, exptTempC = 50.00, TecRate = 1.613
(1923553) TC: TC-0 = 95.65, modeled = 19.48, target = 50.00, heatSink = -86.55, output = 100.0, timeout = 10750, exptTempC = 50.00, TecRate = 1.613
(1923702) TC: TC-0 = 95.92, modeled = 19.72, target = 50.00, heatSink = -86.83, output = 100.0, timeout = 10900, exptTempC = 50.00, TecRate = 1.614
(1923852) TC: TC-0 = 96.19, modeled = 19.97, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 11050, exptTempC = 50.00, TecRate = 1.614
(1924007) TC: TC-0 = 96.40, modeled = 20.21, target = 50.00, heatSink = -86.90, output = 100.0, timeout = 11200, exptTempC = 50.00, TecRate = 1.614
(1924153) TC: TC-0 = 96.54, modeled = 20.45, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 11350, exptTempC = 50.00, TecRate = 1.611
(1924303) TC: TC-0 = 96.76, modeled = 20.69, target = 50.00, heatSink = -86.67, output = 100.0, timeout = 11500, exptTempC = 50.00, TecRate = 1.611
(1924454) TC: TC-0 = 96.95, modeled = 20.93, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 11650, exptTempC = 50.00, TecRate = 1.610
(1924603) TC: TC-0 = 97.14, modeled = 21.17, target = 50.00, heatSink = -86.76, output = 100.0, timeout = 11800, exptTempC = 50.00, TecRate = 1.608
(1924753) TC: TC-0 = 97.31, modeled = 21.41, target = 50.00, heatSink = -86.95, output = 100.0, timeout = 11950, exptTempC = 50.00, TecRate = 1.607
(1924908) TC: TC-0 = 97.46, modeled = 21.66, target = 50.00, heatSink = -87.02, output = 100.0, timeout = 12100, exptTempC = 50.00, TecRate = 1.605
(1925054) TC: TC-0 = 97.57, modeled = 21.90, target = 50.00, heatSink = -87.06, output = 100.0, timeout = 12250, exptTempC = 50.00, TecRate = 1.601
(1925203) TC: TC-0 = 97.74, modeled = 22.14, target = 50.00, heatSink = -86.79, output = 100.0, timeout = 12400, exptTempC = 50.00, TecRate = 1.600
(1925354) TC: TC-0 = 97.88, modeled = 22.38, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 12550, exptTempC = 50.00, TecRate = 1.597
(1925504) TC: TC-0 = 98.02, modeled = 22.61, target = 50.00, heatSink = -86.91, output = 100.0, timeout = 12700, exptTempC = 50.00, TecRate = 1.595
(1925654) TC: TC-0 = 98.16, modeled = 22.85, target = 50.00, heatSink = -86.90, output = 100.0, timeout = 12850, exptTempC = 50.00, TecRate = 1.593
(1925809) TC: TC-0 = 98.29, modeled = 23.09, target = 50.00, heatSink = -86.90, output = 100.0, timeout = 13000, exptTempC = 50.00, TecRate = 1.590
(1925955) TC: TC-0 = 98.37, modeled = 23.33, target = 50.00, heatSink = -87.02, output = 100.0, timeout = 13150, exptTempC = 50.00, TecRate = 1.586
(1926105) TC: TC-0 = 98.51, modeled = 23.57, target = 50.00, heatSink = -86.55, output = 100.0, timeout = 13300, exptTempC = 50.00, TecRate = 1.584
(1926255) TC: TC-0 = 98.63, modeled = 23.81, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 13450, exptTempC = 50.00, TecRate = 1.581
(1926405) TC: TC-0 = 98.75, modeled = 24.04, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 13600, exptTempC = 50.00, TecRate = 1.578
(1926555) TC: TC-0 = 98.84, modeled = 24.28, target = 50.00, heatSink = -86.90, output = 100.0, timeout = 13750, exptTempC = 50.00, TecRate = 1.575
(1926708) TC: TC-0 = 98.95, modeled = 24.51, target = 50.00, heatSink = -87.03, output = 100.0, timeout = 13900, exptTempC = 50.00, TecRate = 1.572
(1926863) TC: TC-0 = 99.02, modeled = 24.75, target = 50.00, heatSink = -86.98, output = 100.0, timeout = 14050, exptTempC = 50.00, TecRate = 1.568
(1927007) TC: TC-0 = 99.12, modeled = 24.98, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 14200, exptTempC = 50.00, TecRate = 1.565
(1927158) TC: TC-0 = 99.21, modeled = 25.22, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 14350, exptTempC = 50.00, TecRate = 1.561
(1927308) TC: TC-0 = 99.31, modeled = 25.45, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 14500, exptTempC = 50.00, TecRate = 1.558
(1927457) TC: TC-0 = 99.38, modeled = 25.69, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 14650, exptTempC = 50.00, TecRate = 1.554
(1927611) TC: TC-0 = 99.47, modeled = 25.92, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 14800, exptTempC = 50.00, TecRate = 1.550
(1927758) TC: TC-0 = 99.53, modeled = 26.15, target = 50.00, heatSink = -86.98, output = 100.0, timeout = 14950, exptTempC = 50.00, TecRate = 1.546
(1927908) TC: TC-0 = 99.60, modeled = 26.38, target = 50.00, heatSink = -86.51, output = 100.0, timeout = 15100, exptTempC = 50.00, TecRate = 1.543
(1928057) TC: TC-0 = 99.67, modeled = 26.61, target = 50.00, heatSink = -86.83, output = 100.0, timeout = 15250, exptTempC = 50.00, TecRate = 1.539
(1928207) TC: TC-0 = 99.74, modeled = 26.84, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 15400, exptTempC = 50.00, TecRate = 1.535
(1928359) TC: TC-0 = 99.83, modeled = 27.07, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 15550, exptTempC = 50.00, TecRate = 1.531
(1928514) TC: TC-0 = 99.86, modeled = 27.30, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 15700, exptTempC = 50.00, TecRate = 1.527
(1928658) TC: TC-0 = 99.92, modeled = 27.53, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 15850, exptTempC = 50.00, TecRate = 1.523
(1928809) TC: TC-0 = 99.98, modeled = 27.76, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 16000, exptTempC = 50.00, TecRate = 1.519
(1928959) TC: TC-0 = 100.04, modeled = 27.99, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 16150, exptTempC = 50.00, TecRate = 1.515
