***Stage1 ON***
[88]TC TEC set to 50°C
(2972822) _setStage1TecTempC: TEC Set Temp 50.000000
(2972823) _resetThermalControlState: RESET Peltier 0 control state
(2972827) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(2972834) _setThermalControlState: thermalControl-0: changing state 3->1
(2972841) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(2972849) thermalControlSetEnable: Enabling Peltier 0
(2991193) TC: TC-0 = 102.59, modeled = 33.43, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 18300, exptTempC = 50.00, TecRate = 1.446
(2991343) TC: TC-0 = 102.62, modeled = 33.65, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 18450, exptTempC = 50.00, TecRate = 1.441
(2991493) TC: TC-0 = 102.65, modeled = 33.86, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 18600, exptTempC = 50.00, TecRate = 1.437
(2991645) TC: TC-0 = 102.69, modeled = 34.08, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 18750, exptTempC = 50.00, TecRate = 1.433
(2991799) TC: TC-0 = 102.70, modeled = 34.29, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 18900, exptTempC = 50.00, TecRate = 1.428
(2991944) TC: TC-0 = 102.74, modeled = 34.50, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 19050, exptTempC = 50.00, TecRate = 1.424
(2992095) TC: TC-0 = 102.76, modeled = 34.72, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 19200, exptTempC = 50.00, TecRate = 1.419
(2992245) TC: TC-0 = 102.78, modeled = 34.93, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 19350, exptTempC = 50.00, TecRate = 1.414
(2992394) TC: TC-0 = 102.81, modeled = 35.14, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 19500, exptTempC = 50.00, TecRate = 1.410
(2992549) TC: TC-0 = 102.83, modeled = 35.35, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 19650, exptTempC = 50.00, TecRate = 1.405
(2992694) TC: TC-0 = 102.84, modeled = 35.56, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 19800, exptTempC = 50.00, TecRate = 1.401
(2992845) TC: TC-0 = 102.85, modeled = 35.77, target = 50.00, heatSink = -86.20, output = 100.0, timeout = 19950, exptTempC = 50.00, TecRate = 1.396
(2992995) TC: TC-0 = 102.88, modeled = 35.98, target = 50.00, heatSink = -86.59, output = 100.0, timeout = 20100, exptTempC = 50.00, TecRate = 1.392
(2993145) TC: TC-0 = 102.90, modeled = 36.19, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 20250, exptTempC = 50.00, TecRate = 1.387
(2993295) TC: TC-0 = 102.91, modeled = 36.40, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 20400, exptTempC = 50.00, TecRate = 1.382
(2993451) TC: TC-0 = 102.93, modeled = 36.60, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 20550, exptTempC = 50.00, TecRate = 1.378
(2993596) TC: TC-0 = 102.95, modeled = 36.81, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 20700, exptTempC = 50.00, TecRate = 1.373
(2993746) TC: TC-0 = 102.97, modeled = 37.02, target = 50.00, heatSink = -86.23, output = 100.0, timeout = 20850, exptTempC = 50.00, TecRate = 1.369
(2993895) TC: TC-0 = 102.99, modeled = 37.22, target = 50.00, heatSink = -86.59, output = 100.0, timeout = 21000, exptTempC = 50.00, TecRate = 1.364
(2994046) TC: TC-0 = 103.03, modeled = 37.43, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 21150, exptTempC = 50.00, TecRate = 1.361
(2994196) TC: TC-0 = 103.07, modeled = 37.63, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 21300, exptTempC = 50.00, TecRate = 1.357
(2994352) TC: TC-0 = 103.08, modeled = 37.83, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 21450, exptTempC = 50.00, TecRate = 1.352
(2994496) TC: TC-0 = 103.09, modeled = 38.03, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 21600, exptTempC = 50.00, TecRate = 1.347
(2994647) TC: TC-0 = 103.11, modeled = 38.24, target = 50.00, heatSink = -86.28, output = 100.0, timeout = 21750, exptTempC = 50.00, TecRate = 1.343
(2994797) TC: TC-0 = 103.13, modeled = 38.44, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 21900, exptTempC = 50.00, TecRate = 1.339
(2994947) TC: TC-0 = 103.16, modeled = 38.64, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 22050, exptTempC = 50.00, TecRate = 1.334
(2995097) TC: TC-0 = 103.15, modeled = 38.84, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 22200, exptTempC = 50.00, TecRate = 1.329
(2995253) TC: TC-0 = 103.18, modeled = 39.04, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 22350, exptTempC = 50.00, TecRate = 1.326
(2995399) TC: TC-0 = 103.20, modeled = 39.23, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 22500, exptTempC = 50.00, TecRate = 1.321
(2995549) TC: TC-0 = 103.22, modeled = 39.43, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 22650, exptTempC = 50.00, TecRate = 1.317
(2995700) TC: TC-0 = 103.23, modeled = 39.63, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 22800, exptTempC = 50.00, TecRate = 1.313
(2995850) TC: TC-0 = 103.26, modeled = 39.83, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 22950, exptTempC = 50.00, TecRate = 1.308
(2995999) TC: TC-0 = 103.27, modeled = 40.02, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 23100, exptTempC = 50.00, TecRate = 1.304
(2996155) TC: TC-0 = 103.30, modeled = 40.22, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 23250, exptTempC = 50.00, TecRate = 1.300
(2996301) TC: TC-0 = 103.32, modeled = 40.41, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 23400, exptTempC = 50.00, TecRate = 1.296
(2996450) TC: TC-0 = 103.34, modeled = 40.61, target = 50.00, heatSink = -86.24, output = 100.0, timeout = 23550, exptTempC = 50.00, TecRate = 1.292
