***Stage1 ON***
[113]TC TEC set to 50°C
(6218536) _setStage1TecTempC: TEC Set Temp 50.000000
(6218537) _resetThermalControlState: RESET Peltier 0 control state
(6218541) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(6218548) _setThermalControlState: thermalControl-0: changing state 3->1
(6218555) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(6218563) thermalControlSetEnable: Enabling Peltier 0
(6230776) TC: TC-0 = 60.57, modeled = 5.81, target = 50.00, heatSink = -86.12, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.143
(6230926) TC: TC-0 = 61.27, modeled = 5.99, target = 50.00, heatSink = -86.16, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.154
(6231076) TC: TC-0 = 61.94, modeled = 6.16, target = 50.00, heatSink = -86.24, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.164
(6231228) TC: TC-0 = 62.60, modeled = 6.33, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.174
(6231382) TC: TC-0 = 63.02, modeled = 6.51, target = 50.00, heatSink = -86.43, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.179
(6231527) TC: TC-0 = 63.66, modeled = 6.69, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.189
(6231678) TC: TC-0 = 64.30, modeled = 6.87, target = 50.00, heatSink = -86.08, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.198
(6231829) TC: TC-0 = 64.93, modeled = 7.05, target = 50.00, heatSink = -85.97, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.208
(6231978) TC: TC-0 = 65.54, modeled = 7.23, target = 50.00, heatSink = -86.35, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.217
(6232130) TC: TC-0 = 66.13, modeled = 7.41, target = 50.00, heatSink = -86.50, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.225
(6232284) TC: TC-0 = 66.53, modeled = 7.60, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.230
(6232429) TC: TC-0 = 67.09, modeled = 7.78, target = 50.00, heatSink = -86.20, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.238
(6232580) TC: TC-0 = 67.65, modeled = 7.97, target = 50.00, heatSink = -86.01, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.246
(6232730) TC: TC-0 = 68.19, modeled = 8.16, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.253
(6232879) TC: TC-0 = 68.72, modeled = 8.35, target = 50.00, heatSink = -86.54, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.260
