(5105885) TC: TC-0 = 58.00, modeled = 26.18, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 13300, exptTempC = 0.00, TecRate = 3.848
(5106036) TC: TC-0 = 60.70, modeled = 26.75, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 13450, exptTempC = 0.00, TecRate = 3.795
(5106186) TC: TC-0 = 63.23, modeled = 27.31, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 13600, exptTempC = 0.00, TecRate = 3.703
(5106341) TC: TC-0 = 64.84, modeled = 27.72, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 13750, exptTempC = 0.00, TecRate = 0.719
(5106487) TC: TC-0 = 67.17, modeled = 28.27, target = 50.00, heatSink = -87.02, output = 100.0, timeout = 13900, exptTempC = 0.00, TecRate = 3.676
(5106637) TC: TC-0 = 69.41, modeled = 28.82, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 14050, exptTempC = 0.00, TecRate = 3.610
(5106788) TC: TC-0 = 71.41, modeled = 29.34, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 14200, exptTempC = 0.00, TecRate = 3.455
(5106937) TC: TC-0 = 73.31, modeled = 29.85, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 14350, exptTempC = 0.00, TecRate = 3.334
(5107090) TC: TC-0 = 75.02, modeled = 30.34, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 14500, exptTempC = 0.00, TecRate = 3.249
(5107245) TC: TC-0 = 76.11, modeled = 30.71, target = 50.00, heatSink = -86.55, output = 100.0, timeout = 14650, exptTempC = 0.00, TecRate = 3.245
(5107390) TC: TC-0 = 77.68, modeled = 31.19, target = 50.00, heatSink = -87.11, output = 100.0, timeout = 14800, exptTempC = 0.00, TecRate = 3.170
(5107541) TC: TC-0 = 79.18, modeled = 31.66, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 14950, exptTempC = 0.00, TecRate = 3.106
(5107691) TC: TC-0 = 80.57, modeled = 32.12, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 15100, exptTempC = 0.00, TecRate = 3.020
(5107841) TC: TC-0 = 81.86, modeled = 32.56, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 15250, exptTempC = 0.00, TecRate = 2.900
(5107992) TC: TC-0 = 83.08, modeled = 32.99, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 15400, exptTempC = 0.00, TecRate = 2.898
(5108142) TC: TC-0 = 83.85, modeled = 33.33, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 15550, exptTempC = 0.00, TecRate = 2.808
(5108292) TC: TC-0 = 84.94, modeled = 33.75, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 15700, exptTempC = 0.00, TecRate = 2.777
(5108442) TC: TC-0 = 85.94, modeled = 34.15, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 15850, exptTempC = 0.00, TecRate = 2.644
(5108592) TC: TC-0 = 86.87, modeled = 34.54, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 16000, exptTempC = 0.00, TecRate = 2.593
(5108743) TC: TC-0 = 87.77, modeled = 34.93, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 16150, exptTempC = 0.00, TecRate = 2.612
(5108898) TC: TC-0 = 88.32, modeled = 35.23, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 16300, exptTempC = 0.00, TecRate = 1.053
(5109042) TC: TC-0 = 89.08, modeled = 35.59, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 16450, exptTempC = 0.00, TecRate = 2.353
(5109193) TC: TC-0 = 89.78, modeled = 35.95, target = 50.00, heatSink = -86.83, output = 100.0, timeout = 16600, exptTempC = 0.00, TecRate = 2.360
