timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR HeatSink TempC,PCR Ramp Set TempC,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
2766.132,41.87,36.84,65.0,32.75,35.13,,,,,,,,,,,,,
2766.132,41.87,36.84,65.0,32.75,35.13,,,,,,,,,,,,,
2766.132,41.87,36.84,65.0,32.75,35.13,,,,,,,,,,,,,
2766.132,41.87,36.84,65.0,32.75,35.13,,,,,,,,,,,,,
2766.132,41.87,36.84,65.0,32.75,35.13,,,,,,,,,,,,,
2766.299,43.47,37.45,65.0,32.63,35.13,,,,,,,,,,,,,
2766.299,43.47,37.45,65.0,32.63,35.13,,,,,,,,,,,,,
2766.299,43.47,37.45,65.0,32.63,35.13,,,,,,,,,,,,,
2766.299,43.47,37.45,65.0,32.63,35.13,,,,,,,,,,,,,
2766.299,43.47,37.45,65.0,32.63,35.13,,,,,,,,,,,,,
2766.449,45.37,38.16,65.0,32.52,35.13,,,,,,,,,,,,,
2766.449,45.37,38.16,65.0,32.52,35.13,,,,,,,,,,,,,
2766.449,45.37,38.16,65.0,32.52,35.13,,,,,,,,,,,,,
2766.449,45.37,38.16,65.0,32.52,35.13,,,,,,,,,,,,,
2766.449,45.37,38.16,65.0,32.52,35.13,,,,,,,,,,,,,
2766.618,47.27,38.96,65.0,32.42,35.13,,,,,,,,,,,,,
2766.618,47.27,38.96,65.0,32.42,35.13,,,,,,,,,,,,,
2766.618,47.27,38.96,65.0,32.42,35.13,,,,,,,,,,,,,
2766.618,47.27,38.96,65.0,32.42,35.13,,,,,,,,,,,,,
2766.618,47.27,38.96,65.0,32.42,35.13,,,,,,,,,,,,,
2766.786,49.2,39.84,65.0,32.34,35.13,,,,,,,,,,,,,
2766.786,49.2,39.84,65.0,32.34,35.13,,,,,,,,,,,,,
2766.786,49.2,39.84,65.0,32.34,35.13,,,,,,,,,,,,,
2766.786,49.2,39.84,65.0,32.34,35.13,,,,,,,,,,,,,
