ID,inst,cp,tm,type,lot,fmax
9e165c8c-a049-4c1a-ac0e-8b5549c4bcd0,1,32,82,SNP928 With PK,3028,378
926e8e47-9b47-4f5f-902b-7fb060a31185,27,25,83,PMMV With PK,3012,483
2fe0107c-d21c-45f5-90dd-9020c4a222e1,2,33,83,PMMV With PK,2954,210
e6d4d5fc-8b05-4e38-9252-821733c57d85,27,35,83,PMMV With PK,3012,119
6e027d69-24f2-41ef-97c2-c46793a1945e,10,18,84,SNP928 No PK,2957,-6040
ecf10035-cd13-465e-9e2c-a88d8ca88dc9,18,27,84,PMMV With PK,3012,581
e28a8859-cb56-40b9-9372-2fb9d1151343,27,27,84,PMMV With PK,2954,695
cf15eb75-5ac8-46b8-82a1-59edf8a16330,9,29,84,PMMV With PK,3012,28
251e2072-bb83-4c02-aabf-a04c32dc4aa6,27,30,84,PMMV With PK,2954,191
daaf7cc5-d25b-4599-a6dd-98652eb8ad49,2,31,84,PMMV With PK,3012,25
51d9edcd-546d-4b73-a030-c0d87a5c6443,10,31,84,PMMV With PK,3012,255
85a3bf19-f4d5-4036-b188-40bb3afb5f89,1,33,84,PMMV With PK,2954,173
617cbb7b-2fb4-4e72-8900-367a7f1e5a19,1,33,84,PMMV With PK,2954,356
7b64ec51-3c8f-4dfa-b4e7-4b52badfc326,2,33,84,PMMV With PK,3012,28
188fcf00-2c93-49c2-9f13-1100f377d516,9,34,84,PMMV With PK,3012,33
aa13efe7-e429-4ab2-9e34-343f2f3211f6,18,34,84,PMMV With PK,3012,172
617c5605-2c01-4c21-97e7-c22f262bebb1,1,35,84,PMMV With PK,2954,103
12001c12-53b4-467e-95bd-a76499d0f08f,18,35,84,PMMV With PK,3012,35
312f90fc-7a19-41b1-b6ac-0b2e2022e180,18,35,84,PMMV With PK,2954,30
1506f7fe-561a-4a70-8982-fe77c02c9467,2,36,84,PMMV With PK,3012,45
0dc88ab7-c21a-4097-945e-b698d8bf68aa,18,36,84,PMMV With PK,2954,51
a1aef770-9c85-4af1-9037-9081a94a081f,27,36,84,PMMV With PK,3012,22
bdc53389-6820-4697-bc67-104360929071,27,36,84,PMMV With PK,3012,120
04202217-7da8-457d-af48-4d3618aee1f7,27,36,84,PMMV With PK,3012,99
