timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
7139.35,105.78,81.4,90,,33.79
7139.35,105.78,81.4,90,,33.79
7139.35,105.78,81.4,90,,33.79
7139.5,106.57,82.18,90,,33.78
7139.5,106.57,82.18,90,,33.78
7139.5,106.57,82.18,90,,33.78
7139.5,106.57,82.18,90,,33.78
7139.649,107.33,82.93,90,102.61,33.77
7139.649,107.33,82.93,90,102.61,33.77
7139.649,107.33,82.93,90,102.61,33.77
7139.649,107.33,82.93,90,102.61,33.77
7139.649,107.33,82.93,90,102.61,33.77
7139.799,108.29,83.69,90,,33.76
7139.799,108.29,83.69,90,,33.76
7139.799,108.29,83.69,90,,33.76
7139.799,108.29,83.69,90,,33.76
7139.949,109.04,84.45,90,,33.76
7139.949,109.04,84.45,90,,33.76
7139.949,109.04,84.45,90,,33.76
7139.949,109.04,84.45,90,,33.76
7140.099,109.74,85.17,90,,33.76
7140.099,109.74,85.17,90,,33.76
7140.099,109.74,85.17,90,,33.76
7140.099,109.74,85.17,90,,33.76
7140.249,110.67,85.91,90,105.7,33.76
7140.249,110.67,85.91,90,105.7,33.76
7140.249,110.67,85.91,90,105.7,33.76
7140.249,110.67,85.91,90,105.7,33.76
7140.249,110.67,85.91,90,105.7,33.76
7140.406,111.31,86.64,90,,33.76
7140.406,111.31,86.64,90,,33.76
7140.406,111.31,86.64,90,,33.76
7140.406,111.31,86.64,90,,33.76
7140.556,111.91,87.33,90,,33.76
7140.556,111.91,87.33,90,,33.76
7140.556,111.91,87.33,90,,33.76
7140.556,111.91,87.33,90,,33.76
7140.706,112.56,88,90,,33.76
7140.706,112.56,88,90,,33.76
7140.706,112.56,88,90,,33.76
7140.706,112.56,88,90,,33.76
7140.855,112.85,88.61,90,107.22,33.78
7140.855,112.85,88.61,90,107.22,33.78
7140.855,112.85,88.61,90,107.22,33.78
7140.855,112.85,88.61,90,107.22,33.78
7140.855,112.85,88.61,90,107.22,33.78
7141.006,112.79,89.1,90,,33.82
7141.006,112.79,89.1,90,,33.82
7141.006,112.79,89.1,90,,33.82
7141.006,112.79,89.1,90,,33.82
7141.152,112.08,89.4,90,,33.94
7141.152,112.08,89.4,90,,33.94
7141.152,112.08,89.4,90,,33.94
7141.152,112.08,89.4,90,,33.94
7141.302,111.2,89.51,90,,34.07
7141.302,111.2,89.51,90,,34.07
7141.302,111.2,89.51,90,,34.07
7141.302,111.2,89.51,90,,34.07
7141.453,110.06,89.46,90,102.91,34.23
7141.453,110.06,89.46,90,102.91,34.23
7141.453,110.06,89.46,90,102.91,34.23
7141.453,110.06,89.46,90,102.91,34.23
7141.453,110.06,89.46,90,102.91,34.23
7141.603,108.5,89.26,90,,34.44
7141.603,108.5,89.26,90,,34.44
7141.603,108.5,89.26,90,,34.44
7141.603,108.5,89.26,90,,34.44
7141.753,107.5,89,90,,34.58
7141.753,107.5,89,90,,34.58
7141.753,107.5,89,90,,34.58
7141.753,107.5,89,90,,34.58
7141.903,106.73,88.79,90,,34.68
7141.903,106.73,88.79,90,,34.68
7141.903,106.73,88.79,90,,34.68
7141.903,106.73,88.79,90,,34.68
7142.053,105.99,88.63,90,99.86,34.78
7142.053,105.99,88.63,90,99.86,34.78
7142.053,105.99,88.63,90,99.86,34.78
7142.053,105.99,88.63,90,99.86,34.78
7142.053,105.99,88.63,90,99.86,34.78
7142.203,105.59,88.54,90,,34.82
7142.203,105.59,88.54,90,,34.82
7142.203,105.59,88.54,90,,34.82
7142.203,105.59,88.54,90,,34.82
7142.353,105.34,88.53,90,,34.86
7142.353,105.34,88.53,90,,34.86
7142.353,105.34,88.53,90,,34.86
7142.353,105.34,88.53,90,,34.86
7142.503,105.14,88.58,90,,34.9
7142.503,105.14,88.58,90,,34.9
7142.503,105.14,88.58,90,,34.9
7142.503,105.14,88.58,90,,34.9
7142.653,105.04,88.69,90,99.63,34.94
7142.653,105.04,88.69,90,99.63,34.94
7142.653,105.04,88.69,90,99.63,34.94
7142.653,105.04,88.69,90,99.63,34.94
7142.653,105.04,88.69,90,99.63,34.94
7142.803,104.97,88.83,90,,34.96
7142.803,104.97,88.83,90,,34.96
7142.803,104.97,88.83,90,,34.96
7142.803,104.97,88.83,90,,34.96
7142.954,104.92,88.99,90,,34.99
7142.954,104.92,88.99,90,,34.99
7142.954,104.92,88.99,90,,34.99
7142.954,104.92,88.99,90,,34.99
7143.103,104.88,89.17,90,,35.01
7143.103,104.88,89.17,90,,35.01
7143.103,104.88,89.17,90,,35.01
7143.103,104.88,89.17,90,,35.01
7143.253,104.84,89.36,90,99.7,35.02
7143.253,104.84,89.36,90,99.7,35.02
7143.253,104.84,89.36,90,99.7,35.02
7143.253,104.84,89.36,90,99.7,35.02
7143.253,104.84,89.36,90,99.7,35.02
7143.403,104.8,89.54,90,,35.02
7143.403,104.8,89.54,90,,35.02
7143.403,104.8,89.54,90,,35.02
7143.403,104.8,89.54,90,,35.02
7143.553,104.72,89.72,90,,35.04
7143.553,104.72,89.72,90,,35.04
7143.553,104.72,89.72,90,,35.04
7143.553,104.72,89.72,90,,35.04
7143.703,104.65,89.9,90,,35.05
7143.703,104.65,89.9,90,,35.05
7143.703,104.65,89.9,90,,35.05
7143.703,104.65,89.9,90,,35.05
7143.853,104.56,90.07,90,99.39,35.06
7143.853,104.56,90.07,90,99.39,35.06
7143.853,104.56,90.07,90,99.39,35.06
7143.853,104.56,90.07,90,99.39,35.06
7143.853,104.56,90.07,90,99.39,35.06
7144.003,104.42,90.22,90,,35.06
7144.003,104.42,90.22,90,,35.06
7144.003,104.42,90.22,90,,35.06
7144.003,104.42,90.22,90,,35.06
7144.153,104.27,90.36,90,,35.08
7144.153,104.27,90.36,90,,35.08
7144.153,104.27,90.36,90,,35.08
7144.153,104.27,90.36,90,,35.08
7144.303,104.1,90.49,90,,35.09
7144.303,104.1,90.49,90,,35.09
7144.303,104.1,90.49,90,,35.09
7144.303,104.1,90.49,90,,35.09
7144.453,103.82,90.58,90,98.65,35.1
7144.453,103.82,90.58,90,98.65,35.1
7144.453,103.82,90.58,90,98.65,35.1
7144.453,103.82,90.58,90,98.65,35.1
7144.453,103.82,90.58,90,98.65,35.1
7144.603,103.6,90.66,90,,35.11
7144.603,103.6,90.66,90,,35.11
7144.603,103.6,90.66,90,,35.11
7144.603,103.6,90.66,90,,35.11
7144.753,103.35,90.73,90,,35.12
7144.753,103.35,90.73,90,,35.12
7144.753,103.35,90.73,90,,35.12
7144.753,103.35,90.73,90,,35.12
7144.904,103,90.77,90,,35.14
7144.904,103,90.77,90,,35.14
7144.904,103,90.77,90,,35.14
7144.904,103,90.77,90,,35.14
7145.054,102.73,90.81,90,97.48,35.16
7145.054,102.73,90.81,90,97.48,35.16
7145.054,102.73,90.81,90,97.48,35.16
7145.054,102.73,90.81,90,97.48,35.16
7145.054,102.73,90.81,90,97.48,35.16
7145.204,102.43,90.84,90,,35.17
7145.204,102.43,90.84,90,,35.17
7145.204,102.43,90.84,90,,35.17
7145.204,102.43,90.84,90,,35.17
7145.355,102.03,90.83,90,,35.19
7145.355,102.03,90.83,90,,35.19
7145.355,102.03,90.83,90,,35.19
7145.355,102.03,90.83,90,,35.19
7145.505,101.73,90.83,90,,35.21
7145.505,101.73,90.83,90,,35.21
7145.505,101.73,90.83,90,,35.21
7145.505,101.73,90.83,90,,35.21
7145.656,101.3,90.81,90,96.22,35.23
7145.656,101.3,90.81,90,96.22,35.23
7145.656,101.3,90.81,90,96.22,35.23
7145.656,101.3,90.81,90,96.22,35.23
7145.656,101.3,90.81,90,96.22,35.23
7145.806,100.99,90.79,90,,35.24
7145.806,100.99,90.79,90,,35.24
7145.806,100.99,90.79,90,,35.24
7145.806,100.99,90.79,90,,35.24
7145.956,100.68,90.77,90,,35.26
7145.956,100.68,90.77,90,,35.26
7145.956,100.68,90.77,90,,35.26
7145.956,100.68,90.77,90,,35.26
7146.106,100.27,90.74,90,,35.28
7146.106,100.27,90.74,90,,35.28
7146.106,100.27,90.74,90,,35.28
7146.106,100.27,90.74,90,,35.28
7146.251,99.96,90.7,90,,35.29
7146.251,99.96,90.7,90,,35.29
