timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Thermocouple TempC 2
1808.393,78.35,26.7,0.0,65.0,,
1808.393,78.35,26.7,0.0,65.0,,
1808.393,78.35,26.7,0.0,65.0,,
1808.393,78.35,26.7,0.0,65.0,,
1808.543,79.15,26.87,0.0,65.0,21.24,20.84
1808.543,79.15,26.87,0.0,65.0,21.24,20.84
1808.543,79.15,26.87,0.0,65.0,21.24,20.84
1808.543,79.15,26.87,0.0,65.0,21.24,20.84
1808.543,79.15,26.87,0.0,65.0,21.24,20.84
1808.543,79.15,26.87,0.0,65.0,21.24,20.84
1808.693,79.74,27.04,0.0,65.0,,
1808.693,79.74,27.04,0.0,65.0,,
1808.693,79.74,27.04,0.0,65.0,,
1808.693,79.74,27.04,0.0,65.0,,
1808.843,80.32,27.21,0.0,65.0,,
1808.843,80.32,27.21,0.0,65.0,,
1808.843,80.32,27.21,0.0,65.0,,
1808.843,80.32,27.21,0.0,65.0,,
1808.993,81.09,27.39,0.0,65.0,,
1808.993,81.09,27.39,0.0,65.0,,
1808.993,81.09,27.39,0.0,65.0,,
1808.993,81.09,27.39,0.0,65.0,,
1809.143,81.66,27.57,0.0,65.0,21.57,22.75
1809.143,81.66,27.57,0.0,65.0,21.57,22.75
1809.143,81.66,27.57,0.0,65.0,21.57,22.75
1809.143,81.66,27.57,0.0,65.0,21.57,22.75
1809.143,81.66,27.57,0.0,65.0,21.57,22.75
1809.143,81.66,27.57,0.0,65.0,21.57,22.75
1809.293,82.21,27.74,0.0,65.0,,
1809.293,82.21,27.74,0.0,65.0,,
1809.293,82.21,27.74,0.0,65.0,,
1809.293,82.21,27.74,0.0,65.0,,
1809.443,82.91,27.93,0.0,65.0,,
1809.443,82.91,27.93,0.0,65.0,,
1809.443,82.91,27.93,0.0,65.0,,
1809.443,82.91,27.93,0.0,65.0,,
1809.593,83.45,28.11,0.0,65.0,,
1809.593,83.45,28.11,0.0,65.0,,
1809.593,83.45,28.11,0.0,65.0,,
1809.593,83.45,28.11,0.0,65.0,,
1809.743,83.96,28.29,0.0,65.0,21.66,23.9
1809.743,83.96,28.29,0.0,65.0,21.66,23.9
1809.743,83.96,28.29,0.0,65.0,21.66,23.9
1809.743,83.96,28.29,0.0,65.0,21.66,23.9
1809.743,83.96,28.29,0.0,65.0,21.66,23.9
1809.743,83.96,28.29,0.0,65.0,21.66,23.9
1809.893,84.65,28.49,0.0,65.0,,
1809.893,84.65,28.49,0.0,65.0,,
1809.893,84.65,28.49,0.0,65.0,,
1809.893,84.65,28.49,0.0,65.0,,
1810.043,85.13,28.67,0.0,65.0,,
1810.043,85.13,28.67,0.0,65.0,,
1810.043,85.13,28.67,0.0,65.0,,
1810.043,85.13,28.67,0.0,65.0,,
1810.193,85.66,28.86,0.0,65.0,,
1810.193,85.66,28.86,0.0,65.0,,
1810.193,85.66,28.86,0.0,65.0,,
1810.193,85.66,28.86,0.0,65.0,,
1810.344,86.31,29.06,0.0,65.0,22.14,25.3
1810.344,86.31,29.06,0.0,65.0,22.14,25.3
1810.344,86.31,29.06,0.0,65.0,22.14,25.3
1810.344,86.31,29.06,0.0,65.0,22.14,25.3
1810.344,86.31,29.06,0.0,65.0,22.14,25.3
1810.344,86.31,29.06,0.0,65.0,22.14,25.3
1810.494,86.79,29.25,0.0,65.0,,
1810.494,86.79,29.25,0.0,65.0,,
1810.494,86.79,29.25,0.0,65.0,,
1810.494,86.79,29.25,0.0,65.0,,
1810.644,87.25,29.44,0.0,65.0,,
1810.644,87.25,29.44,0.0,65.0,,
1810.644,87.25,29.44,0.0,65.0,,
1810.644,87.25,29.44,0.0,65.0,,
1810.794,87.87,29.65,0.0,65.0,,
1810.794,87.87,29.65,0.0,65.0,,
1810.794,87.87,29.65,0.0,65.0,,
1810.794,87.87,29.65,0.0,65.0,,
1810.944,88.33,29.84,0.0,65.0,22.59,25.93
1810.944,88.33,29.84,0.0,65.0,22.59,25.93
1810.944,88.33,29.84,0.0,65.0,22.59,25.93
1810.944,88.33,29.84,0.0,65.0,22.59,25.93
1810.944,88.33,29.84,0.0,65.0,22.59,25.93
1810.944,88.33,29.84,0.0,65.0,22.59,25.93
1811.094,88.78,30.03,0.0,65.0,,
1811.094,88.78,30.03,0.0,65.0,,
1811.094,88.78,30.03,0.0,65.0,,
1811.094,88.78,30.03,0.0,65.0,,
1811.244,89.38,30.25,0.0,65.0,,
1811.244,89.38,30.25,0.0,65.0,,
1811.244,89.38,30.25,0.0,65.0,,
