timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Thermocouple TempC 2
13372.478,49.95,24.0,45.0,45.0,,
13372.478,49.95,24.0,45.0,45.0,,
13372.478,49.95,24.0,45.0,45.0,,
13372.478,49.95,24.0,45.0,45.0,,
13372.628,51.14,24.0,45.0,45.0,22.95,22.28
13372.628,51.14,24.0,45.0,45.0,22.95,22.28
13372.628,51.14,24.0,45.0,45.0,22.95,22.28
13372.628,51.14,24.0,45.0,45.0,22.95,22.28
13372.628,51.14,24.0,45.0,45.0,22.95,22.28
13372.628,51.14,24.0,45.0,45.0,22.95,22.28
13372.778,52.72,24.0,45.0,45.0,,
13372.778,52.72,24.0,45.0,45.0,,
13372.778,52.72,24.0,45.0,45.0,,
13372.778,52.72,24.0,45.0,45.0,,
13372.928,53.88,24.0,45.0,45.0,,
13372.928,53.88,24.0,45.0,45.0,,
13372.928,53.88,24.0,45.0,45.0,,
13372.928,53.88,24.0,45.0,45.0,,
13373.078,55.03,24.0,45.0,45.0,,
13373.078,55.03,24.0,45.0,45.0,,
13373.078,55.03,24.0,45.0,45.0,,
13373.078,55.03,24.0,45.0,45.0,,
13373.228,56.53,24.0,45.0,45.0,22.98,22.36
13373.228,56.53,24.0,45.0,45.0,22.98,22.36
13373.228,56.53,24.0,45.0,45.0,22.98,22.36
13373.228,56.53,24.0,45.0,45.0,22.98,22.36
13373.228,56.53,24.0,45.0,45.0,22.98,22.36
13373.228,56.53,24.0,45.0,45.0,22.98,22.36
13373.378,57.64,24.0,45.0,45.0,,
13373.378,57.64,24.0,45.0,45.0,,
13373.378,57.64,24.0,45.0,45.0,,
13373.378,57.64,24.0,45.0,45.0,,
13373.528,58.73,24.0,45.0,45.0,,
13373.528,58.73,24.0,45.0,45.0,,
13373.528,58.73,24.0,45.0,45.0,,
13373.528,58.73,24.0,45.0,45.0,,
13373.678,60.17,24.0,45.0,45.0,,
13373.678,60.17,24.0,45.0,45.0,,
13373.678,60.17,24.0,45.0,45.0,,
13373.678,60.17,24.0,45.0,45.0,,
13373.828,61.23,24.0,45.0,45.0,,
13373.828,61.23,24.0,45.0,45.0,,
13373.828,61.23,24.0,45.0,45.0,,
13373.828,61.23,24.0,45.0,45.0,,
13373.843,,,,,22.98,22.37
13373.843,,,,,22.98,22.37
13373.978,62.27,24.0,45.0,45.0,,
13373.978,62.27,24.0,45.0,45.0,,
13373.978,62.27,24.0,45.0,45.0,,
13373.978,62.27,24.0,45.0,45.0,,
13374.128,63.63,24.0,45.0,45.0,,
13374.128,63.63,24.0,45.0,45.0,,
13374.128,63.63,24.0,45.0,45.0,,
13374.128,63.63,24.0,45.0,45.0,,
13374.278,64.64,24.0,45.0,45.0,,
13374.278,64.64,24.0,45.0,45.0,,
13374.278,64.64,24.0,45.0,45.0,,
13374.278,64.64,24.0,45.0,45.0,,
13374.428,65.65,24.01,45.0,45.0,23.12,22.48
13374.428,65.65,24.01,45.0,45.0,23.12,22.48
13374.428,65.65,24.01,45.0,45.0,23.12,22.48
13374.428,65.65,24.01,45.0,45.0,23.12,22.48
13374.428,65.65,24.01,45.0,45.0,23.12,22.48
13374.428,65.65,24.01,45.0,45.0,23.12,22.48
13374.578,66.94,24.11,45.0,45.0,,
13374.578,66.94,24.11,45.0,45.0,,
13374.578,66.94,24.11,45.0,45.0,,
13374.578,66.94,24.11,45.0,45.0,,
13374.728,67.91,24.22,45.0,45.0,,
13374.728,67.91,24.22,45.0,45.0,,
13374.728,67.91,24.22,45.0,45.0,,
13374.728,67.91,24.22,45.0,45.0,,
13374.878,68.84,24.34,45.0,45.0,,
13374.878,68.84,24.34,45.0,45.0,,
13374.878,68.84,24.34,45.0,45.0,,
13374.878,68.84,24.34,45.0,45.0,,
13375.028,70.06,24.46,45.0,45.0,23.2,22.54
13375.028,70.06,24.46,45.0,45.0,23.2,22.54
13375.028,70.06,24.46,45.0,45.0,23.2,22.54
13375.028,70.06,24.46,45.0,45.0,23.2,22.54
13375.028,70.06,24.46,45.0,45.0,23.2,22.54
13375.028,70.06,24.46,45.0,45.0,23.2,22.54
13375.178,70.97,24.58,45.0,45.0,,
13375.178,70.97,24.58,45.0,45.0,,
13375.178,70.97,24.58,45.0,45.0,,
13375.178,70.97,24.58,45.0,45.0,,
13375.328,71.88,24.71,45.0,45.0,,
13375.328,71.88,24.71,45.0,45.0,,
13375.328,71.88,24.71,45.0,45.0,,
13375.328,71.88,24.71,45.0,45.0,,
13375.478,73.05,24.85,45.0,45.0,,
13375.478,73.05,24.85,45.0,45.0,,
13375.478,73.05,24.85,45.0,45.0,,
13375.478,73.05,24.85,45.0,45.0,,
13375.628,73.92,24.99,45.0,45.0,23.26,22.59
13375.628,73.92,24.99,45.0,45.0,23.26,22.59
13375.628,73.92,24.99,45.0,45.0,23.26,22.59
13375.628,73.92,24.99,45.0,45.0,23.26,22.59
13375.628,73.92,24.99,45.0,45.0,23.26,22.59
13375.628,73.92,24.99,45.0,45.0,23.26,22.59
13375.778,74.77,25.13,45.0,45.0,,
13375.778,74.77,25.13,45.0,45.0,,
13375.778,74.77,25.13,45.0,45.0,,
13375.778,74.77,25.13,45.0,45.0,,
13375.928,75.86,25.29,45.0,45.0,,
13375.928,75.86,25.29,45.0,45.0,,
13375.928,75.86,25.29,45.0,45.0,,
13375.928,75.86,25.29,45.0,45.0,,
13376.078,76.68,25.44,45.0,45.0,,
13376.078,76.68,25.44,45.0,45.0,,
13376.078,76.68,25.44,45.0,45.0,,
13376.078,76.68,25.44,45.0,45.0,,
13376.228,77.48,25.59,45.0,45.0,23.55,22.73
13376.228,77.48,25.59,45.0,45.0,23.55,22.73
13376.228,77.48,25.59,45.0,45.0,23.55,22.73
13376.228,77.48,25.59,45.0,45.0,23.55,22.73
