***PCR ON***
[60]PCR TEC set to 50°C
(4352690) _setPcrTecTempC: TEC Set Temp 50.000000
(4352691) _applyThermalBrakeUpdate: Worst Temp: 97.022705
(4352694) _updateInertiaCompensation: overshoot: 47.022705, updatedComp: 47.022705, atIndex: 4 atTemp: 50.0
(4352705) _resetThermalControlState: RESET Peltier 1 control state
(4352711) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(4352719) _setThermalControlState: thermalControl-1: changing state 3->1
(4352726) tecCurvePredictorSetHoldPower: hold power: -154627.453125 filtered: -130606.437500 temp: 23.575153
(4352737) thermalControlSetEnable: Enabling Peltier 1
(4352745) _findInertiaCompensation: Inertia Compensation is too large: 47.022705
(4352751) _findInertiaCompensation: Resetting IC to 0...
(4352757) taskMonitor_task: Task Thermal Control Task hasn't checked in for 100 ms
(4352765) stashException: Exception Stashed (0x0B1E1)
(4352773) printException: ************
(4352776) printException: Error Code:  (0x0000B1E1)
(4352782) thermalControlTask: thermal control sleep.
(4352787) printException: Originator:   (0x0B)  System
(4352793) printException: Error Type:  (0x1E)  Inertia Compenstaion Reset
(4352801) printException: Priority:       (0x01)  Log Only
(4357481) TC: TC-1 = 23.50, modeled = 23.59, target = 50.00, heatSink = -87.71, output = 100.0, timeout = 4700, exptTempC = 50.00, TecRate = 0.037
(4357630) TC: TC-1 = 23.54, modeled = 23.60, target = 50.00, heatSink = -87.28, output = 100.0, timeout = 4850, exptTempC = 50.00, TecRate = 0.062
(4357781) TC: TC-1 = 23.60, modeled = 23.61, target = 50.00, heatSink = -88.15, output = 100.0, timeout = 5000, exptTempC = 50.00, TecRate = 0.096
(4357931) TC: TC-1 = 23.66, modeled = 23.63, target = 50.00, heatSink = -87.98, output = 100.0, timeout = 5150, exptTempC = 50.00, TecRate = 0.125
(4357959) systemRequestStateChange: System State Transition WARNING -> ERROR
(4357959) blePeriphNotifySubscription: ENTER NOTIFY
(4357962) systemRequestStateChange: Notify exit state change
(4358087) TC: TC-1 = 23.70, modeled = 23.65, target = 50.00, heatSink = -88.38, output = 100.0, timeout = 5300, exptTempC = 50.00, TecRate = 0.127
(4358232) TC: TC-1 = 23.79, modeled = 23.67, target = 50.00, heatSink = -87.56, output = 100.0, timeout = 5450, exptTempC = 50.00, TecRate = 0.177
(4358383) TC: TC-1 = 23.88, modeled = 23.70, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 5600, exptTempC = 50.00, TecRate = 0.216
(4358532) TC: TC-1 = 23.98, modeled = 23.74, target = 50.00, heatSink = -88.15, output = 100.0, timeout = 5750, exptTempC = 50.00, TecRate = 0.253
(4358683) TC: TC-1 = 24.07, modeled = 23.78, target = 50.00, heatSink = -88.11, output = 100.0, timeout = 5900, exptTempC = 50.00, TecRate = 0.281
(4358838) TC: TC-1 = 24.18, modeled = 23.82, target = 50.00, heatSink = -88.19, output = 100.0, timeout = 6050, exptTempC = 50.00, TecRate = 0.310
(4358990) TC: TC-1 = 24.25, modeled = 23.87, target = 50.00, heatSink = -88.28, output = 100.0, timeout = 6200, exptTempC = 50.00, TecRate = 0.311
(4359135) TC: TC-1 = 24.36, modeled = 23.92, target = 50.00, heatSink = -88.20, output = 100.0, timeout = 6350, exptTempC = 50.00, TecRate = 0.347
(4359285) TC: TC-1 = 24.48, modeled = 23.97, target = 50.00, heatSink = -87.11, output = 100.0, timeout = 6500, exptTempC = 50.00, TecRate = 0.378
(4359434) TC: TC-1 = 24.60, modeled = 24.03, target = 50.00, heatSink = -87.64, output = 100.0, timeout = 6650, exptTempC = 50.00, TecRate = 0.398
(4359585) TC: TC-1 = 24.71, modeled = 24.09, target = 50.00, heatSink = -88.08, output = 100.0, timeout = 6800, exptTempC = 50.00, TecRate = 0.411
