(9192059) systemRequestStateChange: System State Transition WARNING -> ERROR
(9192059) blePeriphNotifySubscription: ENTER NOTIFY
(9192062) systemRequestStateChange: Notify exit state change
***PCR ON***
[99]PCR TEC set to 50°C
(9203218) _setPcrTecTempC: TEC Set Temp 50.000000
(9203219) _resetThermalControlState: RESET Peltier 1 control state
(9203223) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(9203230) _setThermalControlState: thermalControl-1: changing state 3->1
(9203237) tecCurvePredictorSetHoldPower: holdPower is NaN
(9203243) thermalControlSetEnable: Enabling Peltier 1
(9213113) TC: TC-1 = 88.83, modeled = 69.20, target = 50.00, heatSink = -86.09, output = -100.0, timeout = 9800, exptTempC = 50.00, TecRate = 3.524
(9213264) TC: TC-1 = 89.20, modeled = 69.72, target = 50.00, heatSink = -86.05, output = -100.0, timeout = 9950, exptTempC = 50.00, TecRate = 3.451
(9213413) TC: TC-1 = 89.56, modeled = 70.23, target = 50.00, heatSink = -86.46, output = -100.0, timeout = 10100, exptTempC = 50.00, TecRate = 3.394
(9213567) TC: TC-1 = 89.91, modeled = 70.74, target = 50.00, heatSink = -86.46, output = -100.0, timeout = 10250, exptTempC = 50.00, TecRate = 3.336
(9213721) TC: TC-1 = 90.14, modeled = 71.22, target = 50.00, heatSink = -86.17, output = -100.0, timeout = 10400, exptTempC = 50.00, TecRate = 3.141
(9213867) TC: TC-1 = 90.44, modeled = 71.70, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 10550, exptTempC = 50.00, TecRate = 3.120
(9214016) TC: TC-1 = 90.74, modeled = 72.16, target = 50.00, heatSink = -85.90, output = -100.0, timeout = 10700, exptTempC = 50.00, TecRate = 3.071
(9214166) TC: TC-1 = 91.05, modeled = 72.61, target = 50.00, heatSink = -85.68, output = -100.0, timeout = 10850, exptTempC = 50.00, TecRate = 3.037
(9214317) TC: TC-1 = 91.35, modeled = 73.06, target = 50.00, heatSink = -86.24, output = -100.0, timeout = 11000, exptTempC = 50.00, TecRate = 2.987
(9214467) TC: TC-1 = 91.61, modeled = 73.51, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 11150, exptTempC = 50.00, TecRate = 2.921
(9214623) TC: TC-1 = 91.87, modeled = 73.94, target = 50.00, heatSink = -86.46, output = -100.0, timeout = 11300, exptTempC = 50.00, TecRate = 2.864
(9214768) TC: TC-1 = 92.05, modeled = 74.35, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 11450, exptTempC = 50.00, TecRate = 2.757
(9214918) TC: TC-1 = 92.31, modeled = 74.76, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 11600, exptTempC = 50.00, TecRate = 2.731
(9215069) TC: TC-1 = 92.56, modeled = 75.17, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 11750, exptTempC = 50.00, TecRate = 2.686
(9215219) TC: TC-1 = 92.77, modeled = 75.57, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 11900, exptTempC = 50.00, TecRate = 2.628
(9215373) TC: TC-1 = 92.98, modeled = 75.95, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 12050, exptTempC = 50.00, TecRate = 2.572
(9215528) TC: TC-1 = 93.12, modeled = 76.33, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 12200, exptTempC = 50.00, TecRate = 2.446
(9215673) TC: TC-1 = 93.32, modeled = 76.70, target = 50.00, heatSink = -86.50, output = -100.0, timeout = 12350, exptTempC = 50.00, TecRate = 2.438
(9215822) TC: TC-1 = 93.52, modeled = 77.06, target = 50.00, heatSink = -85.94, output = -100.0, timeout = 12500, exptTempC = 50.00, TecRate = 2.404
(9215971) TC: TC-1 = 93.71, modeled = 77.42, target = 50.00, heatSink = -85.86, output = -100.0, timeout = 12650, exptTempC = 50.00, TecRate = 2.363
(9216122) TC: TC-1 = 93.89, modeled = 77.77, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 12800, exptTempC = 50.00, TecRate = 2.326
(9216272) TC: TC-1 = 94.07, modeled = 78.11, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 12950, exptTempC = 50.00, TecRate = 2.294
(9216428) TC: TC-1 = 94.27, modeled = 78.46, target = 50.00, heatSink = -86.05, output = -100.0, timeout = 13100, exptTempC = 50.00, TecRate = 2.270
(9216579) TC: TC-1 = 94.38, modeled = 78.78, target = 50.00, heatSink = -86.01, output = -100.0, timeout = 13250, exptTempC = 50.00, TecRate = 2.190
(9216723) TC: TC-1 = 94.52, modeled = 79.11, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 13400, exptTempC = 50.00, TecRate = 2.143
(9216875) TC: TC-1 = 94.69, modeled = 79.43, target = 50.00, heatSink = -86.01, output = -100.0, timeout = 13550, exptTempC = 50.00, TecRate = 2.124
(9217023) TC: TC-1 = 94.84, modeled = 79.74, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 13700, exptTempC = 50.00, TecRate = 2.080
(9217174) TC: TC-1 = 94.98, modeled = 80.05, target = 50.00, heatSink = -86.19, output = -100.0, timeout = 13850, exptTempC = 50.00, TecRate = 2.048
(9217330) TC: TC-1 = 95.14, modeled = 80.36, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 14000, exptTempC = 50.00, TecRate = 2.023
(9217476) TC: TC-1 = 95.23, modeled = 80.65, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 14150, exptTempC = 50.00, TecRate = 1.958
(9217625) TC: TC-1 = 95.36, modeled = 80.94, target = 50.00, heatSink = -85.90, output = -100.0, timeout = 14300, exptTempC = 50.00, TecRate = 1.927
(9217776) TC: TC-1 = 95.50, modeled = 81.23, target = 50.00, heatSink = -86.01, output = -100.0, timeout = 14450, exptTempC = 50.00, TecRate = 1.903
(9217925) TC: TC-1 = 95.63, modeled = 81.51, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 14600, exptTempC = 50.00, TecRate = 1.879
(9218078) TC: TC-1 = 95.76, modeled = 81.79, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 14750, exptTempC = 50.00, TecRate = 1.852
(9218228) TC: TC-1 = 95.83, modeled = 82.06, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 14900, exptTempC = 50.00, TecRate = 1.771
(9218378) TC: TC-1 = 95.95, modeled = 82.33, target = 50.00, heatSink = -86.20, output = -100.0, timeout = 15050, exptTempC = 50.00, TecRate = 1.761
(9218529) TC: TC-1 = 96.07, modeled = 82.59, target = 50.00, heatSink = -85.86, output = -100.0, timeout = 15200, exptTempC = 50.00, TecRate = 1.742
(9218678) TC: TC-1 = 96.18, modeled = 82.85, target = 50.00, heatSink = -86.23, output = -100.0, timeout = 15350, exptTempC = 50.00, TecRate = 1.717
(9218828) TC: TC-1 = 96.29, modeled = 83.11, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 15500, exptTempC = 50.00, TecRate = 1.698
(9218986) TC: TC-1 = 96.40, modeled = 83.36, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 15650, exptTempC = 50.00, TecRate = 1.671
(9219133) TC: TC-1 = 96.46, modeled = 83.60, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 15800, exptTempC = 50.00, TecRate = 1.614
