time,xx,T,415,445,480,515,555,590,630,680,NIR,CLR,Dark
[39745,0,55.05,337,5539,3019,1970,878,434,343,244,117,4976,1]
[39994,0,55.02,337,5536,3018,1970,878,434,343,244,117,4971,1]
[40245,0,54.99,337,5534,3017,1969,878,433,343,244,117,4969,1]
[40495,0,54.95,338,5532,3017,1969,878,433,343,244,116,4968,1]
[40745,0,54.91,337,5543,3016,1969,878,433,343,244,117,4962,1]
[40995,0,54.88,337,5539,3015,1968,877,433,343,243,117,4967,1]
[41247,0,54.88,337,5543,3014,1967,877,433,343,243,117,4966,1]
[41517,0,54.9,336,5540,3012,1966,875,432,342,243,117,4962,1]
[41745,0,54.94,336,5532,3004,1961,874,432,342,243,117,4953,1]
[41997,0,54.96,336,5538,3004,1961,874,432,342,243,117,4956,1]
[42245,0,54.99,336,5540,3003,1961,874,432,342,243,117,4953,1]
[42495,0,55.03,337,5534,3003,1960,874,432,342,243,117,4953,1]
[42744,0,55.06,336,5533,3001,1959,874,432,342,243,117,4952,1]
[42995,0,55.07,336,5535,3000,1959,873,432,342,243,117,4951,1]
[43244,0,55.08,336,5535,2998,1958,873,432,341,242,117,4952,1]
[43495,0,55.08,336,5540,2998,1958,873,431,341,242,117,4952,1]
[43745,0,55.06,336,5542,2997,1957,873,431,341,242,117,4948,1]
[43995,0,55.01,337,5538,2996,1956,873,431,341,242,117,4949,1]
[44247,0,54.98,337,5535,2996,1956,872,431,341,242,117,4949,1]
[44495,0,54.93,336,5542,2994,1955,872,431,341,242,117,4948,1]
[44747,0,54.9,336,5537,2994,1955,872,431,341,242,117,4945,1]
[44997,0,54.88,336,5533,2992,1954,872,431,341,242,116,4946,1]
[45245,0,54.9,336,5525,2992,1953,871,431,341,242,116,4948,1]
[45495,0,54.94,336,5531,2991,1953,871,431,341,242,117,4945,1]
[45745,0,54.96,336,5520,2990,1952,871,430,341,242,116,4943,1]
[45995,0,54.98,336,5523,2989,1952,871,430,341,242,116,4939,1]
[46245,0,54.99,336,5531,2988,1951,871,430,341,241,116,4939,1]
[46495,0,55.01,336,5534,2986,1950,870,430,340,241,116,4938,1]
[46745,0,55.04,336,5532,2985,1949,870,430,340,242,116,4937,1]
[46995,0,55.07,335,5529,2983,1948,870,430,340,241,116,4937,1]
[47245,0,55.08,335,5531,2982,1947,869,429,340,241,116,4938,1]
[47496,0,55.08,335,5533,2980,1946,868,429,340,241,116,4934,1]
[47745,0,55.07,335,5537,2978,1945,868,429,340,241,116,4934,1]
[47995,0,55.05,335,5532,2977,1944,868,429,340,241,116,4929,1]
[48245,0,55.01,335,5524,2976,1944,868,429,339,241,116,4928,1]
[48497,0,54.98,335,5524,2976,1944,868,429,340,241,116,4924,1]
[48745,0,54.93,335,5524,2974,1942,868,429,340,241,116,4926,1]
[48997,0,54.89,335,5521,2974,1942,867,429,340,241,116,4925,1]
[49245,0,54.89,335,5520,2972,1941,867,429,339,241,116,4920,1]
[49494,0,54.92,335,5516,2972,1941,867,429,339,241,116,4921,1]
[49745,0,54.95,334,5512,2971,1941,867,429,340,241,116,4923,1]
[49994,0,54.97,335,5519,2970,1940,866,429,339,241,116,4920,1]
[50247,0,54.98,336,5520,2970,1940,866,429,339,241,116,4921,1]
[50492,0,54.98,335,5517,2967,1939,866,428,339,241,116,4918,1]
[50747,0,55,335,5517,2967,1939,866,428,339,241,116,4917,1]
[50997,0,55.03,335,5525,2965,1937,865,428,339,240,116,4918,1]
[51245,0,55.06,335,5529,2963,1936,865,428,339,240,116,4913,1]
[51495,0,55.07,334,5528,2961,1935,865,428,339,240,115,4908,1]
[51745,0,55.08,335,5522,2961,1934,864,428,339,240,115,4909,1]
[51995,0,55.07,334,5519,2959,1934,864,427,339,240,115,4906,1]
[52245,0,55.04,333,5519,2958,1933,864,427,339,240,115,4902,1]
[52495,0,55,334,5526,2957,1932,864,427,339,240,115,4906,1]
[52745,0,54.96,333,5521,2956,1931,863,427,339,240,115,4903,1]
[52995,0,54.93,333,5521,2956,1931,863,427,338,240,115,4901,1]
[53247,0,54.91,333,5521,2955,1931,863,427,338,240,115,4898,1]
[53499,0,54.92,333,5521,2953,1930,862,426,338,240,115,4897,1]
[53749,0,54.94,334,5514,2951,1929,862,426,338,240,115,4894,1]
[53995,0,54.96,334,5515,2950,1928,862,426,338,240,115,4894,1]
[54245,0,54.97,334,5512,2949,1927,862,426,338,240,115,4895,1]
[54495,0,54.98,334,5512,2949,1927,861,426,338,240,115,4895,1]
[54745,0,54.98,334,5514,2947,1926,861,426,337,240,115,4895,1]
[54995,0,54.98,334,5506,2947,1925,861,426,337,240,115,4896,1]
[55245,0,55,334,5509,2945,1925,861,426,337,240,115,4892,1]
[55495,0,55.02,333,5501,2944,1924,860,426,337,240,115,4893,1]
[55745,0,55.03,334,5507,2943,1923,860,426,337,239,115,4890,1]
[55995,0,55.05,333,5517,2942,1923,860,425,337,239,115,4887,1]
[56245,0,55.07,333,5509,2940,1921,859,425,336,239,115,4887,1]
[56495,0,55.07,333,5513,2938,1921,859,425,336,239,115,4885,1]
[56747,0,55.08,333,5520,2937,1920,858,425,337,239,115,4882,1]
[56995,0,55.05,333,5515,2935,1919,858,425,337,239,115,4880,1]
[57244,0,55.01,333,5509,2935,1918,858,425,337,239,115,4879,1]
[57495,0,54.98,333,5504,2934,1918,858,425,337,239,114,4883,1]
[57744,0,54.94,333,5504,2934,1918,858,425,337,239,114,4886,1]
[57995,0,54.93,332,5503,2934,1917,858,425,337,239,114,4884,1]
[58245,0,54.92,332,5508,2933,1917,857,425,337,239,114,4885,1]
[58495,0,54.92,332,5503,2932,1917,857,424,337,239,114,4882,1]
