timeSinceBoot,,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,liquid2,dataQStg1Slug,Stage1 P Term,Stage1 I Term,Stage1 D Term,Stage1 FF Term,,Stage1 Actual TEC Temp Rate,Stage1 Prior Target TEC Ramp Rate
8584.937,3.605,63.61,63.61,90,90,,,,,,,,,,,,,,
8584.937,3.605,63.61,63.61,90,90,,,,,,,,,,,,,,
8585.087,3.755,64.95,64.95,90,90,,,,,,,,,,,,,,
8585.087,3.755,64.95,64.95,90,90,,,,,,,,,,,,,,
8585.087,3.755,64.95,64.95,90,90,,,,,,,,,,,,,,
8585.087,3.755,64.95,64.95,90,90,,,,,,,,,,,,,,
8585.087,3.755,64.95,64.95,90,90,,,,,,,,,,,,,,
8585.237,3.905,66.23,66.23,90,90,,,,,,,,,,,,,,
8585.237,3.905,66.23,66.23,90,90,,,,,,,,,,,,,,
8585.237,3.905,66.23,66.23,90,90,,,,,,,,,,,,,,
8585.237,3.905,66.23,66.23,90,90,,,,,,,,,,,,,,
8585.237,3.905,66.23,66.23,90,90,,,,,,,,,,,,,,
8585.387,4.055,67.49,67.49,90,90,,,,,,,,,,,,,,
8585.387,4.055,67.49,67.49,90,90,,,,,,,,,,,,,,
8585.387,4.055,67.49,67.49,90,90,,,,,,,,,,,,,,
8585.387,4.055,67.49,67.49,90,90,,,,,,,,,,,,,,
8585.387,4.055,67.49,67.49,90,90,,,,,,,,,,,,,,
8585.537,4.205,68.72,68.72,90,90,,,,,,,,,,,,,,
8585.537,4.205,68.72,68.72,90,90,,,,,,,,,,,,,,
8585.537,4.205,68.72,68.72,90,90,,,,,,,,,,,,,,
8585.537,4.205,68.72,68.72,90,90,,,,,,,,,,,,,,
8585.537,4.205,68.72,68.72,90,90,,,,,,,,,,,,,,
8585.687,4.355,69.92,69.92,90,90,,,,,,,,,,,,,,
8585.687,4.355,69.92,69.92,90,90,,,,,,,,,,,,,,
8585.687,4.355,69.92,69.92,90,90,,,,,,,,,,,,,,
8585.687,4.355,69.92,69.92,90,90,,,,,,,,,,,,,,
8585.687,4.355,69.92,69.92,90,90,,,,,,,,,,,,,,
8585.837,4.505,71.11,71.11,90,90,,,,,30.06,47.31,,,,,,,,
8585.837,4.505,71.11,71.11,90,90,,,,,30.06,47.31,,,,,,,,
8585.837,4.505,71.11,71.11,90,90,,,,,30.06,47.31,,,,,,,,
8585.837,4.505,71.11,71.11,90,90,,,,,30.06,47.31,,,,,,,,
8585.837,4.505,71.11,71.11,90,90,,,,,30.06,47.31,,,,,,,,
8585.837,4.505,71.11,71.11,90,90,,,,,30.06,47.31,,,,,,,,
8585.837,4.505,71.11,71.11,90,90,,,,,30.06,47.31,,,,,,,,
8585.987,4.655,72.28,72.28,90,90,,,,,,,,,,,,,,
8585.987,4.655,72.28,72.28,90,90,,,,,,,,,,,,,,
8585.987,4.655,72.28,72.28,90,90,,,,,,,,,,,,,,
8585.987,4.655,72.28,72.28,90,90,,,,,,,,,,,,,,
8585.987,4.655,72.28,72.28,90,90,,,,,,,,,,,,,,
8586.137,4.805,73.42,73.42,90,90,,,,,,,,,,,,,,
8586.137,4.805,73.42,73.42,90,90,,,,,,,,,,,,,,
8586.137,4.805,73.42,73.42,90,90,,,,,,,,,,,,,,
8586.137,4.805,73.42,73.42,90,90,,,,,,,,,,,,,,
8586.137,4.805,73.42,73.42,90,90,,,,,,,,,,,,,,
8586.287,4.955,74.52,74.52,90,90,,,,,,,,,,,,,,
8586.287,4.955,74.52,74.52,90,90,,,,,,,,,,,,,,
8586.287,4.955,74.52,74.52,90,90,,,,,,,,,,,,,,
8586.287,4.955,74.52,74.52,90,90,,,,,,,,,,,,,,
8586.287,4.955,74.52,74.52,90,90,,,,,,,,,,,,,,
8586.437,5.105,75.6,75.6,90,90,,,,,,,,,,,,,,
8586.437,5.105,75.6,75.6,90,90,,,,,,,,,,,,,,
8586.437,5.105,75.6,75.6,90,90,,,,,,,,,,,,,,
8586.437,5.105,75.6,75.6,90,90,,,,,,,,,,,,,,
8586.437,5.105,75.6,75.6,90,90,,,,,,,,,,,,,,
8586.587,5.255,76.68,76.68,90,90,,,,,,,,,,,,,,
8586.587,5.255,76.68,76.68,90,90,,,,,,,,,,,,,,
8586.587,5.255,76.68,76.68,90,90,,,,,,,,,,,,,,
8586.587,5.255,76.68,76.68,90,90,,,,,,,,,,,,,,
8586.587,5.255,76.68,76.68,90,90,,,,,,,,,,,,,,
8586.737,5.405,77.73,77.73,90,90,,,,,,,,,,,,,,
8586.737,5.405,77.73,77.73,90,90,,,,,,,,,,,,,,
8586.737,5.405,77.73,77.73,90,90,,,,,,,,,,,,,,
8586.737,5.405,77.73,77.73,90,90,,,,,,,,,,,,,,
8586.737,5.405,77.73,77.73,90,90,,,,,,,,,,,,,,
8586.887,5.555,78.68,78.68,90,90,,,,,30.48,51.92,,,,,,,,
8586.887,5.555,78.68,78.68,90,90,,,,,30.48,51.92,,,,,,,,
8586.887,5.555,78.68,78.68,90,90,,,,,30.48,51.92,,,,,,,,
8586.887,5.555,78.68,78.68,90,90,,,,,30.48,51.92,,,,,,,,
8586.887,5.555,78.68,78.68,90,90,,,,,30.48,51.92,,,,,,,,
8586.887,5.555,78.68,78.68,90,90,,,,,30.48,51.92,,,,,,,,
8586.887,5.555,78.68,78.68,90,90,,,,,30.48,51.92,,,,,,,,
8587.037,5.705,79.69,79.69,90,90,,,,,,,,,,,,,,
8587.037,5.705,79.69,79.69,90,90,,,,,,,,,,,,,,
8587.037,5.705,79.69,79.69,90,90,,,,,,,,,,,,,,
