timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,liquid2,dataQStg1Slug,Stage1 P Term,Stage1 I Term,Stage1 D Term,Stage1 FF Term,Stage1 Output,Stage1 Actual TEC Temp Rate,Stage1 Prior Target TEC Ramp Rate
5043.174,56.59,56.59,115,90,,,,,,,,,,,,100,,
5043.174,56.59,56.59,115,90,,,,,,,,,,,,100,,
5043.202,,,,,,,,,33.5,44.81,,,,,,,,
5043.202,,,,,,,,,33.5,44.81,,,,,,,,
5043.319,58.19,58.19,115,90,,,,,,,,,,,,100,,
5043.319,58.19,58.19,115,90,,,,,,,,,,,,100,,
5043.319,58.19,58.19,115,90,,,,,,,,,,,,100,,
5043.319,58.19,58.19,115,90,,,,,,,,,,,,100,,
5043.319,58.19,58.19,115,90,,,,,,,,,,,,100,,
5043.469,59.59,59.59,115,90,,,,,,,,,,,,100,,
5043.469,59.59,59.59,115,90,,,,,,,,,,,,100,,
5043.469,59.59,59.59,115,90,,,,,,,,,,,,100,,
5043.469,59.59,59.59,115,90,,,,,,,,,,,,100,,
5043.469,59.59,59.59,115,90,,,,,,,,,,,,100,,
5043.619,61.1,61.1,115,90,,,,,,,,,,,,100,,
5043.619,61.1,61.1,115,90,,,,,,,,,,,,100,,
5043.619,61.1,61.1,115,90,,,,,,,,,,,,100,,
5043.619,61.1,61.1,115,90,,,,,,,,,,,,100,,
5043.619,61.1,61.1,115,90,,,,,,,,,,,,100,,
5043.769,62.61,62.61,115,90,,,,,,,,,,,,100,,
5043.769,62.61,62.61,115,90,,,,,,,,,,,,100,,
5043.769,62.61,62.61,115,90,,,,,,,,,,,,100,,
5043.769,62.61,62.61,115,90,,,,,,,,,,,,100,,
5043.769,62.61,62.61,115,90,,,,,,,,,,,,100,,
5043.919,63.96,63.96,115,90,,,,,,,,,,,,100,,
5043.919,63.96,63.96,115,90,,,,,,,,,,,,100,,
5043.919,63.96,63.96,115,90,,,,,,,,,,,,100,,
5043.919,63.96,63.96,115,90,,,,,,,,,,,,100,,
5043.919,63.96,63.96,115,90,,,,,,,,,,,,100,,
5044.069,65.52,65.52,115,90,,,,,,,,,,,,100,,
5044.069,65.52,65.52,115,90,,,,,,,,,,,,100,,
5044.069,65.52,65.52,115,90,,,,,,,,,,,,100,,
5044.069,65.52,65.52,115,90,,,,,,,,,,,,100,,
5044.069,65.52,65.52,115,90,,,,,,,,,,,,100,,
5044.22,66.78,66.78,115,90,,,,,,,,,,,,100,,
5044.22,66.78,66.78,115,90,,,,,,,,,,,,100,,
5044.22,66.78,66.78,115,90,,,,,,,,,,,,100,,
5044.22,66.78,66.78,115,90,,,,,,,,,,,,100,,
5044.22,66.78,66.78,115,90,,,,,,,,,,,,100,,
5044.249,,,,,,,,,33.46,50.91,,,,,,,,
5044.249,,,,,,,,,33.46,50.91,,,,,,,,
5044.369,68.23,68.23,115,90,,,,,,,,,,,,100,,
5044.369,68.23,68.23,115,90,,,,,,,,,,,,100,,
5044.369,68.23,68.23,115,90,,,,,,,,,,,,100,,
5044.369,68.23,68.23,115,90,,,,,,,,,,,,100,,
5044.369,68.23,68.23,115,90,,,,,,,,,,,,100,,
5044.519,69.58,69.58,115,90,,,,,,,,,,,,100,,
5044.519,69.58,69.58,115,90,,,,,,,,,,,,100,,
5044.519,69.58,69.58,115,90,,,,,,,,,,,,100,,
5044.519,69.58,69.58,115,90,,,,,,,,,,,,100,,
5044.519,69.58,69.58,115,90,,,,,,,,,,,,100,,
5044.669,70.91,70.91,115,90,,,,,,,,,,,,100,,
5044.669,70.91,70.91,115,90,,,,,,,,,,,,100,,
5044.669,70.91,70.91,115,90,,,,,,,,,,,,100,,
5044.669,70.91,70.91,115,90,,,,,,,,,,,,100,,
5044.669,70.91,70.91,115,90,,,,,,,,,,,,100,,
5044.819,72.24,72.24,115,90,,,,,,,,,,,,100,,
5044.819,72.24,72.24,115,90,,,,,,,,,,,,100,,
5044.819,72.24,72.24,115,90,,,,,,,,,,,,100,,
5044.819,72.24,72.24,115,90,,,,,,,,,,,,100,,
5044.819,72.24,72.24,115,90,,,,,,,,,,,,100,,
5044.969,73.51,73.51,115,90,,,,,,,,,,,,100,,
5044.969,73.51,73.51,115,90,,,,,,,,,,,,100,,
5044.969,73.51,73.51,115,90,,,,,,,,,,,,100,,
5044.969,73.51,73.51,115,90,,,,,,,,,,,,100,,
5044.969,73.51,73.51,115,90,,,,,,,,,,,,100,,
5045.119,74.77,74.77,115,90,,,,,33.49,54.66,,,,,,100,,
5045.119,74.77,74.77,115,90,,,,,33.49,54.66,,,,,,100,,
5045.119,74.77,74.77,115,90,,,,,33.49,54.66,,,,,,100,,
5045.119,74.77,74.77,115,90,,,,,33.49,54.66,,,,,,100,,
5045.119,74.77,74.77,115,90,,,,,33.49,54.66,,,,,,100,,
5045.119,74.77,74.77,115,90,,,,,33.49,54.66,,,,,,100,,
5045.119,74.77,74.77,115,90,,,,,33.49,54.66,,,,,,100,,
5045.269,76,76,115,90,,,,,,,,,,,,100,,
5045.269,76,76,115,90,,,,,,,,,,,,100,,
5045.269,76,76,115,90,,,,,,,,,,,,100,,
5045.269,76,76,115,90,,,,,,,,,,,,100,,
5045.269,76,76,115,90,,,,,,,,,,,,100,,
5045.419,77.2,77.2,115,90,,,,,,,,,,,,100,,
5045.419,77.2,77.2,115,90,,,,,,,,,,,,100,,
5045.419,77.2,77.2,115,90,,,,,,,,,,,,100,,
5045.419,77.2,77.2,115,90,,,,,,,,,,,,100,,
5045.419,77.2,77.2,115,90,,,,,,,,,,,,100,,
5045.569,78.4,78.4,115,90,,,,,,,,,,,,100,,
5045.569,78.4,78.4,115,90,,,,,,,,,,,,100,,
5045.569,78.4,78.4,115,90,,,,,,,,,,,,100,,
5045.569,78.4,78.4,115,90,,,,,,,,,,,,100,,
5045.569,78.4,78.4,115,90,,,,,,,,,,,,100,,
5045.719,79.56,79.56,115,90,,,,,,,,,,,,100,,
5045.719,79.56,79.56,115,90,,,,,,,,,,,,100,,
5045.719,79.56,79.56,115,90,,,,,,,,,,,,100,,
5045.719,79.56,79.56,115,90,,,,,,,,,,,,100,,
5045.719,79.56,79.56,115,90,,,,,,,,,,,,100,,
5045.869,80.72,80.72,115,90,,,,,,,,,,,,100,,
5045.869,80.72,80.72,115,90,,,,,,,,,,,,100,,
5045.869,80.72,80.72,115,90,,,,,,,,,,,,100,,
5045.869,80.72,80.72,115,90,,,,,,,,,,,,100,,
5045.869,80.72,80.72,115,90,,,,,,,,,,,,100,,
5046.019,81.89,81.89,115,90,,,,,,,,,,,,100,,
5046.019,81.89,81.89,115,90,,,,,,,,,,,,100,,
5046.019,81.89,81.89,115,90,,,,,,,,,,,,100,,
5046.019,81.89,81.89,115,90,,,,,,,,,,,,100,,
5046.019,81.89,81.89,115,90,,,,,,,,,,,,100,,
5046.169,82.98,82.98,115,90,,,,,33.55,60.19,,,,,,100,,
5046.169,82.98,82.98,115,90,,,,,33.55,60.19,,,,,,100,,
5046.169,82.98,82.98,115,90,,,,,33.55,60.19,,,,,,100,,
5046.169,82.98,82.98,115,90,,,,,33.55,60.19,,,,,,100,,
5046.169,82.98,82.98,115,90,,,,,33.55,60.19,,,,,,100,,
5046.169,82.98,82.98,115,90,,,,,33.55,60.19,,,,,,100,,
5046.169,82.98,82.98,115,90,,,,,33.55,60.19,,,,,,100,,
5046.319,84.1,84.1,115,90,,,,,,,,,,,,100,,
5046.319,84.1,84.1,115,90,,,,,,,,,,,,100,,
5046.319,84.1,84.1,115,90,,,,,,,,,,,,100,,
5046.319,84.1,84.1,115,90,,,,,,,,,,,,100,,
5046.319,84.1,84.1,115,90,,,,,,,,,,,,100,,
5046.469,85.16,85.16,115,90,,,,,,,,,,,,100,,
5046.469,85.16,85.16,115,90,,,,,,,,,,,,100,,
5046.469,85.16,85.16,115,90,,,,,,,,,,,,100,,
5046.469,85.16,85.16,115,90,,,,,,,,,,,,100,,
5046.469,85.16,85.16,115,90,,,,,,,,,,,,100,,
5046.619,86.22,86.22,115,90,,,,,,,,,,,,100,,
5046.619,86.22,86.22,115,90,,,,,,,,,,,,100,,
5046.619,86.22,86.22,115,90,,,,,,,,,,,,100,,
5046.619,86.22,86.22,115,90,,,,,,,,,,,,100,,
5046.619,86.22,86.22,115,90,,,,,,,,,,,,100,,
5046.769,87.27,87.27,115,90,,,,,,,,,,,,100,,
5046.769,87.27,87.27,115,90,,,,,,,,,,,,100,,
5046.769,87.27,87.27,115,90,,,,,,,,,,,,100,,
5046.769,87.27,87.27,115,90,,,,,,,,,,,,100,,
5046.769,87.27,87.27,115,90,,,,,,,,,,,,100,,
5046.919,88.31,88.31,115,90,,,,,,,,,,,,100,,
5046.919,88.31,88.31,115,90,,,,,,,,,,,,100,,
5046.919,88.31,88.31,115,90,,,,,,,,,,,,100,,
5046.919,88.31,88.31,115,90,,,,,,,,,,,,100,,
5046.919,88.31,88.31,115,90,,,,,,,,,,,,100,,
5047.071,89.29,89.29,115,90,,,,,,,,,,,,-50,,
5047.071,89.29,89.29,115,90,,,,,,,,,,,,-50,,
5047.071,89.29,89.29,115,90,,,,,,,,,,,,-50,,
5047.071,89.29,89.29,115,90,,,,,,,,,,,,-50,,
5047.071,89.29,89.29,115,90,,,,,,,,,,,,-50,,
5047.221,90.15,90.15,115,90,,,,,,,,,,,,-4.1,,
5047.221,90.15,90.15,115,90,,,,,,,,,,,,-4.1,,
5047.221,90.15,90.15,115,90,,,,,,,,,,,,-4.1,,
5047.221,90.15,90.15,115,90,,,,,,,,,,,,-4.1,,
5047.221,90.15,90.15,115,90,,,,,,,,,,,,-4.1,,
5047.23,,,,,,,,,33.47,63.4,,,,,,,,
5047.23,,,,,,,,,33.47,63.4,,,,,,,,
5047.369,90.41,90.41,115,90,,,,,,,,,,,,55.4,,
5047.369,90.41,90.41,115,90,,,,,,,,,,,,55.4,,
5047.369,90.41,90.41,115,90,,,,,,,,,,,,55.4,,
5047.369,90.41,90.41,115,90,,,,,,,,,,,,55.4,,
5047.369,90.41,90.41,115,90,,,,,,,,,,,,55.4,,
5047.519,90.14,90.14,115,90,,,,,,,,,,,,63.8,,
5047.519,90.14,90.14,115,90,,,,,,,,,,,,63.8,,
5047.519,90.14,90.14,115,90,,,,,,,,,,,,63.8,,
5047.519,90.14,90.14,115,90,,,,,,,,,,,,63.8,,
5047.519,90.14,90.14,115,90,,,,,,,,,,,,63.8,,
5047.669,89.85,89.85,115,90,,,,,,,,,,,,60.2,,
5047.669,89.85,89.85,115,90,,,,,,,,,,,,60.2,,
5047.669,89.85,89.85,115,90,,,,,,,,,,,,60.2,,
5047.669,89.85,89.85,115,90,,,,,,,,,,,,60.2,,
5047.669,89.85,89.85,115,90,,,,,,,,,,,,60.2,,
5047.819,89.68,89.68,115,90,,,,,,,,,,,,56.4,,
5047.819,89.68,89.68,115,90,,,,,,,,,,,,56.4,,
5047.819,89.68,89.68,115,90,,,,,,,,,,,,56.4,,
5047.819,89.68,89.68,115,90,,,,,,,,,,,,56.4,,
5047.819,89.68,89.68,115,90,,,,,,,,,,,,56.4,,
5047.969,89.62,89.62,115,90,,,,,,,,,,,,55.8,,
5047.969,89.62,89.62,115,90,,,,,,,,,,,,55.8,,
5047.969,89.62,89.62,115,90,,,,,,,,,,,,55.8,,
5047.969,89.62,89.62,115,90,,,,,,,,,,,,55.8,,
5047.969,89.62,89.62,115,90,,,,,,,,,,,,55.8,,
5048.119,89.61,89.61,115,90,,,,,,,,,,,,55.7,,
5048.119,89.61,89.61,115,90,,,,,,,,,,,,55.7,,
5048.119,89.61,89.61,115,90,,,,,,,,,,,,55.7,,
5048.119,89.61,89.61,115,90,,,,,,,,,,,,55.7,,
5048.119,89.61,89.61,115,90,,,,,,,,,,,,55.7,,
5048.269,89.54,89.54,115,90,,,,,33.52,64.33,,,,,,54.8,,
5048.269,89.54,89.54,115,90,,,,,33.52,64.33,,,,,,54.8,,
5048.269,89.54,89.54,115,90,,,,,33.52,64.33,,,,,,54.8,,
