***Stage1 ON***
(344285) heapMonitor_checkFreeHeapSize: New heap low water mark 114196
[26]TC TEC set to 50°C
(344302) _setStage1TecTempC: TEC Set Temp 50.000000
(344303) _resetThermalControlState: RESET Peltier 0 control state
(344307) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(344314) _setThermalControlState: thermalControl-0: changing state 3->1
(344321) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(344328) thermalControlSetEnable: Enabling Peltier 0
(354976) TC: TC-0 = 84.82, modeled = 49.46, target = 50.00, heatSink = -86.12, output = -50.0, timeout = 10550, exptTempC = 0.00, TecRate = 0.638
(355126) TC: TC-0 = 85.64, modeled = 49.55, target = 50.00, heatSink = -86.23, output = -100.0, timeout = 10700, exptTempC = 0.00, TecRate = 0.655
(355277) TC: TC-0 = 86.42, modeled = 49.65, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 10850, exptTempC = 0.00, TecRate = 0.670
(355432) TC: TC-0 = 86.92, modeled = 49.75, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 11000, exptTempC = 0.00, TecRate = 0.680
(355577) TC: TC-0 = 87.67, modeled = 49.86, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 11150, exptTempC = 0.00, TecRate = 0.695
(355728) TC: TC-0 = 88.38, modeled = 49.96, target = 50.00, heatSink = -86.23, output = -100.0, timeout = 11300, exptTempC = 0.00, TecRate = 0.709
(355878) TC: TC-0 = 89.03, modeled = 50.07, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 11450, exptTempC = 0.00, TecRate = 0.721
(356029) TC: TC-0 = 89.62, modeled = 50.18, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 11600, exptTempC = 0.00, TecRate = 0.732
(356182) TC: TC-0 = 90.19, modeled = 50.29, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 11750, exptTempC = 0.00, TecRate = 0.743
(356330) _thermalBrakeCheck: HEATING MAX RAMP: SWITCH to STEADY STATE - THERMAL BRAKE! model: 50.403191, threshold: 50.200001
(356338) TC: TC-0 = 90.56, modeled = 50.40, target = 50.00, heatSink = -86.50, output = -100.0, timeout = 11900, exptTempC = 50.00, TecRate = 0.749
(356374) _setThermalControlState: thermalControl-0: changing state 1->3
(356374) _setTempReachedCallback: Set Temp Reached
(356477) TC: TC-0 = 91.13, modeled = 50.52, target = 50.00, heatSink = -86.24, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.760
