LED wave,440 trans,LED filt,sens filt,sytox wave,excite,emit
446.333,95.81783793,72.47,0.83,485,0.4171633,75.29634
446.712,94.17976153,72.26,0.85,486,0.3575686,74.23177
447.092,92.18719449,71.92,0.79,487,0.3277712,72.97809
447.471,89.94554749,71.72,0.82,488,0.3277712,71.74062
447.851,87.20380466,71.68,0.8,489,0.3277712,70.66585
448.23,84.50320007,71.68,0.87,490,0.2979738,68.90907
448.609,81.79303689,71.52,0.84,491,0.3277712,67.50786
448.988,78.98375475,71.13,0.84,492,0.2979738,65.97296
449.367,75.77199541,70.81,0.81,493,0.2681764,64.51353
449.747,72.56797973,70.65,0.85,494,0.2979738,63.21688
450.126,69.77171664,70.41,0.81,495,0.2979738,62.84983
450.505,67.12410778,70.2,0.86,496,0.2681764,61.73488
450.884,64.37597643,69.74,0.76,497,0.2681764,60.27867
451.262,62.03041907,69.33,0.76,498,0.2681764,58.86883
451.641,59.50520859,69.11,0.77,499,0.2681764,57.23868
452.02,57.30148136,68.84,0.89,500,0.2681764,56.27676
452.399,55.17640078,68.39,0.9,501,0.238379,54.93306
452.778,52.96505089,67.94,0.93,502,0.2085816,53.09446
453.156,50.96967676,67.35,0.97,503,0.238379,51.41908
453.535,49.03702635,66.87,1.06,504,0.2085816,49.24575
453.913,46.94197669,66.29,1.04,505,0.238379,47.97308
454.292,45.31258772,65.45,1.02,506,0.238379,46.05142
454.67,43.58504775,64.44,0.89,507,0.2085816,44.73831
455.049,42.20222205,63.53,0.86,508,0.1787843,43.194
455.427,40.77864528,62.37,0.87,509,0.2085816,40.79618
455.805,39.61172275,61.04,0.77,510,0.2085816,39.68708
456.184,38.41779418,59.44,0.73,511,0.2085816,38.56952
456.562,37.26069643,57.75,0.73,512,0.2085816,37.16272
456.94,36.08842593,55.55,0.77,513,0.1787843,35.70782
457.318,34.76331475,52.9,0.79,514,0.2085816,34.17955
457.696,33.67724097,49.15,0.8,515,0.238379,33.24883
458.074,32.67470201,44.49,0.85,516,0.2085816,31.50382
458.452,31.49367149,38.95,0.93,517,0.2085816,30.68003
458.83,30.48646213,32.77,0.94,518,0.2085816,29.13398
459.208,29.62923796,26.28,0.92,519,0.1787843,28.00475
459.586,28.61271201,19.79,0.94,520,0.1787843,26.93363
459.964,27.89673721,14.04,1,521,0.1787843,25.89285
460.341,26.95636539,9,1.01,522,0.1787843,24.83691
460.719,25.91186543,4.99,0.96,523,0.1787843,23.81608
461.097,25.1122348,2.11,0.98,524,0.1787843,22.7163
461.474,24.1458491,0.23,1,525,0.1787843,22.06166
461.852,23.37165159,-0.97,1.03,526,0.1787843,21.12676
462.229,22.51193493,-1.71,1.05,527,0.1489869,20.51918
462.607,21.71213491,-2.11,1.02,528,0.1489869,19.70829
462.984,20.96949285,-2.32,1.04,529,0.1489869,19.07604
463.362,20.26907798,-2.48,1.05,530,0.1191895,18.15483
463.739,19.41202321,-2.55,1.03,531,0.1191895,17.78603
464.116,18.64549677,-2.66,1.05,532,0.1191895,16.80851
464.493,17.81029366,-2.71,1.03,533,0.1191895,16.19762
464.871,17.07387073,-2.69,1.03,534,0.1191895,15.02385
465.248,16.3843454,-2.71,1.02,535,0.0894,14.91823
465.625,15.63611338,-2.76,1,536,0.0596,14.20294
466.002,14.9615914,-2.72,0.97,537,0.0596,13.84224
466.379,14.42647967,-2.68,0.94,538,0.0596,13.1117
466.756,13.96660252,-2.65,0.94,539,0.0596,12.39083
467.132,13.41401914,-2.6,0.92,540,0.0596,12.27458
467.509,12.8908859,-2.6,0.93,541,0.0298,11.71336
467.886,12.32083086,-2.57,0.93,542,0.0298,10.87902
468.263,11.87479552,-2.5,0.96,543,0,10.73384
468.639,11.42031474,-2.49,1.03,544,0.0298,10.30098
469.016,10.95136298,-2.47,1.06,545,0,10.01828
469.393,10.45366285,-2.44,1.11,546,-0.0298,9.848784
469.769,10.0852578,-2.4,1.19,547,-0.0298,9.494623
470.146,9.68762039,-2.4,1.28,548,0,9.07981
470.522,9.376421689,-2.35,1.38,549,0,8.746564
470.898,9.038604126,-2.36,1.5,550,-0.0298,8.608787
471.275,8.759880438,-2.32,1.72,551,-0.0298,8.140291
471.651,8.493207834,-2.31,2.03,552,-0.0298,7.868832
472.027,8.253541277,-2.28,2.52,553,-0.0596,7.543604
472.404,8.006421438,-2.29,3.4,554,-0.0596,7.309878
472.78,7.752162904,-2.28,4.83,555,-0.0596,7.157809
473.156,7.489991308,-2.24,7.28,556,-0.0894,6.681906
473.532,7.248195241,-2.22,10.92,557,-0.0894,6.597461
473.908,6.992484769,-2.19,16.32,558,-0.0894,6.39964
474.284,6.718721869,-2.17,23.47,559,-0.0894,6.188312
474.66,6.480337856,-2.18,32.01,560,-0.0894,6.037724
475.035,6.218190459,-2.17,41.83,561,-0.1191895,5.731755
475.411,6.037037001,-2.13,51.92,562,-0.1191895,5.444696
475.787,5.805985275,-2.17,61.64,563,-0.1191895,5.261254
