,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
324,2469.848,65.91,69.01,60.0,,38.28
325,2469.998,64.87,68.61,60.0,,38.46
326,2470.148,63.47,68.12,60.0,58.38,38.73
327,2470.298,62.43,67.6,60.0,,38.95
328,2470.448,61.4,67.05,60.0,,39.14
329,2470.598,60.04,66.43,60.0,,39.41
330,2470.748,59.04,65.82,60.0,58.02,39.63
331,2470.898,58.06,65.19,60.0,,39.84
332,2471.048,56.78,64.52,60.0,,40.11
333,2471.208,55.84,63.86,60.0,,40.31
334,2624.59,,,,56.4,
335,2471.359,54.93,63.21,60.0,54.08,40.51
336,2625.733,,,,51.48,
337,2471.509,53.84,62.53,60.0,,40.78
338,2471.658,53.24,61.9,60.0,,40.92
339,2471.808,52.89,61.33,60.0,,41.02
340,2471.958,52.66,60.81,60.0,49.13,41.09
341,2472.108,52.61,60.37,60.0,,41.12
342,2472.258,52.62,60.0,60.0,,41.13
343,2472.408,52.7,59.68,60.0,,41.12
344,2472.552,52.78,59.42,60.0,48.09,41.1
345,2472.702,52.88,59.19,60.0,,41.07
346,2472.852,53.09,59.02,60.0,,41.01
347,2632.421,,,,48.49,
348,2473.002,53.38,58.89,60.0,,40.96
349,2633.527,,,,48.72,
350,2473.152,53.77,58.81,60.0,48.67,40.9
351,2473.302,54.39,58.8,60.0,,40.82
352,2473.452,54.9,58.83,60.0,,40.74
353,2473.602,55.41,58.9,60.0,,40.67
354,2473.752,56.05,59.02,60.0,48.21,40.56
355,2473.902,56.5,59.15,60.0,,40.48
356,2474.052,56.88,59.28,60.0,,40.42
357,2474.202,57.33,59.43,60.0,,40.34
358,2474.352,57.6,59.57,60.0,48.12,40.28
359,2474.502,57.83,59.7,60.0,,40.22
360,2474.652,58.07,59.83,60.0,,40.16
361,2474.802,58.21,59.93,60.0,,40.11
362,2474.952,58.33,60.02,60.0,47.78,40.07
363,2475.102,58.44,60.1,60.0,,40.02
364,2475.252,58.51,60.16,60.0,,39.98
365,2475.402,58.56,60.21,60.0,,39.94
366,2475.552,58.61,60.24,60.0,47.74,39.89
367,2475.702,58.65,60.27,60.0,,39.86
368,2475.852,58.69,60.29,60.0,,39.82
369,2476.002,58.74,60.3,60.0,,39.79
370,2476.152,58.77,60.3,60.0,47.74,39.75
371,2476.302,58.81,60.31,60.0,,39.72
372,2476.452,58.87,60.31,60.0,,39.69
373,2476.602,58.91,60.31,60.0,,39.66
374,2476.752,58.95,60.3,60.0,47.72,39.63
375,2476.902,59.0,60.3,60.0,,39.59
376,2477.052,59.03,60.29,60.0,,39.56
377,2477.202,59.07,60.29,60.0,,39.54
378,2477.352,59.12,60.28,60.0,47.72,39.51
379,2477.502,59.15,60.27,60.0,,39.48
380,2477.652,59.18,60.27,60.0,,39.46
381,2477.802,59.22,60.26,60.0,,39.43
382,2653.543,,,,47.84,
383,2477.952,59.25,60.25,60.0,47.78,39.41
384,2478.102,59.27,60.24,60.0,,39.38
385,2478.252,59.32,60.23,60.0,,39.35
386,2478.402,59.33,60.22,60.0,,39.33
387,2478.552,59.37,60.22,60.0,47.87,39.31
388,2478.702,59.4,60.21,60.0,,39.28
389,2478.852,59.43,60.2,60.0,,39.27
390,2479.002,59.46,60.19,60.0,,39.25
391,2479.152,59.5,60.19,60.0,,39.22
392,2479.302,59.53,60.18,60.0,,39.2
393,2479.452,59.56,60.17,60.0,,39.18
394,2479.602,59.59,60.17,60.0,,39.15
395,2479.752,59.62,60.16,60.0,48.07,39.13
396,2662.052,,,,47.98,
397,2479.902,59.64,60.16,60.0,,39.11
398,2480.052,59.66,60.15,60.0,,39.09
399,2480.202,59.69,60.15,60.0,,39.07
400,2480.352,59.71,60.14,60.0,48.16,39.06
401,2480.5,59.74,60.14,50.0,,39.04
402,2480.648,59.76,60.13,50.0,,39.02
403,2480.798,59.78,60.13,50.0,,39.0
404,2480.948,59.64,60.11,50.0,48.21,39.0
405,2481.098,59.28,60.05,50.0,,39.04
406,2481.248,58.69,59.94,50.0,,39.12
407,2668.694,,,,48.48,
408,2481.398,57.68,59.74,50.0,,39.28
409,2481.548,56.83,59.47,50.0,48.76,39.43
410,2481.698,55.93,59.15,50.0,,39.6
411,2481.848,54.71,58.75,50.0,,39.84
412,2481.998,53.78,58.31,50.0,,40.03
413,2482.148,52.87,57.84,50.0,49.05,40.21
414,2482.298,51.67,57.32,50.0,,40.47
415,2482.448,50.79,56.78,50.0,,40.67
416,2482.598,49.92,56.23,50.0,,40.88
417,2674.752,,,,49.3,
418,2482.748,48.78,55.66,50.0,49.49,41.14
419,2482.898,47.96,55.08,50.0,,41.33
420,2483.048,47.15,54.5,50.0,,41.52
421,2483.198,46.11,53.91,50.0,,41.77
422,2483.358,45.34,53.32,50.0,49.81,41.95
423,2483.509,44.58,52.74,50.0,,42.13
424,2483.659,43.72,52.16,50.0,,42.35
425,2483.808,43.34,51.62,50.0,,42.46
426,2483.959,43.27,51.15,50.0,50.04,42.52
427,2484.11,43.51,50.77,50.0,,42.56
428,2681.486,,,,50.58,
429,2484.261,43.86,50.49,50.0,,42.54
430,2484.411,44.29,50.29,50.0,,42.51
431,2484.553,44.95,50.18,50.0,,42.45
432,2484.705,45.46,50.14,50.0,,42.4
433,2484.853,45.97,50.15,50.0,,42.34
434,2485.002,46.53,50.2,50.0,,42.26
435,2485.152,46.83,50.27,50.0,50.58,42.19
436,2485.302,47.04,50.34,50.0,,42.14
437,2485.452,47.2,50.4,50.0,,42.08
438,2485.602,47.28,50.44,50.0,,42.02
439,2688.149,,,,50.89,
440,2485.753,47.33,50.47,50.0,,41.98
441,2485.902,47.37,50.49,50.0,51.28,41.92
442,2486.052,47.38,50.5,50.0,,41.88
443,2486.202,47.39,50.49,50.0,,41.84
444,2486.352,47.39,50.47,50.0,,41.78
445,2486.503,47.38,50.45,50.0,51.42,41.73
446,2486.652,47.37,50.41,50.0,,41.7
447,2486.802,47.35,50.38,50.0,,41.65
448,2486.952,47.34,50.33,50.0,,41.61
449,2487.102,47.33,50.29,50.0,51.73,41.58
450,2487.252,47.34,50.24,50.0,,41.53
451,2487.402,47.35,50.19,50.0,,41.5
452,2487.552,47.37,50.15,50.0,,41.46
453,2696.678,,,,51.95,
454,2487.702,47.41,50.11,50.0,52.21,41.42
455,2697.785,,,,52.57,
456,2487.852,47.45,50.07,50.0,,41.38
457,2488.002,47.5,50.03,50.0,,41.34
458,2488.152,47.58,50.0,50.0,,41.3
459,2488.302,47.63,49.98,50.0,52.66,41.26
460,2488.452,47.69,49.95,50.0,,41.23
461,2488.602,47.77,49.93,50.0,,41.17
462,2488.752,47.83,49.92,50.0,,41.14
463,2488.902,47.89,49.91,50.0,52.98,41.11
464,2703.337,,,,53.34,
465,2489.052,47.96,49.89,50.0,,41.06
466,2489.202,48.03,49.89,50.0,,41.04
467,2489.352,48.09,49.88,50.0,,41.0
468,2489.502,48.17,49.88,50.0,53.54,40.96
469,2489.652,48.22,49.87,50.0,,40.93
470,2489.802,48.27,49.87,50.0,,40.9
471,2489.952,48.35,49.87,50.0,,40.86
472,2490.102,48.4,49.87,50.0,53.79,40.83
473,2490.252,48.45,49.86,50.0,,40.8
474,2490.402,48.51,49.86,50.0,,40.76
475,2490.552,48.56,49.86,50.0,,40.74
476,2490.702,48.61,49.86,50.0,53.95,40.71
477,2490.852,48.67,49.86,50.0,,40.66
478,2491.002,48.72,49.87,50.0,,40.64
479,2491.152,48.76,49.87,50.0,,40.61
480,2713.008,,,,54.28,
481,2491.302,48.81,49.87,50.0,54.49,40.58
482,2491.452,48.85,49.87,50.0,,40.54
483,2491.602,48.9,49.87,50.0,,40.52
484,2491.752,48.97,49.87,50.0,,40.49
485,2491.902,49.01,49.88,50.0,54.76,40.47
486,2492.052,49.04,49.88,50.0,,40.44
487,2492.202,49.08,49.88,50.0,,40.41
488,2492.352,49.12,49.88,50.0,,40.38
489,2492.502,49.16,49.89,50.0,,40.37
490,2492.652,49.21,49.89,50.0,,40.34
491,2719.705,,,,54.88,
492,2492.803,49.23,49.89,90.0,,40.31
493,2492.952,49.26,49.89,90.0,,40.28
494,2493.102,49.3,49.89,90.0,55.24,40.27
495,2493.252,49.32,49.89,90.0,,40.25
496,2493.402,49.35,49.89,90.0,,40.22
497,2493.552,49.38,49.9,90.0,,40.19
498,2493.702,49.42,49.9,90.0,55.49,40.17
499,2493.852,49.46,49.9,90.0,,40.15
500,2494.002,49.53,49.91,90.0,,40.12
501,2494.152,49.58,49.91,90.0,,40.09
502,2726.366,,,,55.63,
503,2494.302,49.64,49.92,90.0,55.94,40.07
504,2494.452,49.74,49.94,90.0,,40.04
505,2494.602,49.83,49.96,90.0,,40.02
506,2728.77,,,,56.07,
507,2729.455,,,,56.36,
508,2494.752,49.91,49.99,90.0,,39.99
509,2494.902,50.03,50.02,90.0,56.61,39.97
510,2495.052,50.13,50.05,90.0,,39.94
511,2495.202,50.22,50.09,90.0,,39.92
512,2495.352,50.35,50.13,90.0,,39.88
513,2495.502,50.44,50.17,90.0,56.76,39.86
514,2495.652,50.53,50.21,90.0,,39.83
515,2495.802,50.66,50.26,90.0,,39.79
516,2495.952,50.75,50.31,90.0,,39.77
517,2735.473,,,,57.0,
518,2496.102,50.84,50.36,90.0,57.23,39.75
519,2496.252,50.97,50.41,90.0,,39.72
520,2496.402,51.06,50.46,90.0,,39.7
521,2496.552,51.14,50.51,90.0,,39.68
522,2496.702,51.27,50.57,90.0,57.43,39.65
523,2496.852,51.35,50.62,90.0,,39.62
524,2497.002,51.43,50.67,90.0,,39.6
525,2497.152,51.54,50.73,90.0,,39.56
526,2497.302,51.62,50.78,90.0,57.63,39.54
527,2497.452,51.69,50.83,90.0,,39.52
528,2497.602,51.79,50.88,90.0,,39.49
529,2497.752,51.86,50.94,90.0,,39.47
530,2497.902,51.94,50.99,90.0,57.84,39.45
531,2498.052,52.04,51.04,90.0,,39.42
532,2498.202,52.12,51.09,90.0,,39.4
533,2498.352,52.2,51.14,90.0,,39.37
534,2498.502,52.29,51.2,90.0,58.1,39.34
535,2498.652,52.36,51.25,90.0,,39.32
536,2498.802,52.44,51.3,90.0,,39.31
537,2498.952,52.54,51.35,90.0,,39.28
538,2499.102,52.61,51.41,90.0,,39.27
539,2499.252,52.68,51.46,90.0,,39.24
540,2499.402,52.75,51.51,90.0,,39.22
541,2499.552,52.84,51.57,90.0,,39.19
542,2499.702,52.91,51.62,90.0,58.47,39.18
543,2499.852,52.98,51.67,90.0,,39.16
544,2500.002,53.07,51.72,90.0,,39.13
545,2500.152,53.13,51.78,90.0,,39.12
546,2500.303,53.22,51.83,90.0,58.57,39.09
547,2500.452,53.28,51.88,90.0,,39.07
548,2500.602,53.35,51.93,90.0,,39.06
549,2500.752,53.41,51.98,90.0,,39.04
550,2500.902,53.5,52.04,90.0,58.77,39.02
551,2501.052,53.56,52.09,90.0,,39.01
552,2501.202,53.63,52.14,90.0,,38.99
553,2501.352,53.73,52.2,90.0,,38.98
554,2501.502,53.79,52.25,90.0,58.94,38.96
555,2501.652,53.87,52.3,90.0,,38.94
556,2501.802,53.96,52.36,90.0,,38.92
557,2501.952,54.01,52.42,90.0,,38.9
558,2502.102,54.06,52.47,90.0,59.16,38.87
559,2502.252,54.14,52.52,90.0,,38.85
560,2502.402,54.2,52.57,90.0,,38.83
561,2502.552,54.26,52.62,90.0,,38.81
562,2502.702,54.34,52.68,90.0,59.33,38.78
563,2502.852,54.4,52.73,90.0,,38.77
564,2503.002,54.46,52.78,90.0,,38.74
565,2503.152,54.54,52.84,90.0,,38.72
566,2503.302,54.61,52.89,90.0,59.64,38.71
567,2503.452,54.66,52.94,90.0,,38.68
568,2503.602,54.74,53.0,90.0,,38.65
569,2503.752,54.8,53.05,90.0,,38.63
570,2503.902,54.86,53.1,90.0,59.8,38.62
571,2504.052,54.94,53.16,90.0,,38.59
572,2504.202,55.0,53.21,90.0,,38.58
573,2504.352,55.06,53.26,90.0,,38.57
574,2504.502,55.14,53.32,90.0,,38.55
575,2504.652,55.2,53.37,90.0,59.98,38.54
576,2504.802,55.26,53.43,90.0,,38.52
577,2504.952,55.34,53.48,90.0,,38.51
578,2505.102,55.39,53.54,90.0,60.4,38.49
579,2505.252,55.45,53.59,90.0,,38.47
580,2505.402,55.52,53.64,90.0,,38.44
