,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
201,8047.176,,,,60.4,
202,7956.261,78.62,80.33,80.0,,35.51
203,8048.286,,,,61.92,
204,7956.411,78.64,80.32,80.0,,35.49
205,7956.561,78.67,80.31,80.0,,35.48
206,7956.711,78.69,80.29,80.0,,35.46
207,7956.861,78.71,80.27,80.0,,35.46
208,7957.012,78.73,80.26,80.0,63.02,35.44
209,7957.162,78.75,80.24,80.0,,35.44
210,7957.312,78.76,80.22,80.0,,35.43
211,7957.461,78.77,80.2,80.0,,35.41
212,7957.612,78.78,80.18,80.0,63.87,35.41
213,7957.762,78.78,80.16,80.0,,35.39
214,8054.93,,,,64.42,
215,7957.912,78.8,80.14,80.0,,35.38
216,7958.063,78.81,80.12,80.0,,35.37
217,7958.213,78.82,80.1,80.0,64.65,35.36
218,7958.362,78.85,80.08,80.0,,35.34
219,7958.513,78.87,80.07,80.0,,35.33
220,7958.663,78.88,80.05,80.0,,35.32
221,7958.813,78.9,80.04,80.0,65.06,35.31
222,7958.963,78.92,80.02,80.0,,35.3
223,7959.113,78.93,80.01,80.0,,35.29
224,7959.263,78.97,80.0,80.0,,35.28
225,7959.413,79.0,79.99,80.0,65.26,35.27
226,7959.563,79.01,79.98,80.0,,35.26
227,8062.684,,,,65.49,
228,7959.713,79.05,79.98,80.0,,35.25
229,7959.863,79.07,79.97,80.0,,35.25
230,7960.013,79.09,79.96,80.0,65.67,35.24
231,7960.163,79.13,79.96,80.0,,35.22
232,7960.312,79.16,79.96,80.0,,35.22
233,7960.463,79.17,79.95,80.0,65.92,35.21
234,7960.612,79.22,79.95,80.0,,35.2
235,7960.759,79.24,79.95,70.0,,35.19
236,7960.909,79.26,79.94,70.0,,35.18
237,7961.06,79.19,79.92,70.0,,35.18
238,7961.209,78.88,79.85,70.0,66.14,35.2
239,7961.36,78.33,79.69,70.0,,35.27
240,7961.511,77.26,79.37,70.0,,35.39
241,7961.66,76.33,78.97,70.0,,35.51
242,7961.81,75.32,78.51,70.0,66.34,35.64
243,7961.962,73.88,77.91,70.0,,35.84
244,7962.111,72.78,77.32,70.0,,36.0
245,7962.262,71.65,76.72,70.0,,36.17
