timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,dataQLiquidStg1
2103.394,69.56,46.41,30,60,
2103.394,69.56,46.41,30,60,
2103.394,69.56,46.41,30,60,
2103.394,69.56,46.41,30,60,
2103.541,71.04,46.52,30,60,
2103.541,71.04,46.52,30,60,
2103.541,71.04,46.52,30,60,
2103.541,71.04,46.52,30,60,
2103.692,72.57,46.65,30,60,
2103.692,72.57,46.65,30,60,
2103.692,72.57,46.65,30,60,
2103.692,72.57,46.65,30,60,
2103.842,74.19,46.79,30,60,
2103.842,74.19,46.79,30,60,
2103.842,74.19,46.79,30,60,
2103.842,74.19,46.79,30,60,
2104.001,75.7,46.93,30,60,
2104.001,75.7,46.93,30,60,
2104.001,75.7,46.93,30,60,
2104.001,75.7,46.93,30,60,
2104.15,77.21,47.08,30,60,
2104.15,77.21,47.08,30,60,
2104.15,77.21,47.08,30,60,
2104.15,77.21,47.08,30,60,
2104.257,,,,,40.22
2104.3,78.51,47.22,30,60,
2104.3,78.51,47.22,30,60,
2104.3,78.51,47.22,30,60,
2104.3,78.51,47.22,30,60,
2104.45,79.98,47.38,30,60,
2104.45,79.98,47.38,30,60,
2104.45,79.98,47.38,30,60,
2104.45,79.98,47.38,30,60,
2104.6,81.17,47.53,30,60,
2104.6,81.17,47.53,30,60,
2104.6,81.17,47.53,30,60,
2104.6,81.17,47.53,30,60,
2104.751,82.61,47.69,30,60,
2104.751,82.61,47.69,30,60,
2104.751,82.61,47.69,30,60,
2104.751,82.61,47.69,30,60,
2104.9,83.99,47.87,30,60,
2104.9,83.99,47.87,30,60,
2104.9,83.99,47.87,30,60,
2104.9,83.99,47.87,30,60,
2105.068,85.38,48.06,30,60,
2105.068,85.38,48.06,30,60,
2105.068,85.38,48.06,30,60,
2105.068,85.38,48.06,30,60,
2105.218,86.64,48.23,30,60,
2105.218,86.64,48.23,30,60,
2105.218,86.64,48.23,30,60,
2105.218,86.64,48.23,30,60,
2105.25,,,,,40.43
2105.368,87.76,48.4,30,60,
2105.368,87.76,48.4,30,60,
2105.368,87.76,48.4,30,60,
2105.368,87.76,48.4,30,60,
2105.518,89.03,48.59,30,60,
2105.518,89.03,48.59,30,60,
2105.518,89.03,48.59,30,60,
2105.518,89.03,48.59,30,60,
2105.668,90.23,48.78,30,60,
2105.668,90.23,48.78,30,60,
2105.668,90.23,48.78,30,60,
2105.668,90.23,48.78,30,60,
2105.818,91.41,48.97,30,60,
2105.818,91.41,48.97,30,60,
2105.818,91.41,48.97,30,60,
2105.818,91.41,48.97,30,60,
2105.968,92.64,49.17,30,60,
2105.968,92.64,49.17,30,60,
2105.968,92.64,49.17,30,60,
2105.968,92.64,49.17,30,60,
2106.118,93.73,49.36,30,60,
2106.118,93.73,49.36,30,60,
2106.118,93.73,49.36,30,60,
2106.118,93.73,49.36,30,60,
2106.268,94.87,49.56,30,60,42.26
2106.268,94.87,49.56,30,60,42.26
2106.268,94.87,49.56,30,60,42.26
2106.268,94.87,49.56,30,60,42.26
2106.268,94.87,49.56,30,60,42.26
2106.418,95.93,49.76,30,60,
2106.418,95.93,49.76,30,60,
2106.418,95.93,49.76,30,60,
2106.418,95.93,49.76,30,60,
2106.568,96.92,49.96,30,60,
2106.568,96.92,49.96,30,60,
2106.568,96.92,49.96,30,60,
2106.568,96.92,49.96,30,60,
2106.718,97.96,50.17,30,60,
2106.718,97.96,50.17,30,60,
2106.718,97.96,50.17,30,60,
2106.718,97.96,50.17,30,60,
2106.868,98.92,50.37,30,60,
2106.868,98.92,50.37,30,60,
2106.868,98.92,50.37,30,60,
2106.868,98.92,50.37,30,60,
2107.018,99.93,50.59,30,60,
2107.018,99.93,50.59,30,60,
2107.018,99.93,50.59,30,60,
2107.018,99.93,50.59,30,60,
2107.168,100.92,50.84,30,60,
2107.168,100.92,50.84,30,60,
2107.168,100.92,50.84,30,60,
2107.168,100.92,50.84,30,60,
2107.318,101.89,51.12,30,60,42.82
2107.318,101.89,51.12,30,60,42.82
2107.318,101.89,51.12,30,60,42.82
2107.318,101.89,51.12,30,60,42.82
2107.318,101.89,51.12,30,60,42.82
2107.468,102.78,51.4,30,60,
