timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,dataQLiquidStg1
3062.336,55.12,36.91,50,60,
3062.336,55.12,36.91,50,60,
3062.336,55.12,36.91,50,60,
3062.336,55.12,36.91,50,60,
3062.486,56.49,37.01,50,60,
3062.486,56.49,37.01,50,60,
3062.486,56.49,37.01,50,60,
3062.486,56.49,37.01,50,60,
3062.636,58,37.13,50,60,
3062.636,58,37.13,50,60,
3062.636,58,37.13,50,60,
3062.636,58,37.13,50,60,
3062.786,59.43,37.25,50,60,
3062.786,59.43,37.25,50,60,
3062.786,59.43,37.25,50,60,
3062.786,59.43,37.25,50,60,
3062.944,60.91,37.39,50,60,
3062.944,60.91,37.39,50,60,
3062.944,60.91,37.39,50,60,
3062.944,60.91,37.39,50,60,
3063.094,62.38,37.53,50,60,
3063.094,62.38,37.53,50,60,
3063.094,62.38,37.53,50,60,
3063.094,62.38,37.53,50,60,
3063.244,63.69,37.66,50,60,
3063.244,63.69,37.66,50,60,
3063.244,63.69,37.66,50,60,
3063.244,63.69,37.66,50,60,
3063.296,,,,,26.58
3063.394,65.17,37.82,50,60,
3063.394,65.17,37.82,50,60,
3063.394,65.17,37.82,50,60,
3063.394,65.17,37.82,50,60,
3063.544,66.32,37.96,50,60,
3063.544,66.32,37.96,50,60,
3063.544,66.32,37.96,50,60,
3063.544,66.32,37.96,50,60,
3063.699,67.72,38.12,50,60,
3063.699,67.72,38.12,50,60,
3063.699,67.72,38.12,50,60,
3063.699,67.72,38.12,50,60,
3063.844,69.02,38.28,50,60,
3063.844,69.02,38.28,50,60,
3063.844,69.02,38.28,50,60,
3063.844,69.02,38.28,50,60,
3064,70.2,38.44,50,60,
3064,70.2,38.44,50,60,
3064,70.2,38.44,50,60,
3064,70.2,38.44,50,60,
3064.146,71.42,38.6,50,60,
3064.146,71.42,38.6,50,60,
3064.146,71.42,38.6,50,60,
3064.146,71.42,38.6,50,60,
3064.296,72.49,38.76,50,60,
3064.296,72.49,38.76,50,60,
3064.296,72.49,38.76,50,60,
3064.296,72.49,38.76,50,60,
3064.309,,,,,26.64
3064.446,73.86,38.95,50,60,
3064.446,73.86,38.95,50,60,
3064.446,73.86,38.95,50,60,
3064.446,73.86,38.95,50,60,
3064.596,75,39.13,50,60,
3064.596,75,39.13,50,60,
3064.596,75,39.13,50,60,
3064.596,75,39.13,50,60,
3064.746,76.09,39.3,50,60,
3064.746,76.09,39.3,50,60,
3064.746,76.09,39.3,50,60,
3064.746,76.09,39.3,50,60,
3064.896,77.17,39.49,50,60,
3064.896,77.17,39.49,50,60,
3064.896,77.17,39.49,50,60,
3064.896,77.17,39.49,50,60,
3065.046,78.25,39.67,50,60,
3065.046,78.25,39.67,50,60,
3065.046,78.25,39.67,50,60,
3065.046,78.25,39.67,50,60,
3065.196,79.3,39.86,50,60,33.95
3065.196,79.3,39.86,50,60,33.95
3065.196,79.3,39.86,50,60,33.95
3065.196,79.3,39.86,50,60,33.95
3065.196,79.3,39.86,50,60,33.95
3065.346,80.33,40.05,50,60,
3065.346,80.33,40.05,50,60,
3065.346,80.33,40.05,50,60,
3065.346,80.33,40.05,50,60,
3065.496,81.34,40.24,50,60,
3065.496,81.34,40.24,50,60,
3065.496,81.34,40.24,50,60,
3065.496,81.34,40.24,50,60,
3065.646,82.31,40.43,50,60,
3065.646,82.31,40.43,50,60,
3065.646,82.31,40.43,50,60,
3065.646,82.31,40.43,50,60,
3065.796,83.27,40.63,50,60,
3065.796,83.27,40.63,50,60,
3065.796,83.27,40.63,50,60,
3065.796,83.27,40.63,50,60,
3065.946,84.21,40.83,50,60,
3065.946,84.21,40.83,50,60,
3065.946,84.21,40.83,50,60,
3065.946,84.21,40.83,50,60,
3066.096,85.16,41.03,50,60,
3066.096,85.16,41.03,50,60,
