"consumableId","experimentResult__fmax__001","experimentResult__fmax__002","experimentResult__fmax__003","experimentResult__fmax__004","experimentResult__fmax__005","experimentResult__fmax__006","experimentResult__fmax__007","experimentResult__fmax__008","experimentResult__fmax__009","experimentResult__fmax__010","experimentResult__fmax__011"
"68eaccf3-166b-4e11-aa53-c2cbde6fffce","8","23","394","215","75","26","17","15","7","150","0"
"738c3061-df37-4eb5-9bd9-122184f27877","5","13","211","128","43","15","12","10","4","113","0"
"d0f7da46-bbb0-4902-a5ca-63a76a16cfe2","10","30","409","223","80","27","20","17","8","188","0"
"439e3835-7c72-49cd-8068-085d9a47ed71","18","-62","849","495","167","60","36","39","19","540","0"
"beea1cb0-1a4a-4ab4-bd8c-6a67fab4116b","14","34","544","370","129","43","31","24","11","298","1"
"3c6a1482-ca58-427d-8f26-50590c5f9598","16","60","807","479","154","56","37","34","15","355","0"
"934bf0cf-e838-49a5-9808-7aaba14ef955","16","62","686","391","130","49","34","32","13","381","0"
"1dc1cf86-202e-480d-8dfa-64203d263299","9","30","435","227","85","27","21","17","7","168","0"
"285fe37b-71e4-4833-8a17-09d19e7292c3","4","10","183","121","38","13","9","7","3","91","-1"
"d0a042ec-2d2a-41ca-8093-e9a34acfc8a5","16","47","748","485","161","54","37","31","15","336","-1"
"f3e4ad0b-be43-49c7-b788-bf1621aaec0b","12","-59","533","327","106","38","27","25","10","-267","0"
"34f77614-2524-434e-bb6e-7f25d3bdb9bd","15","48","704","377","136","46","33","28","12","259","0"
"3705e520-cfbc-4182-af2b-21e0261bc969","26","85","998","653","227","78","53","45","19","463","1"
"d03e2536-e798-41aa-8676-e6d1352ce12b","11","33","510","293","97","33","22","21","9","386","0"
"b86d78ac-8f29-45ca-8287-e40e5128a38f","17","41","673","442","156","53","34","30","13","295","1"
"b98f21ef-93bf-4385-9f17-d7d4f5e31556","6","18","285","147","55","18","14","11","6","231","0"
"ad780b7a-1b50-49b6-a0b0-553b68176047","13","38","580","353","122","42","30","26","11","270","1"
"a05aa084-feb9-4721-9574-883a9e33c64e","6","49","313","192","59","23","16","12","6","245","0"
"66622c95-736a-431d-a836-0f5c2de30909","12","35","583","362","121","41","28","24","11","252","-1"
"06d58f2d-f2e8-43a9-a148-27d2496cc80c","18","70","862","515","166","61","43","38","19","608","0"
