Text,X,1: Positive Control,X,2: Negative Control,X,3: NAM. 18S
65.27,65.27,3.585870028,65.32,1.794461012,65.36,2.146944284
65.47,65.47,3.587396145,65.51,1.795986891,65.54,2.140840769
65.69,65.69,3.579766512,65.74,1.791409135,65.77,2.13931489
65.86,65.86,3.585870028,65.94,1.789883256,65.99,2.143892527
66.05,66.05,3.58281827,66.08,1.794461012,66.12,2.140840769
66.24,66.24,3.578240633,66.28,1.789883256,66.31,2.134737253
66.4,66.4,3.576714754,66.44,1.786831498,66.49,2.142366648
66.6,66.6,3.584344149,66.64,1.792935014,66.68,2.142366648
66.79,66.79,3.588922024,66.82,1.792935014,66.86,2.136263132
66.97,66.97,3.584344149,67,1.79751277,67.03,2.140840769
67.12,67.12,3.587396145,67.21,1.795986891,67.27,2.142366648
67.32,67.32,3.581292391,67.3,1.794461012,67.33,2.145418406
67.52,67.52,3.579766512,67.56,1.794461012,67.6,2.140840769
67.7,67.7,3.58281827,67.75,1.799038649,67.79,2.140840769
67.92,67.92,3.573662996,67.95,1.794461012,67.98,2.142366648
68.11,68.11,3.573662996,68.16,1.795986891,68.2,2.13931489
68.28,68.28,3.584344149,68.32,1.79751277,68.39,2.13931489
68.53,68.53,3.585870028,68.63,1.795986891,68.68,2.140840769
68.7,68.7,3.585870028,68.75,1.792935014,68.81,2.137789011
68.92,68.92,3.587396145,68.96,1.800564528,69,2.13931489
69.12,69.12,3.581292391,69.18,1.79751277,69.23,2.13931489
69.36,69.36,3.576714754,69.39,1.795986891,69.43,2.140840769
69.55,69.55,3.581292391,69.59,1.792935014,69.63,2.137789011
69.74,69.74,3.581292391,69.8,1.792935014,69.85,2.131685257
69.96,69.96,3.581292391,70.01,1.795986891,70.07,2.133211374
70.13,70.13,3.579766512,70.18,1.791409135,70.23,2.12710762
70.34,70.34,3.575188875,70.38,1.79751277,70.41,2.140840769
70.53,70.53,3.575188875,70.58,1.792935014,70.61,2.136263132
70.65,70.65,3.572137117,70.69,1.794461012,70.76,2.133211374
70.86,70.86,3.572137117,70.87,1.789883256,70.9,2.134737253
71.05,71.05,3.572137117,71.09,1.792935014,71.15,2.125581741
71.25,71.25,3.570611238,71.3,1.791409135,71.34,2.12710762
71.5,71.5,3.578240633,71.54,1.795986891,71.59,2.128633499
71.71,71.71,3.573662996,71.75,1.794461012,71.79,2.133211374
71.91,71.91,3.576714754,71.96,1.795986891,71.99,2.133211374
72.08,72.08,3.578240633,72.14,1.795986891,72.18,2.128633499
72.25,72.25,3.581292391,72.3,1.794461012,72.37,2.136263132
72.47,72.47,3.572137117,72.52,1.791409135,72.56,2.125581741
72.67,72.67,3.572137117,72.72,1.791409135,72.76,2.131685257
72.87,72.87,3.575188875,72.91,1.791409135,72.97,2.128633499
73.12,73.12,3.570611238,73.17,1.789883256,73.21,2.128633499
73.31,73.31,3.576714754,73.34,1.79751277,73.37,2.12710762
73.48,73.48,3.567559242,73.52,1.794461012,73.56,2.12710762
73.65,73.65,3.572137117,73.68,1.792935014,73.73,2.125581741
73.85,73.85,3.569085121,73.9,1.794461012,73.94,2.124055862
74.07,74.07,3.564507484,74.1,1.788357377,74.15,2.117952347
74.26,74.26,3.564507484,74.3,1.789883256,74.35,2.122529984
74.48,74.48,3.572137117,74.51,1.789883256,74.54,2.124055862
74.65,74.65,3.562981606,74.69,1.791409135,74.73,2.121004105
74.86,74.86,3.575188875,74.9,1.794461012,74.95,2.122529984
75.04,75.04,3.562981606,75.08,1.795986891,75.14,2.121004105
75.21,75.21,3.566033363,75.23,1.792935014,75.26,2.110322714
75.38,75.38,3.558403969,75.42,1.789883256,75.45,2.114900351
75.6,75.6,3.569085121,75.68,1.791409135,75.75,2.113374472
75.85,75.85,3.562981606,75.9,1.789883256,75.94,2.113374472
76.06,76.06,3.561455727,76.12,1.789883256,76.17,2.111848593
76.27,76.27,3.569085121,76.3,1.792935014,76.37,2.107270956
76.48,76.48,3.558403969,76.52,1.794461012,76.57,2.108796835
76.69,76.69,3.559929848,76.74,1.788357377,76.77,2.110322714
76.89,76.89,3.555352211,76.96,1.789883256,77.01,2.110322714
77.14,77.14,3.558403969,77.18,1.788357377,77.21,2.107270956
77.34,77.34,3.553826094,77.38,1.786831498,77.4,2.105745077
77.47,77.47,3.564507484,77.52,1.785305619,77.58,2.107270956
77.65,77.65,3.550774336,77.69,1.788357377,77.73,2.107270956
77.86,77.86,3.562981606,77.91,1.788357377,77.94,2.096589565
78.05,78.05,3.55687809,78.09,1.788357377,78.12,2.102693319
78.22,78.22,3.558403969,78.28,1.788357377,78.34,2.105745077
78.46,78.46,3.552300215,78.51,1.783779621,78.55,2.101167202
78.67,78.67,3.55687809,78.7,1.783779621,78.73,2.104219198
78.85,78.85,3.553826094,78.9,1.780727863,78.95,2.095063686
79.05,79.05,3.555352211,79.1,1.783779621,79.11,2.095063686
79.26,79.26,3.555352211,79.34,1.785305619,79.38,2.096589565
79.45,79.45,3.552300215,79.5,1.780727863,79.56,2.095063686
79.66,79.66,3.546196699,79.69,1.783779621,79.73,2.092011929
79.84,79.84,3.54467082,79.9,1.782253742,79.93,2.087434292
80.03,80.03,3.550774336,80.07,1.783779621,80.13,2.088960171
80.26,80.26,3.547722578,80.31,1.780727863,80.34,2.087434292
80.45,80.45,3.549248457,80.5,1.782253742,80.54,2.088960171
80.69,80.69,3.543144941,80.72,1.779201984,80.75,2.085908175
80.86,80.86,3.549248457,80.9,1.782253742,80.95,2.082856417
81.07,81.07,3.546196699,81.11,1.779201984,81.15,2.082856417
81.25,81.25,3.540093184,81.33,1.779201984,81.39,2.081330538
81.38,81.38,3.543144941,81.4,1.780727863,81.45,2.076752901
81.62,81.62,3.541619062,81.62,1.782253742,81.65,2.07827878
81.78,81.78,3.540093184,81.83,1.777676105,81.91,2.084382296
82,82,3.535515308,82.02,1.782253742,82.05,2.081330538
82.24,82.24,3.538567066,82.3,1.774624228,82.32,2.073701143
82.38,82.38,3.540093184,82.45,1.779201984,82.53,2.072175264
82.68,82.68,3.540093184,82.7,1.779201984,82.74,2.070649385
82.84,82.84,3.540093184,82.88,1.776150107,82.93,2.076752901
83.04,83.04,3.537041187,83.07,1.782253742,83.12,2.072175264
83.24,83.24,3.543144941,83.28,1.779201984,83.32,2.072175264
83.47,83.47,3.537041187,83.52,1.780727863,83.55,2.072175264
83.64,83.64,3.529411793,83.71,1.776150107,83.75,2.067597389
83.89,83.89,3.533989429,83.94,1.776150107,84.01,2.067597389
84.1,84.1,3.527885914,84.12,1.774624228,84.15,2.067597389
84.28,84.28,3.526360035,84.32,1.776150107,84.35,2.063019753
84.47,84.47,3.532463551,84.48,1.777676105,84.5,2.058442116
84.67,84.67,3.532463551,84.73,1.774624228,84.77,2.059967995
84.82,84.82,3.527885914,84.85,1.776150107,84.88,2.059967995
85.03,85.03,3.52178216,85.11,1.779201984,85.14,2.058442116
85.19,85.19,3.52178216,85.25,1.771572471,85.34,2.058442116
85.46,85.46,3.523308039,85.47,1.771572471,85.49,2.055390358
85.62,85.62,3.523308039,85.66,1.771572471,85.71,2.056916237
85.82,85.82,3.518730402,85.87,1.77309835,85.9,2.055390358
86.01,86.01,3.511101007,86.06,1.770046592,86.11,2.058442116
86.26,86.26,3.518730402,86.32,1.766994715,86.36,2.053864241
86.47,86.47,3.518730402,86.52,1.766994715,86.57,2.058442116
86.67,86.67,3.514152765,86.71,1.765468836,86.8,2.050812483
86.91,86.91,3.512626886,86.94,1.770046592,86.96,2.050812483
87.07,87.07,3.509575129,87.13,1.765468836,87.16,2.044708967
87.27,87.27,3.503471375,87.32,1.762417078,87.36,2.044708967
87.47,87.47,3.506523132,87.5,1.765468836,87.54,2.043183088
87.66,87.66,3.509575129,87.72,1.766994715,87.75,2.044708967
87.83,87.83,3.503471375,87.9,1.770046592,87.94,2.041657209
88.02,88.02,3.503471375,88.06,1.762417078,88.12,2.044708967
88.22,88.22,3.503471375,88.28,1.763942957,88.32,2.038605213
88.41,88.41,3.501945496,88.46,1.762417078,88.52,2.035553455
88.61,88.61,3.501945496,88.66,1.76089108,88.71,2.035553455
88.81,88.81,3.498893738,88.85,1.759365201,88.92,2.034027576
89.06,89.06,3.489738226,89.12,1.76089108,89.16,2.032501698
89.24,89.24,3.49584198,89.3,1.762417078,89.34,2.02944994
89.44,89.44,3.492790222,89.51,1.762417078,89.56,2.027924061
89.68,89.68,3.489738226,89.72,1.765468836,89.76,2.02944994
89.86,89.86,3.494316101,89.92,1.757839322,89.98,2.027924061
90.11,90.11,3.492790222,90.13,1.76089108,90.16,2.026398182
90.26,90.26,3.486686468,90.28,1.757839322,90.31,2.023346186
90.42,90.42,3.485160589,90.48,1.762417078,90.54,2.023346186
90.66,90.66,3.482108831,90.7,1.753261566,90.75,2.024872303
90.85,90.85,3.479057074,90.9,1.751735687,90.96,2.020294428
91.09,91.09,3.479057074,91.12,1.750209808,91.16,2.014190912
91.29,91.29,3.480582952,91.32,1.751735687,91.36,2.018768549
91.49,91.49,3.476005077,91.55,1.751735687,91.61,2.011139154
91.69,91.69,3.466849804,91.72,1.750209808,91.77,2.014190912
91.9,91.9,3.476005077,91.95,1.748683929,91.99,2.012665033
92.11,92.11,3.471427441,92.13,1.745632052,92.15,2.006561279
92.29,92.29,3.468375683,92.33,1.747158051,92.35,2.006561279
92.4,92.4,3.46074605,92.44,1.745632052,92.49,2.0050354
92.63,92.63,3.462272167,92.66,1.745632052,92.68,1.998931885
92.81,92.81,3.462272167,92.88,1.742580295,92.91,1.994354129
92.98,92.98,3.456168413,93.02,1.745632052,93.07,1.991302371
93.18,93.18,3.457694292,93.23,1.742580295,93.29,1.991302371
93.42,93.42,3.459220171,93.45,1.742580295,93.49,1.989776492
93.6,93.6,3.451590776,93.66,1.741054416,93.71,1.988250494
93.76,93.76,3.453116655,93.8,1.73647666,93.84,1.983672857
94.02,94.02,3.451590776,94.08,1.739528537,94.12,1.979095101
94.22,94.22,3.453116655,94.27,1.73647666,94.31,1.979095101
94.39,94.39,3.448539019,94.43,1.734950781,94.49,1.983672857
94.57,94.57,3.440909386,94.62,1.738002539,94.66,1.982146978
94.81,94.81,3.437857628,94.87,1.730373025,94.94,1.977569222
95.07,95.07,3.440909386,95.13,1.733424902,95.3,1.972991586
