Text,X,1: Positive Control,X,2: Negative Control,X,3: NAM. 18S
69.74,69.74,1.528954029,69.8,1.104753137,69.85,1.263447046
69.96,69.96,1.524376273,70.01,1.11238265,70.07,1.25886929
70.13,70.13,1.532005787,70.18,1.11238265,70.23,1.25886929
70.34,70.34,1.524376273,70.38,1.118486285,70.41,1.261921167
70.53,70.53,1.522850394,70.58,1.107805014,70.61,1.266498804
70.65,70.65,1.522850394,70.69,1.109330893,70.76,1.264972925
70.86,70.86,1.525902152,70.87,1.106279135,70.9,1.264972925
71.05,71.05,1.519798636,71.09,1.110856771,71.15,1.257343411
71.25,71.25,1.525902152,71.3,1.107805014,71.34,1.25886929
71.5,71.5,1.528954029,71.54,1.115434527,71.59,1.25886929
71.71,71.71,1.519798636,71.75,1.115434527,71.79,1.261921167
71.91,71.91,1.524376273,71.96,1.11238265,71.99,1.260395169
72.08,72.08,1.522850394,72.14,1.110856771,72.18,1.264972925
72.25,72.25,1.525902152,72.3,1.110856771,72.37,1.264972925
72.47,72.47,1.521324515,72.52,1.109330893,72.56,1.257343411
72.67,72.67,1.524376273,72.72,1.106279135,72.76,1.261921167
72.87,72.87,1.521324515,72.91,1.107805014,72.97,1.261921167
73.12,73.12,1.522850394,73.17,1.106279135,73.21,1.261921167
73.31,73.31,1.524376273,73.34,1.115434527,73.37,1.255817533
73.48,73.48,1.522850394,73.52,1.113908648,73.56,1.257343411
73.65,73.65,1.525902152,73.68,1.11238265,73.73,1.25886929
73.85,73.85,1.518272638,73.9,1.113908648,73.94,1.261921167
74.07,74.07,1.516746759,74.1,1.107805014,74.15,1.25886929
74.26,74.26,1.513695002,74.3,1.106279135,74.35,1.260395169
74.48,74.48,1.521324515,74.51,1.109330893,74.54,1.260395169
74.65,74.65,1.518272638,74.69,1.107805014,74.73,1.257343411
74.86,74.86,1.525902152,74.9,1.110856771,74.95,1.254291654
75.04,75.04,1.518272638,75.08,1.113908648,75.14,1.254291654
75.21,75.21,1.519798636,75.23,1.107805014,75.26,1.251239777
75.38,75.38,1.516746759,75.42,1.106279135,75.45,1.25886929
75.6,75.6,1.521324515,75.68,1.110856771,75.75,1.252765656
75.85,75.85,1.521324515,75.9,1.110856771,75.94,1.249713898
76.06,76.06,1.522850394,76.12,1.109330893,76.17,1.251239777
76.27,76.27,1.524376273,76.3,1.110856771,76.37,1.248188019
76.48,76.48,1.521324515,76.52,1.110856771,76.57,1.255817533
76.69,76.69,1.521324515,76.74,1.110856771,76.77,1.251239777
76.89,76.89,1.510643125,76.96,1.113908648,77.01,1.255817533
77.14,77.14,1.515220881,77.18,1.107805014,77.21,1.254291654
77.34,77.34,1.513695002,77.38,1.104753137,77.4,1.255817533
77.47,77.47,1.519798636,77.52,1.107805014,77.58,1.25886929
77.65,77.65,1.519798636,77.69,1.11238265,77.73,1.252765656
77.86,77.86,1.521324515,77.91,1.110856771,77.94,1.245136142
78.05,78.05,1.518272638,78.09,1.11238265,78.12,1.249713898
78.22,78.22,1.512169123,78.28,1.107805014,78.34,1.251239777
78.46,78.46,1.513695002,78.51,1.103227258,78.55,1.251239777
78.67,78.67,1.519798636,78.7,1.104753137,78.73,1.254291654
78.85,78.85,1.513695002,78.9,1.103227258,78.95,1.249713898
79.05,79.05,1.516746759,79.1,1.106279135,79.11,1.24666214
79.26,79.26,1.519798636,79.34,1.109330893,79.38,1.24666214
79.45,79.45,1.515220881,79.5,1.103227258,79.56,1.249713898
79.66,79.66,1.518272638,79.69,1.107805014,79.73,1.245136142
79.84,79.84,1.518272638,79.9,1.11238265,79.93,1.243610263
80.03,80.03,1.519798636,80.07,1.110856771,80.13,1.249713898
80.26,80.26,1.516746759,80.31,1.110856771,80.34,1.249713898
80.45,80.45,1.516746759,80.5,1.107805014,80.54,1.249713898
80.69,80.69,1.512169123,80.72,1.104753137,80.75,1.249713898
80.86,80.86,1.512169123,80.9,1.106279135,80.95,1.251239777
81.07,81.07,1.513695002,81.11,1.106279135,81.15,1.248188019
81.25,81.25,1.510643125,81.33,1.101701379,81.39,1.24666214
81.38,81.38,1.509117246,81.4,1.101701379,81.45,1.240558505
81.62,81.62,1.512169123,81.62,1.106279135,81.65,1.24666214
81.78,81.78,1.510643125,81.83,1.103227258,81.91,1.248188019
82,82,1.510643125,82.02,1.107805014,82.05,1.245136142
82.24,82.24,1.518272638,82.3,1.1001755,82.32,1.242084384
82.38,82.38,1.515220881,82.45,1.107805014,82.53,1.240558505
82.68,82.68,1.515220881,82.7,1.109330893,82.74,1.240558505
82.84,82.84,1.518272638,82.88,1.104753137,82.93,1.240558505
83.04,83.04,1.516746759,83.07,1.110856771,83.12,1.237506628
83.24,83.24,1.518272638,83.28,1.107805014,83.32,1.240558505
83.47,83.47,1.518272638,83.52,1.109330893,83.55,1.239032626
83.64,83.64,1.512169123,83.71,1.109330893,83.75,1.23445487
83.89,83.89,1.515220881,83.94,1.11238265,84.01,1.235980749
84.1,84.1,1.513695002,84.12,1.107805014,84.15,1.240558505
84.28,84.28,1.513695002,84.32,1.107805014,84.35,1.235980749
84.47,84.47,1.513695002,84.48,1.109330893,84.5,1.23445487
84.67,84.67,1.513695002,84.73,1.110856771,84.77,1.235980749
84.82,84.82,1.516746759,84.85,1.109330893,84.88,1.239032626
85.03,85.03,1.510643125,85.11,1.113908648,85.14,1.239032626
85.19,85.19,1.513695002,85.25,1.107805014,85.34,1.239032626
85.46,85.46,1.516746759,85.47,1.110856771,85.49,1.240558505
85.62,85.62,1.513695002,85.66,1.110856771,85.71,1.237506628
85.82,85.82,1.510643125,85.87,1.109330893,85.9,1.242084384
86.01,86.01,1.504539609,86.06,1.103227258,86.11,1.24666214
86.26,86.26,1.507591367,86.32,1.106279135,86.36,1.245136142
86.47,86.47,1.507591367,86.52,1.103227258,86.57,1.242084384
86.67,86.67,1.510643125,86.71,1.101701379,86.8,1.240558505
86.91,86.91,1.501487732,86.94,1.104753137,86.96,1.237506628
87.07,87.07,1.503013611,87.13,1.103227258,87.16,1.240558505
87.27,87.27,1.503013611,87.32,1.106279135,87.36,1.239032626
87.47,87.47,1.503013611,87.5,1.104753137,87.54,1.239032626
87.66,87.66,1.503013611,87.72,1.103227258,87.75,1.235980749
87.83,87.83,1.506065488,87.9,1.103227258,87.94,1.23445487
88.02,88.02,1.499961853,88.06,1.103227258,88.12,1.237506628
88.22,88.22,1.501487732,88.28,1.104753137,88.32,1.23445487
88.41,88.41,1.501487732,88.46,1.1001755,88.52,1.23445487
88.61,88.61,1.504539609,88.66,1.101701379,88.71,1.23445487
88.81,88.81,1.503013611,88.85,1.103227258,88.92,1.235980749
89.06,89.06,1.504539609,89.12,1.101701379,89.16,1.232928991
89.24,89.24,1.509117246,89.3,1.106279135,89.34,1.228351235
89.44,89.44,1.506065488,89.51,1.109330893,89.56,1.231403112
89.68,89.68,1.506065488,89.72,1.107805014,89.76,1.229877114
89.86,89.86,1.507591367,89.92,1.106279135,89.98,1.229877114
90.11,90.11,1.499961853,90.13,1.109330893,90.16,1.228351235
90.26,90.26,1.499961853,90.28,1.101701379,90.31,1.229877114
90.42,90.42,1.498435974,90.48,1.107805014,90.54,1.226825356
90.66,90.66,1.499961853,90.7,1.1001755,90.75,1.231403112
90.85,90.85,1.501487732,90.9,1.104753137,90.96,1.231403112
91.09,91.09,1.495384097,91.12,1.1001755,91.16,1.226825356
91.29,91.29,1.498435974,91.32,1.104753137,91.36,1.229877114
91.49,91.49,1.498435974,91.55,1.101701379,91.61,1.228351235
91.69,91.69,1.495384097,91.72,1.103227258,91.77,1.231403112
91.9,91.9,1.495384097,91.95,1.097123623,91.99,1.228351235
92.11,92.11,1.495384097,92.13,1.097123623,92.15,1.226825356
92.29,92.29,1.493858218,92.33,1.098649621,92.35,1.223773599
92.4,92.4,1.493858218,92.44,1.098649621,92.49,1.222247601
92.63,92.63,1.498435974,92.66,1.098649621,92.68,1.219195843
92.81,92.81,1.501487732,92.88,1.101701379,92.91,1.217669964
92.98,92.98,1.496910095,93.02,1.101701379,93.07,1.217669964
93.18,93.18,1.495384097,93.23,1.104753137,93.29,1.216144085
93.42,93.42,1.499961853,93.45,1.103227258,93.49,1.219195843
93.6,93.6,1.496910095,93.66,1.103227258,93.71,1.222247601
93.76,93.76,1.496910095,93.8,1.104753137,93.84,1.213092208
94.02,94.02,1.496910095,94.08,1.101701379,94.12,1.21004045
94.22,94.22,1.496910095,94.27,1.1001755,94.31,1.214618087
94.39,94.39,1.492332339,94.43,1.1001755,94.49,1.214618087
94.57,94.57,1.487754583,94.62,1.097123623,94.66,1.219195843
94.81,94.81,1.49080646,94.87,1.098649621,94.94,1.220721722
95.07,95.07,1.489280581,95.13,1.101701379,95.3,1.217669964
