timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQLiquidStg1
76.4,88.9,88.53,90,0
76.415,0,0,0,0
76.5,88.9,88.62,90,0
76.515,0,0,0,0
76.6,88.9,88.7,90,0
76.614,0,0,0,0
76.7,89.12,88.77,90,0
76.715,0,0,0,0
76.8,89.12,88.85,90,0
76.815,0,0,0,0
76.9,89.24,88.93,90,0
76.914,0,0,0,0
77,89.35,89.01,90,0
77.015,0,0,0,0
77.1,89.35,89.09,90,0
77.115,0,0,0,0
77.2,89.58,89.17,90,0
77.215,0,0,0,0
77.3,89.47,89.25,90,41.83
77.315,0,0,0,0
77.4,89.58,89.32,90,0
77.415,0,0,0,0
77.5,89.7,89.4,90,0
77.515,0,0,0,0
77.6,89.58,89.47,90,0
77.615,0,0,0,0
77.7,89.7,89.53,90,0
77.715,0,0,0,0
77.8,89.81,89.59,90,0
77.815,0,0,0,0
77.9,89.93,89.65,90,0
77.915,0,0,0,0
78,90.05,89.71,90,0
78.015,0,0,0,0
78.1,90.05,89.78,90,0
78.115,0,0,0,0
78.2,90.05,89.85,90,0
78.215,0,0,0,0
78.303,90.05,89.92,90,42.29
78.318,0,0,0,0
78.4,90.28,89.98,90,0
78.415,0,0,0,0
78.5,90.28,90.04,90,0
78.515,0,0,0,0
78.6,90.28,90.11,90,0
78.615,0,0,0,0
78.7,90.28,90.16,90,0
78.716,0,0,0,0
78.8,90.4,90.21,90,0
78.815,0,0,0,0
78.9,90.4,90.26,90,0
78.915,0,0,0,0
79,90.63,90.31,90,0
79.015,0,0,0,0
79.1,90.52,90.36,90,0
79.115,0,0,0,0
79.2,90.63,90.41,90,0
79.215,0,0,0,0
79.3,90.63,90.46,90,42.47
79.315,0,0,0,0
79.4,90.75,90.52,90,0
79.415,0,0,0,0
79.5,90.75,90.57,90,0
79.515,0,0,0,0
79.6,90.75,90.62,90,0
79.615,0,0,0,0
79.7,90.75,90.66,90,0
79.715,0,0,0,0
79.8,90.87,90.7,90,0
79.815,0,0,0,0
79.9,90.87,90.75,90,0
79.915,0,0,0,0
80,90.99,90.79,90,0
80.015,0,0,0,0
80.1,90.99,90.83,90,0
80.115,0,0,0,0
80.2,90.99,90.87,90,0
80.215,0,0,0,0
80.3,90.99,90.91,90,42.65
80.315,0,0,0,0
80.4,91.11,90.94,90,0
80.415,0,0,0,0
80.5,91.11,90.97,90,0
80.515,0,0,0,0
80.601,91.23,91.01,90,0
80.616,0,0,0,0
80.7,91.23,91.05,90,0
80.715,0,0,0,0
80.8,91.23,91.09,90,0
80.815,0,0,0,0
80.9,91.23,91.13,90,0
80.915,0,0,0,0
81,91.35,91.16,90,0
81.015,0,0,0,0
81.1,91.35,91.2,90,0
81.115,0,0,0,0
81.2,91.35,91.24,90,0
