timeSinceBootSeconds,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQStg1Liquid,dataQStg1Slug
632.866,68.43,68.43,30.0,60.0,,,,,,
633.016,68.49,68.49,30.0,60.0,,,,,,
633.166,68.59,68.59,30.0,60.0,,,,,,
633.316,68.67,68.67,30.0,60.0,,,,,,
633.466,68.77,68.77,30.0,60.0,,,,,,
633.616,68.85,68.85,30.0,60.0,,,,,,
633.766,68.94,68.94,30.0,60.0,,,,,,
633.916,69.04,69.04,30.0,60.0,,,,,,
634.089,69.12,69.12,30.0,60.0,,,,,,
634.238,69.24,69.24,30.0,60.0,,,,,,
634.388,69.35,69.35,30.0,60.0,,,,,,
634.538,69.43,69.43,30.0,60.0,,,,,,
634.688,69.52,69.52,30.0,60.0,,,,,,
634.838,69.61,69.61,30.0,60.0,,,,,,
634.988,69.7,69.7,30.0,60.0,,,,,,
635.138,69.8,69.8,30.0,60.0,,,,,,
635.288,69.9,69.9,30.0,60.0,,,,,,
635.438,70.01,70.01,30.0,60.0,,,,,,
635.588,70.11,70.11,30.0,60.0,,,,,,
635.738,70.22,70.22,30.0,60.0,,,,,,
635.888,70.32,70.32,30.0,60.0,,,,,,
636.039,70.41,70.41,30.0,60.0,,,,,,
636.188,70.5,70.5,30.0,60.0,,,,,,
636.338,70.6,70.6,30.0,60.0,,,,,,
636.488,70.71,70.71,30.0,60.0,,,,,,
636.638,70.8,70.8,30.0,60.0,,,,,,
636.788,70.9,70.9,30.0,60.0,,,,,,
636.938,71.0,71.0,30.0,60.0,,,,,,
637.088,71.11,71.11,30.0,60.0,,,,,,
637.238,71.19,71.19,30.0,60.0,,,,,,
637.388,71.3,71.3,30.0,60.0,,,,,,
637.538,71.38,71.38,30.0,60.0,,,,,,
637.688,71.49,71.49,30.0,60.0,,,,,,
637.838,71.58,71.58,30.0,60.0,,,,,,
637.988,71.69,71.69,30.0,60.0,,,,,,
638.138,71.8,71.8,30.0,60.0,,,,,,
638.288,71.93,71.93,30.0,60.0,,,,,,
638.438,72.03,72.03,30.0,60.0,,,,,,
638.588,72.11,72.11,30.0,60.0,,,,,,
638.738,72.19,72.19,30.0,60.0,,,,,,
638.888,72.29,72.29,30.0,60.0,,,,,,
639.038,72.38,72.38,30.0,60.0,,,,,,
639.188,72.5,72.5,30.0,60.0,,,,,,
639.338,72.59,72.59,30.0,60.0,,,,,,
639.488,72.7,72.7,30.0,60.0,,,,,,
639.638,72.8,72.8,30.0,60.0,,,,,,
639.788,72.91,72.91,30.0,60.0,,,,,,
639.938,73.0,73.0,30.0,60.0,,,,,,
640.088,73.1,73.1,30.0,60.0,,,,,,
640.238,73.2,73.2,30.0,60.0,,,,,,
640.388,73.3,73.3,30.0,60.0,,,,,,
640.538,73.41,73.41,30.0,60.0,,,,,,
640.688,73.52,73.52,30.0,60.0,,,,,,
