timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Alternate1 Thermocouple TempC
219.804,84.34,31.32,0,62,31.26,19.56,29.23
219.954,84.92,31.57,0,62,,19.55,
219.954,84.92,31.57,0,62,,19.55,
219.954,84.92,31.57,0,62,,19.55,
219.954,84.92,31.57,0,62,,19.55,
219.954,84.92,31.57,0,62,,19.55,
220.104,85.34,31.8,0,62,,19.53,
220.104,85.34,31.8,0,62,,19.53,
220.104,85.34,31.8,0,62,,19.53,
220.104,85.34,31.8,0,62,,19.53,
220.104,85.34,31.8,0,62,,19.53,
220.254,85.76,32.04,0,62,,19.52,
220.254,85.76,32.04,0,62,,19.52,
220.254,85.76,32.04,0,62,,19.52,
220.254,85.76,32.04,0,62,,19.52,
220.254,85.76,32.04,0,62,,19.52,
220.404,86.31,32.3,0,62,32.26,19.52,29.55
220.404,86.31,32.3,0,62,32.26,19.52,29.55
220.404,86.31,32.3,0,62,32.26,19.52,29.55
220.404,86.31,32.3,0,62,32.26,19.52,29.55
220.404,86.31,32.3,0,62,32.26,19.52,29.55
220.404,86.31,32.3,0,62,32.26,19.52,29.55
220.404,86.31,32.3,0,62,32.26,19.52,29.55
220.554,86.72,32.53,0,62,,19.52,
220.554,86.72,32.53,0,62,,19.52,
220.554,86.72,32.53,0,62,,19.52,
220.554,86.72,32.53,0,62,,19.52,
220.554,86.72,32.53,0,62,,19.52,
220.704,87.13,32.77,0,62,,19.51,
220.704,87.13,32.77,0,62,,19.51,
220.704,87.13,32.77,0,62,,19.51,
220.704,87.13,32.77,0,62,,19.51,
220.704,87.13,32.77,0,62,,19.51,
220.854,87.66,33.04,0,62,,19.5,
220.854,87.66,33.04,0,62,,19.5,
220.854,87.66,33.04,0,62,,19.5,
220.854,87.66,33.04,0,62,,19.5,
220.854,87.66,33.04,0,62,,19.5,
221.004,88.06,33.28,0,62,,19.5,
221.004,88.06,33.28,0,62,,19.5,
221.004,88.06,33.28,0,62,,19.5,
221.004,88.06,33.28,0,62,,19.5,
221.004,88.06,33.28,0,62,,19.5,
221.106,,,,,32.89,,29.82
221.106,,,,,32.89,,29.82
221.154,88.44,33.52,0,62,,19.5,
221.154,88.44,33.52,0,62,,19.5,
