timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,dataQStg1Slug
1715.556,58.93,58.93,50,60,,,,,,
1715.556,58.93,58.93,50,60,,,,,,
1715.556,58.93,58.93,50,60,,,,,,
1715.706,58.91,58.91,50,60,,,,,,
1715.706,58.91,58.91,50,60,,,,,,
1715.706,58.91,58.91,50,60,,,,,,
1715.706,58.91,58.91,50,60,,,,,,
1715.856,58.9,58.9,50,60,,,,,33,
1715.856,58.9,58.9,50,60,,,,,33,
1715.856,58.9,58.9,50,60,,,,,33,
1715.856,58.9,58.9,50,60,,,,,33,
1715.856,58.9,58.9,50,60,,,,,33,
1716.006,58.89,58.89,50,60,,,,,,
1716.006,58.89,58.89,50,60,,,,,,
1716.006,58.89,58.89,50,60,,,,,,
1716.006,58.89,58.89,50,60,,,,,,
1716.156,58.87,58.87,50,60,,,,,,
1716.156,58.87,58.87,50,60,,,,,,
1716.156,58.87,58.87,50,60,,,,,,
1716.156,58.87,58.87,50,60,,,,,,
1716.306,58.85,58.85,50,60,,,,,,
1716.306,58.85,58.85,50,60,,,,,,
1716.306,58.85,58.85,50,60,,,,,,
1716.306,58.85,58.85,50,60,,,,,,
1716.456,58.82,58.82,50,60,,,,,,
1716.456,58.82,58.82,50,60,,,,,,
1716.456,58.82,58.82,50,60,,,,,,
1716.456,58.82,58.82,50,60,,,,,,
1716.606,58.82,58.82,50,60,,,,,,
1716.606,58.82,58.82,50,60,,,,,,
1716.606,58.82,58.82,50,60,,,,,,
1716.606,58.82,58.82,50,60,,,,,,
1716.756,58.8,58.8,50,60,,,,,,
1716.756,58.8,58.8,50,60,,,,,,
1716.756,58.8,58.8,50,60,,,,,,
1716.756,58.8,58.8,50,60,,,,,,
1716.906,58.79,58.79,50,60,,,,,33.17,
1716.906,58.79,58.79,50,60,,,,,33.17,
1716.906,58.79,58.79,50,60,,,,,33.17,
1716.906,58.79,58.79,50,60,,,,,33.17,
1716.906,58.79,58.79,50,60,,,,,33.17,
1717.056,58.76,58.76,50,60,,,,,,
1717.056,58.76,58.76,50,60,,,,,,
1717.056,58.76,58.76,50,60,,,,,,
1717.056,58.76,58.76,50,60,,,,,,
1717.206,58.76,58.76,50,60,,,,,,
