(68167) heapMonitor_checkFreeHeapSize: New heap low water mark 115004
(164167) heapMonitor_checkFreeHeapSize: New heap low water mark 114908
[9]Set PCR TEC:  HEAT: True  POW: 100
(203665) RAW PELTIER: TC-1 = 40.3, HSTemp = 19.5, modeled = 28.6, rawRR C/s = 11.4, output = 100.0
(203715) RAW PELTIER: TC-1 = 40.9, HSTemp = 19.4, modeled = 29.0, rawRR C/s = 11.4, output = 100.0
(203766) RAW PELTIER: TC-1 = 41.5, HSTemp = 19.4, modeled = 29.3, rawRR C/s = 11.4, output = 100.0
(203820) RAW PELTIER: TC-1 = 42.1, HSTemp = 19.4, modeled = 29.7, rawRR C/s = 11.3, output = 100.0
(203871) RAW PELTIER: TC-1 = 42.7, HSTemp = 19.4, modeled = 30.0, rawRR C/s = 11.3, output = 100.0
(203916) RAW PELTIER: TC-1 = 42.7, HSTemp = 19.4, modeled = 30.3, rawRR C/s = 11.3, output = 100.0
(203966) RAW PELTIER: TC-1 = 43.3, HSTemp = 19.3, modeled = 30.7, rawRR C/s = 11.3, output = 100.0
(204015) RAW PELTIER: TC-1 = 43.9, HSTemp = 19.3, modeled = 31.0, rawRR C/s = 11.2, output = 100.0
(204067) RAW PELTIER: TC-1 = 44.5, HSTemp = 19.3, modeled = 31.3, rawRR C/s = 11.2, output = 100.0
(204116) RAW PELTIER: TC-1 = 45.1, HSTemp = 19.3, modeled = 31.7, rawRR C/s = 11.2, output = 100.0
(204166) RAW PELTIER: TC-1 = 45.7, HSTemp = 19.2, modeled = 32.0, rawRR C/s = 11.1, output = 100.0
(204216) RAW PELTIER: TC-1 = 46.3, HSTemp = 19.2, modeled = 32.4, rawRR C/s = 11.0, output = 100.0
(204267) RAW PELTIER: TC-1 = 46.8, HSTemp = 19.2, modeled = 32.7, rawRR C/s = 10.9, output = 100.0
(204316) RAW PELTIER: TC-1 = 47.4, HSTemp = 19.2, modeled = 33.1, rawRR C/s = 10.9, output = 100.0
(204366) RAW PELTIER: TC-1 = 48.0, HSTemp = 19.2, modeled = 33.4, rawRR C/s = 10.8, output = 100.0
(204415) RAW PELTIER: TC-1 = 48.6, HSTemp = 19.1, modeled = 33.8, rawRR C/s = 10.8, output = 100.0
(204467) RAW PELTIER: TC-1 = 49.1, HSTemp = 19.1, modeled = 34.2, rawRR C/s = 10.7, output = 100.0
(204516) RAW PELTIER: TC-1 = 49.7, HSTemp = 19.1, modeled = 34.5, rawRR C/s = 10.7, output = 100.0
(204567) RAW PELTIER: TC-1 = 50.3, HSTemp = 19.1, modeled = 34.9, rawRR C/s = 10.6, output = 100.0
(204617) RAW PELTIER: TC-1 = 50.8, HSTemp = 19.1, modeled = 35.3, rawRR C/s = 10.5, output = 100.0
(204669) RAW PELTIER: TC-1 = 51.4, HSTemp = 19.1, modeled = 35.6, rawRR C/s = 10.5, output = 100.0
(204721) RAW PELTIER: TC-1 = 51.9, HSTemp = 19.0, modeled = 36.0, rawRR C/s = 10.4, output = 100.0
