***PCR ON***
[161]PCR TEC set to 50°C
(5914843) _setPcrTecTempC: TEC Set Temp 50.000000
(5914844) _resetThermalControlState: RESET Peltier 1 control state
(5914848) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(5914855) _setThermalControlState: thermalControl-1: changing state 3->1
(5914862) tecCurvePredictorSetHoldPower: holdPower is NaN
(5914868) thermalControlSetEnable: Enabling Peltier 1
(5928037) TC: TC-1 = 87.75, modeled = 71.74, target = 50.00, heatSink = -85.78, output = -100.0, timeout = 13050, exptTempC = 50.00, TecRate = 2.686
(5928187) TC: TC-1 = 88.05, modeled = 72.14, target = 50.00, heatSink = -86.19, output = -100.0, timeout = 13200, exptTempC = 50.00, TecRate = 2.669
(5928336) TC: TC-1 = 88.32, modeled = 72.53, target = 50.00, heatSink = -86.50, output = -100.0, timeout = 13350, exptTempC = 50.00, TecRate = 2.619
(5928493) TC: TC-1 = 88.57, modeled = 72.92, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 13500, exptTempC = 50.00, TecRate = 2.572
(5928638) TC: TC-1 = 88.74, modeled = 73.29, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 13650, exptTempC = 50.00, TecRate = 2.471
(5928788) TC: TC-1 = 88.98, modeled = 73.66, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 13800, exptTempC = 50.00, TecRate = 2.442
(5928938) TC: TC-1 = 89.22, modeled = 74.02, target = 50.00, heatSink = -85.82, output = -100.0, timeout = 13950, exptTempC = 50.00, TecRate = 2.409
(5929088) TC: TC-1 = 89.46, modeled = 74.38, target = 50.00, heatSink = -86.24, output = -100.0, timeout = 14100, exptTempC = 50.00, TecRate = 2.384
(5929238) TC: TC-1 = 89.68, modeled = 74.73, target = 50.00, heatSink = -86.55, output = -100.0, timeout = 14250, exptTempC = 50.00, TecRate = 2.342
(5929395) TC: TC-1 = 89.88, modeled = 75.08, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 14400, exptTempC = 50.00, TecRate = 2.299
(5929542) TC: TC-1 = 90.03, modeled = 75.42, target = 50.00, heatSink = -86.66, output = -100.0, timeout = 14550, exptTempC = 50.00, TecRate = 2.222
(5929691) TC: TC-1 = 90.25, modeled = 75.75, target = 50.00, heatSink = -86.05, output = -100.0, timeout = 14700, exptTempC = 50.00, TecRate = 2.205
