***PCR ON***
(1235069) heapMonitor_checkFreeHeapSize: New heap low water mark 114864
[45]PCR TEC set to 50°C
(1235089) _setPcrTecTempC: TEC Set Temp 50.000000
(1235090) _resetThermalControlState: RESET Peltier 1 control state
(1235093) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(1235101) _setThermalControlState: thermalControl-1: changing state 3->1
(1235108) tecCurvePredictorSetHoldPower: holdPower is NaN
(1235114) thermalControlSetEnable: Enabling Peltier 1
(1248705) TC: TC-1 = 75.04, modeled = 60.17, target = 50.00, heatSink = -87.83, output = -100.0, timeout = 13300, exptTempC = 50.00, TecRate = 3.082
(1248856) TC: TC-1 = 75.48, modeled = 60.63, target = 50.00, heatSink = -87.42, output = -100.0, timeout = 13450, exptTempC = 50.00, TecRate = 3.062
(1249004) TC: TC-1 = 75.90, modeled = 61.09, target = 50.00, heatSink = -87.83, output = -100.0, timeout = 13600, exptTempC = 50.00, TecRate = 3.041
(1249155) TC: TC-1 = 76.31, modeled = 61.54, target = 50.00, heatSink = -87.49, output = -100.0, timeout = 13750, exptTempC = 50.00, TecRate = 3.002
(1249308) TC: TC-1 = 76.69, modeled = 61.99, target = 50.00, heatSink = -87.71, output = -100.0, timeout = 13900, exptTempC = 50.00, TecRate = 2.954
(1249461) TC: TC-1 = 76.95, modeled = 62.42, target = 50.00, heatSink = -87.92, output = -100.0, timeout = 14050, exptTempC = 50.00, TecRate = 2.833
(1249605) TC: TC-1 = 77.32, modeled = 62.84, target = 50.00, heatSink = -87.74, output = -100.0, timeout = 14200, exptTempC = 50.00, TecRate = 2.810
(1249755) TC: TC-1 = 77.69, modeled = 63.26, target = 50.00, heatSink = -87.45, output = -100.0, timeout = 14350, exptTempC = 50.00, TecRate = 2.791
(1249905) TC: TC-1 = 78.07, modeled = 63.68, target = 50.00, heatSink = -87.36, output = -100.0, timeout = 14500, exptTempC = 50.00, TecRate = 2.778
(1250055) TC: TC-1 = 78.43, modeled = 64.09, target = 50.00, heatSink = -87.74, output = -100.0, timeout = 14650, exptTempC = 50.00, TecRate = 2.754
(1250210) TC: TC-1 = 78.78, modeled = 64.50, target = 50.00, heatSink = -87.88, output = -100.0, timeout = 14800, exptTempC = 50.00, TecRate = 2.726
(1250356) TC: TC-1 = 79.01, modeled = 64.90, target = 50.00, heatSink = -87.92, output = -100.0, timeout = 14950, exptTempC = 50.00, TecRate = 2.614
(1250505) TC: TC-1 = 79.36, modeled = 65.29, target = 50.00, heatSink = -87.25, output = -100.0, timeout = 15100, exptTempC = 50.00, TecRate = 2.615
(1250656) TC: TC-1 = 79.70, modeled = 65.68, target = 50.00, heatSink = -87.46, output = -100.0, timeout = 15250, exptTempC = 50.00, TecRate = 2.598
(1250805) TC: TC-1 = 80.02, modeled = 66.07, target = 50.00, heatSink = -87.53, output = -100.0, timeout = 15400, exptTempC = 50.00, TecRate = 2.566
(1250957) TC: TC-1 = 80.33, modeled = 66.45, target = 50.00, heatSink = -87.74, output = -100.0, timeout = 15550, exptTempC = 50.00, TecRate = 2.542
(1251107) TC: TC-1 = 80.55, modeled = 66.82, target = 50.00, heatSink = -87.83, output = -100.0, timeout = 15700, exptTempC = 50.00, TecRate = 2.407
(1251257) TC: TC-1 = 80.85, modeled = 67.19, target = 50.00, heatSink = -87.54, output = -100.0, timeout = 15850, exptTempC = 50.00, TecRate = 2.434
(1251407) TC: TC-1 = 81.15, modeled = 67.55, target = 50.00, heatSink = -86.92, output = -100.0, timeout = 16000, exptTempC = 50.00, TecRate = 2.421
(1251557) TC: TC-1 = 81.43, modeled = 67.91, target = 50.00, heatSink = -87.83, output = -100.0, timeout = 16150, exptTempC = 50.00, TecRate = 2.390
(1251707) TC: TC-1 = 81.71, modeled = 68.27, target = 50.00, heatSink = -87.49, output = -100.0, timeout = 16300, exptTempC = 50.00, TecRate = 2.366
(1251863) TC: TC-1 = 81.98, modeled = 68.62, target = 50.00, heatSink = -87.83, output = -100.0, timeout = 16450, exptTempC = 50.00, TecRate = 2.333
(1252008) TC: TC-1 = 82.16, modeled = 68.96, target = 50.00, heatSink = -87.58, output = -100.0, timeout = 16600, exptTempC = 50.00, TecRate = 2.256
(1252160) TC: TC-1 = 82.44, modeled = 69.30, target = 50.00, heatSink = -87.20, output = -100.0, timeout = 16750, exptTempC = 50.00, TecRate = 2.254
(1252309) TC: TC-1 = 82.70, modeled = 69.63, target = 50.00, heatSink = -87.53, output = -100.0, timeout = 16900, exptTempC = 50.00, TecRate = 2.231
(1252458) TC: TC-1 = 82.96, modeled = 69.97, target = 50.00, heatSink = -87.79, output = -100.0, timeout = 17050, exptTempC = 50.00, TecRate = 2.215
(1252611) TC: TC-1 = 83.20, modeled = 70.29, target = 50.00, heatSink = -87.83, output = -100.0, timeout = 17200, exptTempC = 50.00, TecRate = 2.188
(1252760) TC: TC-1 = 83.36, modeled = 70.61, target = 50.00, heatSink = -87.87, output = -100.0, timeout = 17350, exptTempC = 50.00, TecRate = 2.100
(1252912) TC: TC-1 = 83.60, modeled = 70.93, target = 50.00, heatSink = -87.66, output = -100.0, timeout = 17500, exptTempC = 50.00, TecRate = 2.090
(1253062) TC: TC-1 = 83.83, modeled = 71.24, target = 50.00, heatSink = -87.24, output = -100.0, timeout = 17650, exptTempC = 50.00, TecRate = 2.076
(1253212) TC: TC-1 = 84.07, modeled = 71.55, target = 50.00, heatSink = -87.83, output = -100.0, timeout = 17800, exptTempC = 50.00, TecRate = 2.067
(1253362) TC: TC-1 = 84.29, modeled = 71.86, target = 50.00, heatSink = -88.01, output = -100.0, timeout = 17950, exptTempC = 50.00, TecRate = 2.041
(1253518) TC: TC-1 = 84.51, modeled = 72.16, target = 50.00, heatSink = -87.83, output = -100.0, timeout = 18100, exptTempC = 50.00, TecRate = 2.018
(1253670) TC: TC-1 = 84.65, modeled = 72.45, target = 50.00, heatSink = -87.74, output = -100.0, timeout = 18250, exptTempC = 50.00, TecRate = 1.943
(1253813) TC: TC-1 = 84.87, modeled = 72.74, target = 50.00, heatSink = -87.61, output = -100.0, timeout = 18400, exptTempC = 50.00, TecRate = 1.942
(1253964) TC: TC-1 = 85.07, modeled = 73.03, target = 50.00, heatSink = -87.57, output = -100.0, timeout = 18550, exptTempC = 50.00, TecRate = 1.917
(1254114) TC: TC-1 = 85.26, modeled = 73.32, target = 50.00, heatSink = -87.92, output = -100.0, timeout = 18700, exptTempC = 50.00, TecRate = 1.888
(1254264) TC: TC-1 = 85.47, modeled = 73.60, target = 50.00, heatSink = -87.62, output = -100.0, timeout = 18850, exptTempC = 50.00, TecRate = 1.881
(1254419) TC: TC-1 = 85.65, modeled = 73.88, target = 50.00, heatSink = -87.75, output = -100.0, timeout = 19000, exptTempC = 50.00, TecRate = 1.849
(1254565) TC: TC-1 = 85.78, modeled = 74.15, target = 50.00, heatSink = -87.88, output = -100.0, timeout = 19150, exptTempC = 50.00, TecRate = 1.791
(1254714) TC: TC-1 = 85.97, modeled = 74.42, target = 50.00, heatSink = -87.53, output = -100.0, timeout = 19300, exptTempC = 50.00, TecRate = 1.784
(1254865) TC: TC-1 = 86.17, modeled = 74.68, target = 50.00, heatSink = -87.40, output = -100.0, timeout = 19450, exptTempC = 50.00, TecRate = 1.777
(1255015) TC: TC-1 = 86.35, modeled = 74.95, target = 50.00, heatSink = -87.88, output = -100.0, timeout = 19600, exptTempC = 50.00, TecRate = 1.762
(1255166) TC: TC-1 = 86.53, modeled = 75.21, target = 50.00, heatSink = -87.58, output = -100.0, timeout = 19750, exptTempC = 50.00, TecRate = 1.747
(1255321) TC: TC-1 = 86.65, modeled = 75.47, target = 50.00, heatSink = -87.54, output = -100.0, timeout = 19900, exptTempC = 50.00, TecRate = 1.660
(1255466) TC: TC-1 = 86.83, modeled = 75.72, target = 50.00, heatSink = -87.57, output = -100.0, timeout = 20050, exptTempC = 50.00, TecRate = 1.676
