***Stage1 ON***
[77]TC TEC set to 50°C
(3092529) _setStage1TecTempC: TEC Set Temp 50.000000
(3092530) _resetThermalControlState: RESET Peltier 0 control state
(3092534) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(3092541) _setThermalControlState: thermalControl-0: changing state 3->1
(3092549) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(3092556) thermalControlSetEnable: Enabling Peltier 0
(3113101) TC: TC-1 = 99.04, modeled = 81.45, target = 50.00, heatSink = -86.70, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.228
(3113255) TC: TC-1 = 99.14, modeled = 81.78, target = 50.00, heatSink = -86.55, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.180
(3113404) TC: TC-1 = 99.20, modeled = 82.10, target = 50.00, heatSink = -86.63, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.097
(3113555) TC: TC-1 = 99.31, modeled = 82.42, target = 50.00, heatSink = -86.71, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.083
(3113705) TC: TC-1 = 99.40, modeled = 82.73, target = 50.00, heatSink = -85.97, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.046
(3113855) TC: TC-1 = 99.49, modeled = 83.03, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.006
(3114005) TC: TC-1 = 99.57, modeled = 83.32, target = 50.00, heatSink = -86.86, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.962
(3114161) TC: TC-1 = 99.65, modeled = 83.62, target = 50.00, heatSink = -86.91, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.928
(3114307) TC: TC-1 = 99.71, modeled = 83.90, target = 50.00, heatSink = -86.67, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.877
(3114457) TC: TC-1 = 99.78, modeled = 84.18, target = 50.00, heatSink = -85.89, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.840
(3114608) TC: TC-1 = 99.84, modeled = 84.45, target = 50.00, heatSink = -86.47, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.803
(3114758) TC: TC-1 = 99.91, modeled = 84.72, target = 50.00, heatSink = -86.66, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.769
(3114909) TC: TC-1 = 99.96, modeled = 84.98, target = 50.00, heatSink = -86.55, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.739
(3115072) TC: TC-1 = 100.02, modeled = 85.24, target = 50.00, heatSink = -86.90, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.704
(3115223) TC: TC-1 = 100.06, modeled = 85.48, target = 50.00, heatSink = -86.62, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.662
(3115366) TC: TC-1 = 100.11, modeled = 85.73, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.631
(3115520) TC: TC-1 = 100.17, modeled = 85.97, target = 50.00, heatSink = -85.97, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.604
(3115670) TC: TC-1 = 100.22, modeled = 86.21, target = 50.00, heatSink = -86.24, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.582
(3115821) TC: TC-1 = 100.28, modeled = 86.45, target = 50.00, heatSink = -86.66, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.563
(3115975) TC: TC-1 = 100.31, modeled = 86.68, target = 50.00, heatSink = -86.67, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.518
(3116120) TC: TC-1 = 100.37, modeled = 86.90, target = 50.00, heatSink = -85.79, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.499
(3116270) TC: TC-1 = 100.40, modeled = 87.12, target = 50.00, heatSink = -85.78, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.460
(3116421) TC: TC-1 = 100.45, modeled = 87.34, target = 50.00, heatSink = -86.04, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.443
(3116571) TC: TC-1 = 100.49, modeled = 87.56, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.418
(3116726) TC: TC-1 = 100.53, modeled = 87.77, target = 50.00, heatSink = -86.70, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.397
(3116877) TC: TC-1 = 100.57, modeled = 87.97, target = 50.00, heatSink = -86.70, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.377
(3117021) TC: TC-1 = 100.62, modeled = 88.18, target = 50.00, heatSink = -86.31, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.354
(3117172) TC: TC-1 = 100.64, modeled = 88.38, target = 50.00, heatSink = -86.12, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.319
(3117322) TC: TC-1 = 100.69, modeled = 88.57, target = 50.00, heatSink = -86.31, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.311
(3117477) TC: TC-1 = 100.73, modeled = 88.77, target = 50.00, heatSink = -86.47, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.292
***PCR OFF***
(3117628) TC: TC-1 = 100.76, modeled = 88.96, target = 50.00, heatSink = -86.66, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.263
[80]PCR TEC Turned Off
(3117644) _deviceLogsSetPCR: Adding Time 19628
