***PCR ON***
[41]PCR TEC set to 50°C
(96141) _setPcrTecTempC: TEC Set Temp 50.000000
(96142) _resetThermalControlState: RESET Peltier 1 control state
(96145) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(96152) _setThermalControlState: thermalControl-1: changing state 3->1
(96159) tecCurvePredictorSetHoldPower: holdPower is NaN
(96165) thermalControlSetEnable: Enabling Peltier 1
(106592) TC: TC-1 = 81.50, modeled = 58.68, target = 50.00, heatSink = -85.68, output = -100.0, timeout = 10350, exptTempC = 50.00, TecRate = 5.859
(106742) TC: TC-1 = 82.30, modeled = 59.54, target = 50.00, heatSink = -85.89, output = -100.0, timeout = 10500, exptTempC = 50.00, TecRate = 5.705
(106896) TC: TC-1 = 83.08, modeled = 60.38, target = 50.00, heatSink = -86.08, output = -100.0, timeout = 10650, exptTempC = 50.00, TecRate = 5.558
(107042) TC: TC-1 = 83.56, modeled = 61.18, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 10800, exptTempC = 50.00, TecRate = 5.226
(107192) TC: TC-1 = 84.26, modeled = 61.95, target = 50.00, heatSink = -85.79, output = -100.0, timeout = 10950, exptTempC = 50.00, TecRate = 5.110
(107343) TC: TC-1 = 84.90, modeled = 62.70, target = 50.00, heatSink = -85.64, output = -100.0, timeout = 11100, exptTempC = 50.00, TecRate = 4.972
(107493) TC: TC-1 = 85.52, modeled = 63.44, target = 50.00, heatSink = -86.04, output = -100.0, timeout = 11250, exptTempC = 50.00, TecRate = 4.846
(107644) TC: TC-1 = 86.11, modeled = 64.15, target = 50.00, heatSink = -86.08, output = -100.0, timeout = 11400, exptTempC = 50.00, TecRate = 4.720
(107794) TC: TC-1 = 86.48, modeled = 64.84, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 11550, exptTempC = 50.00, TecRate = 4.379
(107944) TC: TC-1 = 87.04, modeled = 65.50, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 11700, exptTempC = 50.00, TecRate = 4.381
(108094) TC: TC-1 = 87.56, modeled = 66.15, target = 50.00, heatSink = -85.57, output = -100.0, timeout = 11850, exptTempC = 50.00, TecRate = 4.286
(108244) TC: TC-1 = 88.04, modeled = 66.78, target = 50.00, heatSink = -86.01, output = -100.0, timeout = 12000, exptTempC = 50.00, TecRate = 4.187
(108394) TC: TC-1 = 88.52, modeled = 67.40, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 12150, exptTempC = 50.00, TecRate = 4.097
(108552) TC: TC-1 = 88.96, modeled = 68.00, target = 50.00, heatSink = -86.08, output = -100.0, timeout = 12300, exptTempC = 50.00, TecRate = 4.000
(108698) TC: TC-1 = 89.25, modeled = 68.58, target = 50.00, heatSink = -86.04, output = -100.0, timeout = 12450, exptTempC = 50.00, TecRate = 3.801
(108847) TC: TC-1 = 89.67, modeled = 69.14, target = 50.00, heatSink = -85.86, output = -100.0, timeout = 12600, exptTempC = 50.00, TecRate = 3.740
(108998) TC: TC-1 = 90.05, modeled = 69.70, target = 50.00, heatSink = -85.76, output = -100.0, timeout = 12750, exptTempC = 50.00, TecRate = 3.645
(109148) TC: TC-1 = 90.39, modeled = 70.23, target = 50.00, heatSink = -85.84, output = -100.0, timeout = 12900, exptTempC = 50.00, TecRate = 3.553
(109300) TC: TC-1 = 90.74, modeled = 70.76, target = 50.00, heatSink = -86.20, output = -100.0, timeout = 13050, exptTempC = 50.00, TecRate = 3.472
(109456) TC: TC-1 = 91.09, modeled = 71.27, target = 50.00, heatSink = -86.08, output = -100.0, timeout = 13200, exptTempC = 50.00, TecRate = 3.416
(109600) TC: TC-1 = 91.31, modeled = 71.76, target = 50.00, heatSink = -86.01, output = -100.0, timeout = 13350, exptTempC = 50.00, TecRate = 3.267
(109753) TC: TC-1 = 91.63, modeled = 72.25, target = 50.00, heatSink = -85.64, output = -100.0, timeout = 13500, exptTempC = 50.00, TecRate = 3.208
(109900) TC: TC-1 = 91.92, modeled = 72.72, target = 50.00, heatSink = -85.86, output = -100.0, timeout = 13650, exptTempC = 50.00, TecRate = 3.142
(110051) TC: TC-1 = 92.19, modeled = 73.19, target = 50.00, heatSink = -86.08, output = -100.0, timeout = 13800, exptTempC = 50.00, TecRate = 3.070
(110206) TC: TC-1 = 92.47, modeled = 73.64, target = 50.00, heatSink = -86.08, output = -100.0, timeout = 13950, exptTempC = 50.00, TecRate = 3.020
(110352) TC: TC-1 = 92.65, modeled = 74.08, target = 50.00, heatSink = -85.90, output = -100.0, timeout = 14100, exptTempC = 50.00, TecRate = 2.896
(110501) TC: TC-1 = 92.91, modeled = 74.51, target = 50.00, heatSink = -85.43, output = -100.0, timeout = 14250, exptTempC = 50.00, TecRate = 2.851
(110652) TC: TC-1 = 93.13, modeled = 74.93, target = 50.00, heatSink = -85.75, output = -100.0, timeout = 14400, exptTempC = 50.00, TecRate = 2.784
(110802) TC: TC-1 = 93.35, modeled = 75.34, target = 50.00, heatSink = -86.04, output = -100.0, timeout = 14550, exptTempC = 50.00, TecRate = 2.724
(110953) TC: TC-1 = 93.56, modeled = 75.75, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 14700, exptTempC = 50.00, TecRate = 2.670
(111102) TC: TC-1 = 93.70, modeled = 76.14, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 14850, exptTempC = 50.00, TecRate = 2.537
(111252) TC: TC-1 = 93.90, modeled = 76.52, target = 50.00, heatSink = -86.01, output = -100.0, timeout = 15000, exptTempC = 50.00, TecRate = 2.523
