(8103693) systemRequestStateChange: System State Transition WARNING -> ERROR
(8103693) blePeriphNotifySubscription: ENTER NOTIFY
(8103696) systemRequestStateChange: Notify exit state change
***PCR ON***
[191]PCR TEC set to 50°C
(8112154) _setPcrTecTempC: TEC Set Temp 50.000000
(8112155) _resetThermalControlState: RESET Peltier 1 control state
(8112159) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(8112166) _setThermalControlState: thermalControl-1: changing state 3->1
(8112173) tecCurvePredictorSetHoldPower: holdPower is NaN
(8112179) thermalControlSetEnable: Enabling Peltier 1
(8119346) TC: TC-1 = 84.58, modeled = 57.87, target = 50.00, heatSink = -86.24, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 7.764
(8119500) TC: TC-1 = 85.59, modeled = 59.00, target = 50.00, heatSink = -86.27, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 7.440
(8119650) TC: TC-1 = 86.23, modeled = 60.06, target = 50.00, heatSink = -86.31, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 6.918
(8119799) TC: TC-1 = 87.14, modeled = 61.07, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 6.691
(8119949) TC: TC-1 = 87.99, modeled = 62.05, target = 50.00, heatSink = -86.05, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 6.453
(8120100) TC: TC-1 = 88.77, modeled = 63.00, target = 50.00, heatSink = -86.35, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 6.212
(8120249) TC: TC-1 = 89.48, modeled = 63.90, target = 50.00, heatSink = -86.19, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 5.969
(8120406) TC: TC-1 = 89.93, modeled = 64.76, target = 50.00, heatSink = -86.19, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 5.485
(8120550) TC: TC-1 = 90.60, modeled = 65.58, target = 50.00, heatSink = -85.97, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 5.430
(8120701) TC: TC-1 = 91.23, modeled = 66.38, target = 50.00, heatSink = -85.90, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 5.272
(8120851) TC: TC-1 = 91.79, modeled = 67.16, target = 50.00, heatSink = -86.09, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 5.085
(8121001) TC: TC-1 = 92.28, modeled = 67.90, target = 50.00, heatSink = -86.23, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 4.885
(8121157) TC: TC-1 = 92.73, modeled = 68.61, target = 50.00, heatSink = -86.27, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 4.696
(8121304) TC: TC-1 = 93.03, modeled = 69.29, target = 50.00, heatSink = -86.35, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 4.431
(8121454) TC: TC-1 = 93.46, modeled = 69.94, target = 50.00, heatSink = -85.97, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 4.310
(8121604) TC: TC-1 = 93.86, modeled = 70.57, target = 50.00, heatSink = -86.01, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 4.180
(8121754) TC: TC-1 = 94.24, modeled = 71.19, target = 50.00, heatSink = -86.27, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 4.053
(8121906) TC: TC-1 = 94.59, modeled = 71.78, target = 50.00, heatSink = -86.35, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 3.935
(8122061) TC: TC-1 = 94.81, modeled = 72.35, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 3.690
(8122205) TC: TC-1 = 95.13, modeled = 72.91, target = 50.00, heatSink = -86.35, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 3.644
(8122356) TC: TC-1 = 95.42, modeled = 73.44, target = 50.00, heatSink = -85.83, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 3.542
(8122506) TC: TC-1 = 95.70, modeled = 73.96, target = 50.00, heatSink = -85.97, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 3.452
(8122655) TC: TC-1 = 95.96, modeled = 74.47, target = 50.00, heatSink = -86.23, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 3.356
(8122809) TC: TC-1 = 96.21, modeled = 74.97, target = 50.00, heatSink = -86.13, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 3.265
(8122965) TC: TC-1 = 96.36, modeled = 75.44, target = 50.00, heatSink = -86.16, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 3.089
(8123108) TC: TC-1 = 96.58, modeled = 75.90, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 3.046
(8123260) TC: TC-1 = 96.78, modeled = 76.35, target = 50.00, heatSink = -85.79, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.974
(8123409) TC: TC-1 = 96.99, modeled = 76.79, target = 50.00, heatSink = -86.08, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.917
(8123560) TC: TC-1 = 97.17, modeled = 77.22, target = 50.00, heatSink = -86.27, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.841
(8123715) TC: TC-1 = 97.35, modeled = 77.64, target = 50.00, heatSink = -86.35, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.778
(8123863) TC: TC-1 = 97.47, modeled = 78.05, target = 50.00, heatSink = -86.31, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.676
(8124010) TC: TC-1 = 97.64, modeled = 78.44, target = 50.00, heatSink = -85.97, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.629
(8124161) TC: TC-1 = 97.78, modeled = 78.83, target = 50.00, heatSink = -85.86, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.561
(8124310) TC: TC-1 = 97.93, modeled = 79.21, target = 50.00, heatSink = -86.31, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.510
(8124464) TC: TC-1 = 98.05, modeled = 79.58, target = 50.00, heatSink = -86.09, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.439
(8124620) TC: TC-1 = 98.13, modeled = 79.94, target = 50.00, heatSink = -86.31, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.337
(8124763) TC: TC-1 = 98.26, modeled = 80.29, target = 50.00, heatSink = -86.27, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.319
(8124914) TC: TC-1 = 98.39, modeled = 80.63, target = 50.00, heatSink = -85.82, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.283
(8125063) TC: TC-1 = 98.51, modeled = 80.97, target = 50.00, heatSink = -86.12, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.242
(8125214) TC: TC-1 = 98.63, modeled = 81.30, target = 50.00, heatSink = -86.31, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.204
(8125370) TC: TC-1 = 98.73, modeled = 81.63, target = 50.00, heatSink = -86.31, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.153
(8125519) TC: TC-1 = 98.79, modeled = 81.94, target = 50.00, heatSink = -86.35, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.078
(8125670) TC: TC-1 = 98.89, modeled = 82.25, target = 50.00, heatSink = -85.68, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.046
(8125819) TC: TC-1 = 98.97, modeled = 82.56, target = 50.00, heatSink = -85.57, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.000
(8125969) TC: TC-1 = 99.07, modeled = 82.85, target = 50.00, heatSink = -85.97, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.977
(8126120) TC: TC-1 = 99.16, modeled = 83.15, target = 50.00, heatSink = -86.35, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.941
(8126275) TC: TC-1 = 99.23, modeled = 83.44, target = 50.00, heatSink = -86.31, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.898
(8126422) TC: TC-1 = 99.29, modeled = 83.71, target = 50.00, heatSink = -86.31, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.849
(8126571) TC: TC-1 = 99.36, modeled = 83.99, target = 50.00, heatSink = -85.90, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.812
(8126722) TC: TC-1 = 99.44, modeled = 84.26, target = 50.00, heatSink = -85.53, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.793
(8126872) TC: TC-1 = 99.50, modeled = 84.52, target = 50.00, heatSink = -86.20, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.757
(8127022) TC: TC-1 = 99.59, modeled = 84.79, target = 50.00, heatSink = -86.16, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.742
(8127177) TC: TC-1 = 99.65, modeled = 85.04, target = 50.00, heatSink = -86.01, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.704
(8127323) TC: TC-1 = 99.68, modeled = 85.29, target = 50.00, heatSink = -86.05, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.649
(8127474) TC: TC-1 = 99.75, modeled = 85.54, target = 50.00, heatSink = -85.47, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.635
(8127624) TC: TC-1 = 99.81, modeled = 85.78, target = 50.00, heatSink = -86.08, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.602
(8127774) TC: TC-1 = 99.85, modeled = 86.02, target = 50.00, heatSink = -86.54, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.568
(8127925) TC: TC-1 = 99.91, modeled = 86.25, target = 50.00, heatSink = -86.09, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.550
(8128079) TC: TC-1 = 99.96, modeled = 86.48, target = 50.00, heatSink = -85.86, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.520
(8128234) TC: TC-1 = 99.99, modeled = 86.70, target = 50.00, heatSink = -86.19, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.473
(8128391) TC: TC-1 = 100.04, modeled = 86.92, target = 50.00, heatSink = -86.05, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.454
(8128536) TC: TC-1 = 100.10, modeled = 87.14, target = 50.00, heatSink = -85.53, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.443
(8128688) TC: TC-1 = 100.16, modeled = 87.36, target = 50.00, heatSink = -85.57, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.432
(8128838) TC: TC-1 = 100.19, modeled = 87.57, target = 50.00, heatSink = -85.71, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 1.390
