,Activation,Heat Kill,Ramp Rate
270,,89.86,
271,,89.87,
272,,89.93,
273,,89.83,
274,,89.9,
275,,89.88,
276,,89.84,
277,,89.85,
278,,89.86,
279,,89.85,
280,,89.93,
281,,89.86,
282,,89.85,
283,,89.86,
284,,89.84,
285,,89.86,
286,,89.87,
287,,89.87,
288,,89.84,
289,,89.83,
290,,89.92,
291,,89.87,
292,,89.84,
293,,89.87,
294,,89.87,
295,,89.94,
296,,89.87,
297,,89.84,
298,,89.87,
299,,89.86,
300,,89.89,
301,,89.88,
302,,89.86,
303,,89.95,
304,,89.93,
305,,89.95,
306,,89.92,
307,,89.87,
308,,89.87,
309,,89.85,
310,,89.89,
311,,89.94,
312,,89.89,
313,,89.93,
314,,89.85,
315,,89.88,
316,,89.86,
317,,89.95,
318,,89.89,
319,,89.89,
320,,89.88,
321,,89.88,
322,,89.96,
323,,89.87,
324,,89.89,
325,,89.95,
326,,89.88,
327,,89.88,
328,,89.91,
329,,89.97,
330,,89.9,
331,,89.87,
332,,89.89,
333,,89.9,
334,,89.88,
335,,89.96,
336,,89.86,
337,,89.93,
338,,89.9,
339,,89.98,
340,,89.88,
341,,89.9,
342,,89.91,
343,,89.91,
344,,89.87,
345,,89.88,
346,,89.9,
347,,89.89,
348,,89.87,
349,,89.95,
350,,89.9,
351,,89.87,
352,,89.97,
353,,89.89,
354,,89.91,
355,,89.88,
356,,89.97,
357,,89.86,
358,,89.98,
359,,89.87,
360,,89.9,
361,,89.89,
362,,89.93,
363,,89.87,
364,,89.96,
365,,89.95,
366,,89.87,
367,,89.87,
368,,89.98,
369,,89.94,
370,,89.96,
371,,89.88,
372,,89.91,
373,,89.87,
374,,89.88,
375,,89.89,
376,,89.88,
377,,89.94,
378,,89.97,
379,,89.91,
380,,89.88,
381,,89.9,
382,,89.98,
383,,89.9,
384,,89.88,
385,,89.91,
386,,89.87,
387,,89.89,
388,,89.87,
389,,89.97,
390,,89.93,
391,,89.89,
392,,89.92,
393,,89.98,
394,,89.9,
395,,89.9,
396,,89.89,
397,,89.92,
398,,89.9,
399,,89.91,
400,,89.94,
401,,89.91,
402,,89.98,
403,,89.87,
404,,89.98,
405,,89.88,
406,,89.91,
407,,89.87,
408,,90.02,
409,,89.9,
410,,89.92,
411,,89.99,
412,,89.92,
413,,89.99,
414,,89.92,
415,,89.98,
416,,89.92,
417,,89.92,
418,,89.91,
419,,89.94,
420,,89.94,
421,,89.95,
422,,89.92,
423,,89.93,
424,,90.01,
425,,89.96,
426,,90.03,
427,,89.92,
428,,90.02,
429,,89.97,
430,,89.95,
431,,89.99,
432,,89.96,
433,,89.94,
434,,90.03,
435,,89.97,
436,,90.0,
437,,89.98,
438,,90.02,
439,,89.96,
440,,89.92,
441,,89.97,
442,,89.95,
443,,89.96,
444,,89.98,
445,,89.94,
446,,89.95,
447,,89.95,
448,,89.98,
449,,89.96,
450,,89.97,
451,,89.95,
452,,89.96,
453,,89.97,
454,,89.99,
455,,90.04,
456,,90.0,
457,,89.98,
458,,90.05,
459,,90.04,
460,,89.99,
461,,89.99,
462,,90.0,
463,,89.99,
464,,90.06,
465,,89.97,
466,,89.98,
467,,90.05,
468,,90.05,
469,,90.04,
470,,90.04,
471,,90.07,
472,,90.05,
473,,89.97,
474,,90.04,
475,,90.07,
476,,90.06,
477,,90.01,
478,,89.97,
479,,90.05,
480,,89.98,
481,,90.05,
482,,90.08,
483,,89.97,
484,,90.07,
485,,90.04,
486,,89.98,
487,,90.04,
488,,90.07,
489,,89.99,
490,,89.98,
491,,90.08,
492,,90.0,
493,,90.07,
494,,90.08,
495,,90.0,
496,,90.07,
497,,89.99,
498,,90.0,
499,,90.06,
500,,90.09,
501,,89.99,
502,,90.04,
503,,90.01,
504,,90.04,
505,,90.02,
506,,90.0,
