,Activation,Heat Kill,Ramp Rate
381,,88.53,
382,,88.54,
383,,88.46,
384,,88.55,
385,,88.53,
386,,88.55,
387,,88.53,
388,,88.55,
389,,88.56,
390,,88.54,
391,,88.51,
392,,88.49,
393,,88.51,
394,,88.57,
395,,88.57,
396,,88.57,
397,,88.57,
398,,88.53,
399,,88.6,
400,,88.5,
401,,88.6,
402,,88.53,
403,,88.51,
404,,88.61,
405,,88.52,
406,,88.51,
407,,88.6,
408,,88.58,
409,,88.63,
410,,88.61,
411,,88.55,
412,,88.53,
413,,88.63,
414,,88.62,
415,,88.6,
416,,88.63,
417,,88.63,
418,,88.63,
419,,88.56,
420,,88.6,
421,,88.63,
422,,88.57,
423,,88.62,
424,,88.72,
425,,88.57,
426,,88.68,
427,,88.59,
428,,88.57,
429,,88.66,
430,,88.6,
431,,88.58,
432,,88.57,
433,,88.65,
434,,88.57,
435,,88.63,
436,,88.67,
437,,88.61,
438,,88.61,
439,,88.65,
440,,88.68,
441,,88.61,
442,,88.62,
443,,88.67,
444,,88.6,
445,,88.61,
446,,88.6,
447,,88.63,
448,,88.61,
449,,88.61,
450,,88.64,
451,,88.63,
452,,88.65,
453,,88.65,
454,,88.65,
455,,88.63,
456,,88.64,
457,,88.71,
458,,88.69,
459,,88.75,
460,,88.68,
461,,88.6,
462,,88.69,
463,,88.7,
464,,88.68,
465,,88.66,
466,,88.72,
467,,88.74,
468,,88.68,
469,,88.73,
470,,88.65,
471,,88.67,
472,,88.71,
473,,88.65,
474,,88.71,
475,,88.65,
476,,88.72,
477,,88.72,
478,,88.75,
479,,88.72,
480,,88.76,
481,,88.74,
482,,88.76,
483,,88.76,
484,,88.73,
485,,88.68,
486,,88.75,
487,,88.75,
488,,88.7,
489,,88.71,
490,,88.72,
491,,88.69,
492,,88.76,
493,,88.7,
494,,88.69,
495,,88.7,
496,,88.69,
497,,88.71,
498,,88.69,
499,,88.68,
500,,88.69,
501,,88.76,
502,,88.68,
