,Activation,Heat Kill,Ramp Rate
282,,91.19,
283,,91.19,
284,,91.28,
285,,91.17,
286,,91.22,
287,,91.26,
288,,91.25,
289,,91.23,
290,,91.28,
291,,91.19,
292,,91.23,
293,,91.27,
294,,91.23,
295,,91.29,
296,,91.2,
297,,91.26,
298,,91.19,
299,,91.28,
300,,91.28,
301,,91.25,
302,,91.26,
303,,91.17,
304,,91.32,
305,,91.22,
306,,91.28,
307,,91.3,
308,,91.24,
309,,91.32,
310,,91.31,
311,,91.36,
312,,91.27,
313,,91.28,
314,,91.27,
315,,91.28,
316,,91.28,
317,,91.25,
318,,91.28,
319,,91.34,
320,,91.34,
321,,91.3,
322,,91.3,
323,,91.28,
324,,91.36,
325,,91.38,
326,,91.37,
327,,91.33,
328,,91.28,
329,,91.42,
330,,91.32,
331,,91.32,
332,,91.33,
333,,91.4,
334,,91.39,
335,,91.39,
336,,91.32,
337,,91.33,
338,,91.33,
339,,91.34,
340,,91.34,
341,,91.39,
342,,91.33,
343,,91.35,
344,,91.31,
345,,91.42,
346,,91.4,
347,,91.37,
348,,91.35,
349,,91.38,
350,,91.45,
351,,91.32,
352,,91.37,
353,,91.39,
354,,91.38,
355,,91.45,
356,,91.34,
357,,91.38,
358,,91.38,
359,,91.37,
360,,91.39,
361,,91.39,
362,,91.39,
363,,91.45,
364,,91.38,
365,,91.47,
366,,91.31,
367,,91.39,
368,,91.39,
369,,91.48,
370,,91.4,
371,,91.46,
372,,91.39,
373,,91.36,
374,,91.45,
375,,91.39,
376,,91.44,
377,,91.41,
378,,91.37,
379,,91.39,
380,,91.41,
381,,91.5,
382,,91.47,
383,,91.43,
384,,91.5,
385,,91.42,
386,,91.39,
387,,91.43,
388,,91.46,
389,,91.46,
390,,91.44,
391,,91.43,
392,,91.49,
393,,91.45,
394,,91.43,
395,,91.55,
396,,91.47,
397,,91.43,
398,,91.45,
399,,91.44,
400,,91.41,
401,,91.4,
402,,91.4,
403,,91.39,
404,,91.49,
405,,91.44,
406,,91.4,
407,,91.41,
408,,91.41,
409,,91.46,
410,,91.41,
411,,91.42,
412,,91.46,
413,,91.45,
414,,91.42,
415,,91.51,
416,,91.42,
417,,91.46,
418,,91.44,
419,,91.44,
420,,91.47,
421,,91.5,
422,,91.45,
423,,91.42,
424,,91.45,
425,,91.47,
426,,91.45,
427,,91.48,
428,,91.47,
429,,91.48,
430,,91.39,
431,,91.46,
432,,91.49,
433,,91.52,
434,,91.5,
435,,91.45,
436,,91.48,
437,,91.5,
438,,91.5,
439,,91.46,
440,,91.5,
441,,91.46,
442,,91.46,
443,,91.5,
444,,91.56,
445,,91.47,
446,,91.42,
447,,91.44,
448,,91.52,
449,,91.5,
450,,91.49,
451,,91.51,
452,,91.5,
453,,91.58,
454,,91.5,
455,,91.53,
456,,91.42,
457,,91.53,
458,,91.43,
459,,91.61,
460,,91.49,
461,,91.51,
462,,91.52,
463,,91.51,
464,,91.42,
465,,91.5,
466,,91.54,
467,,91.51,
468,,91.52,
469,,91.52,
470,,91.54,
471,,91.53,
472,,91.55,
473,,91.54,
474,,91.54,
475,,91.55,
476,,91.54,
477,,91.53,
478,,91.47,
479,,91.5,
480,,91.55,
481,,91.56,
482,,91.55,
483,,91.54,
484,,91.58,
485,,91.57,
486,,91.57,
487,,91.56,
488,,91.56,
489,,91.5,
490,,91.57,
491,,91.54,
492,,91.55,
493,,91.55,
494,,91.56,
495,,91.49,
496,,91.57,
497,,91.57,
498,,91.58,
499,,91.58,
500,,91.56,
501,,91.58,
502,,91.63,
503,,91.6,
504,,91.57,
505,,91.59,
