Text,X,1: Assay1: 0.2uM,X,2: Assay1: 0.1uM,X,3: Assay1: neg,X,4: Assay2: 0.2uM,X,5: Assay2: 0.1uM,X,6: Assay2: neg,X,7: Assay3: 0.2uM,X,8: Assay3: 0.1uM,X,9: Assay3: neg
78,78,35.83123398,78.18,29.72610092,78.33,3.514152765,78.23,30.62638283,78.28,21.27717972,78.33,3.514152765,78.31,19.56053925,78.33,0,78.33,3.514152765
78.56,78.56,34.92637634,78.69,29.03181458,78.83,3.433279991,78.72,29.88479424,78.75,20.85908318,78.83,3.433279991,78.79,18.92118645,78.83,0,78.83,3.433279991
79,79,34.20157242,79.14,28.5435257,79.21,3.38597703,79.17,29.2622261,79.2,20.40436363,79.21,3.38597703,79.21,18.46646881,79.21,0,79.21,3.38597703
79.43,79.43,33.67208481,79.57,28.02319336,79.67,3.320363283,79.59,28.67933083,79.61,19.98779297,79.67,3.320363283,79.63,18.01022339,79.67,0,79.67,3.320363283
79.87,79.87,32.71992111,80.01,27.48912811,80.21,3.247119904,80.07,27.93621635,80.12,19.46440887,80.21,3.247119904,80.17,17.53566742,80.21,0,80.21,3.247119904
80.35,80.35,32.02716064,80.45,26.85740471,80.58,3.193713188,80.47,27.1625843,80.5,19.06004333,80.58,3.193713188,80.52,17.06721687,80.58,0,80.58,3.193713188
80.76,80.76,31.18181038,80.86,26.36148643,81.01,3.14183259,80.89,26.47745514,80.93,18.64652443,81.01,3.14183259,80.97,16.56061554,81.01,0,81.01,3.14183259
81.19,81.19,30.14572334,81.31,25.72365952,81.47,3.085374117,81.36,25.77706528,81.4,18.12314034,81.47,3.085374117,81.42,15.86022758,81.47,0,81.47,3.085374117
81.66,81.66,29.18745613,81.75,25.24605179,81.87,3.033493519,81.77,25.05989075,81.8,17.66689491,81.87,3.033493519,81.82,15.18272686,81.87,0,81.87,3.033493519
82.02,82.02,28.42450523,82.15,24.74860764,82.24,2.984664679,82.17,24.2862587,82.2,17.15571785,82.24,2.984664679,82.21,14.43350887,82.24,0,82.24,2.984664679
82.48,82.48,27.54253387,82.55,24.30914688,82.77,2.925154448,82.6,23.26543045,82.67,16.26306534,82.77,2.925154448,82.72,13.35011864,82.77,0,82.77,2.925154448
82.91,82.91,26.73075485,83.07,23.80712509,83.17,2.876325607,83.09,21.66475868,83.11,15.03929234,83.17,2.876325607,83.13,12.13855171,83.17,0,83.17,2.876325607
83.33,83.33,26.0440979,83.48,23.4073391,83.64,2.816815376,83.53,19.55901337,83.58,13.30891895,83.64,2.816815376,83.61,10.52414703,83.64,0,83.64,2.816815376
83.78,83.78,25.57412148,83.89,22.96940613,84.09,2.766460657,83.94,16.4553299,84,10.76523972,84.09,2.766460657,84.03,8.572518349,84.09,0,84.09,2.766460657
84.22,84.22,24.9546051,84.31,22.59556007,84.43,2.726787329,84.34,12.25757217,84.38,7.711909771,84.43,2.726787329,84.39,6.053254128,84.43,0,84.43,2.726787329
84.65,84.65,24.41290855,84.74,22.23086929,84.88,2.676432371,84.77,8.55725956,84.8,5.433737755,84.88,2.676432371,84.84,4.280155659,84.88,0,84.88,2.676432371
85.07,85.07,23.77813339,85.18,21.82650566,85.36,2.624551773,85.22,6.303502083,85.27,4.51209259,85.36,2.624551773,85.31,3.787289143,85.36,0,85.36,2.624551773
85.52,85.52,23.19218826,85.66,21.38399315,85.82,2.584878206,85.7,5.520714283,85.74,4.208438396,85.82,2.584878206,85.77,3.656061649,85.82,0,85.82,2.584878206
85.99,85.99,22.35904503,86.13,20.7553215,86.31,2.534523487,86.19,5.128557205,86.24,4.068055153,86.31,2.534523487,86.27,3.564507484,86.31,0,86.31,2.534523487
86.46,86.46,20.93385124,86.6,19.68566322,86.75,2.490272284,86.62,4.899672031,86.69,3.964293957,86.75,2.490272284,86.72,3.492790222,86.75,0,86.75,2.490272284
86.92,86.92,18.46494293,87.02,17.7264061,87.2,2.455176592,87.06,4.730296612,87.09,3.872739792,87.2,2.455176592,87.15,3.436331749,87.2,0,87.2,2.455176592
87.34,87.34,14.49912262,87.46,14.72037888,87.6,2.412451267,87.5,4.553292274,87.53,3.808651924,87.6,2.412451267,87.55,3.384451151,87.6,0,87.6,2.412451267
87.75,87.75,8.897535324,87.9,11.37102318,88.02,2.377355576,87.93,4.405279636,87.96,3.721675396,88.02,2.377355576,87.99,3.321889162,88.02,0,88.02,2.377355576
88.19,88.19,6.091401577,88.32,10.39749718,88.47,2.339208126,88.36,4.266422749,88.42,3.633173227,88.47,2.339208126,88.44,3.283741474,88.47,0,88.47,2.339208126
88.63,88.63,5.369649887,88.75,10.12588692,88.88,2.304112196,88.78,4.141298771,88.82,3.564507484,88.88,2.304112196,88.84,3.230334997,88.88,0,88.88,2.304112196
89.04,89.04,5.171282291,89.18,9.980926514,89.31,2.270542383,89.21,4.028381824,89.25,3.48363471,89.31,2.270542383,89.26,3.175402403,89.31,0,89.31,2.270542383
89.53,89.53,5.043106556,89.62,9.864957809,89.76,2.233920813,89.65,3.901731968,89.68,3.395132303,89.76,2.233920813,89.71,3.123521805,89.76,0,89.76,2.233920813
89.94,89.94,4.917982578,90.11,9.744411469,90.22,2.195773363,90.14,3.785763264,90.16,3.306630135,90.22,2.195773363,90.18,3.065537453,90.22,0,90.22,2.195773363
90.36,90.36,4.844739437,90.51,9.64827919,90.64,2.163729191,90.55,3.703364611,90.58,3.248645782,90.64,2.163729191,90.6,3.015182734,90.64,0,90.64,2.163729191
90.83,90.83,4.754711151,90.93,9.53231144,91.05,2.136263132,90.96,3.613336325,90.99,3.196765184,91.05,2.136263132,91.01,2.960250139,91.05,0,91.05,2.136263132
91.24,91.24,4.669260502,91.36,9.431601524,91.53,2.101167202,91.41,3.530937672,91.45,3.134203196,91.53,2.101167202,91.49,2.894636393,91.53,0,91.53,2.101167202
91.69,91.69,4.565499306,91.82,9.336995125,91.97,2.067597389,91.86,3.450064898,91.9,3.086900234,91.97,2.067597389,91.93,2.836652279,91.97,0,91.97,2.067597389
92.13,92.13,4.495307922,92.28,9.228656769,92.41,2.038605213,92.31,3.381399155,92.35,3.027390003,92.41,2.038605213,92.38,2.80003047,92.41,0,92.41,2.038605213
92.57,92.57,4.417486668,92.71,9.127946854,92.82,2.014190912,92.74,3.306630135,92.79,2.9831388,92.82,2.014190912,92.81,2.758831263,92.82,0,92.82,2.014190912
93.01,93.01,4.332036495,93.09,9.040970802,93.25,1.988250494,93.13,3.25169754,93.18,2.943465233,93.25,1.988250494,93.2,2.719157696,93.25,0,93.25,1.988250494
93.38,93.38,4.269474506,93.54,8.918898582,93.72,1.954680681,93.57,3.184557915,93.64,2.887006998,93.72,1.954680681,93.68,2.671854734,93.72,0,93.72,1.954680681
93.86,93.86,4.174868584,93.99,8.798352242,94.16,1.928740382,94.03,3.120470047,94.08,2.844281673,94.16,1.928740382,94.11,2.632181168,94.16,0,94.16,1.928740382
94.29,94.29,4.10925436,94.43,8.726634979,94.58,1.902800083,94.47,3.051804304,94.51,2.792401075,94.58,1.902800083,94.54,2.592507839,94.58,0,94.58,1.902800083
94.74,94.74,4.054322243,94.85,8.633554459,94.99,1.881437421,94.9,3.002975464,94.94,2.755779266,94.99,1.881437421,94.96,2.563515663,94.99,0,94.99,1.881437421
95.48,95.48,3.881895065,95.93,8.378728867,96.15,1.817349553,96,2.862592459,96.06,2.636759043,96.15,1.817349553,96.09,2.46890974,96.15,0,96.15,1.817349553
