X,1: Assay1: 0.2uM,X,2: Assay1: 0.1uM,X,3: Assay1: neg,X,4: Assay2: 0.2uM,X,5: Assay2: 0.1uM,X,6: Assay2: neg,X,7: Assay3: 0.2uM,X,8: Assay3: 0.1uM,X,9: Assay3: neg
86.16120482,4.168865999,86.16120482,2.752820891,86.16120482,0.096418398,86.16120482,1.150928203,86.16120482,0.480887421,86.16120482,0.096418398,86.16120482,0.283891012,86.16120482,0,86.16120482,0.096418398
86.58024096,5.883967708,86.58024096,3.859570671,86.58024096,0.094195174,86.58024096,0.5188579,86.58024096,0.150169138,86.58024096,0.094195174,86.58024096,0.057757115,86.58024096,0,86.58024096,0.094195174
86.99927711,7.360726998,86.99927711,4.765417156,86.99927711,0.092195584,86.99927711,0.24685632,86.99927711,0.045438198,86.99927711,0.092195584,86.99927711,-0.000766554,86.99927711,0,86.99927711,0.092195584
87.41831325,7.84680447,87.41831325,4.995011845,87.41831325,0.09041286,87.41831325,0.180019831,87.41831325,0.053973396,87.41831325,0.09041286,87.41831325,0.018367323,87.41831325,0,87.41831325,0.09041286
87.8373494,6.887614412,87.8373494,4.316295203,87.8373494,0.088272308,87.8373494,0.199388516,87.8373494,0.100240696,87.8373494,0.088272308,87.8373494,0.057437149,87.8373494,0,87.8373494,0.088272308
88.25638554,4.912455314,88.25638554,3.037717221,88.25638554,0.085942765,88.25638554,0.236350186,88.25638554,0.145105892,88.25638554,0.085942765,88.25638554,0.090835926,88.25638554,0,88.25638554,0.085942765
88.67542169,2.845397682,88.67542169,1.753370238,88.67542169,0.083849513,88.67542169,0.261702251,88.67542169,0.174705388,88.67542169,0.083849513,88.67542169,0.112919508,88.67542169,0,88.67542169,0.083849513
89.09445783,1.298483613,89.09445783,0.830407763,89.09445783,0.082068889,89.09445783,0.269466907,89.09445783,0.18829667,89.09445783,0.082068889,89.09445783,0.124233829,89.09445783,0,89.09445783,0.082068889
89.51349398,0.405559272,89.51349398,0.31771739,89.51349398,0.080533322,89.51349398,0.26239746,89.51349398,0.187843643,89.51349398,0.080533322,89.51349398,0.128256353,89.51349398,0,89.51349398,0.080533322
89.93253012,0.027261754,89.93253012,0.109121231,89.93253012,0.07881821,89.93253012,0.245764992,89.93253012,0.176371549,89.93253012,0.07881821,89.93253012,0.129297116,89.93253012,0,89.93253012,0.07881821
90.35156627,-0.050372554,90.35156627,0.076160951,90.35156627,0.076611797,90.35156627,0.226001166,90.35156627,0.159279336,90.35156627,0.076611797,90.35156627,0.129591059,90.35156627,0,90.35156627,0.076611797
90.77060241,0.001147537,90.77060241,0.116519507,90.77060241,0.074305119,90.77060241,0.207279279,90.77060241,0.142676299,90.77060241,0.074305119,90.77060241,0.129003928,90.77060241,0,90.77060241,0.074305119
91.18963855,0.081208938,91.18963855,0.166863991,91.18963855,0.07236979,91.18963855,0.190860561,91.18963855,0.129798381,91.18963855,0.07236979,91.18963855,0.125838566,91.18963855,0,91.18963855,0.07236979
91.6086747,0.143312386,91.6086747,0.204910598,91.6086747,0.070501974,91.6086747,0.17727599,91.6086747,0.120841875,91.6086747,0.070501974,91.6086747,0.118933083,91.6086747,0,91.6086747,0.070501974
92.02771084,0.177020404,92.02771084,0.228863109,92.02771084,0.06822678,92.02771084,0.166887276,92.02771084,0.115115116,92.02771084,0.06822678,92.02771084,0.109896742,92.02771084,0,92.02771084,0.06822678
92.44674699,0.190013681,92.44674699,0.241786617,92.44674699,0.065933408,92.44674699,0.159302562,92.44674699,0.111377407,92.44674699,0.065933408,92.44674699,0.102406425,92.44674699,0,92.44674699,0.065933408
92.86578313,0.190726852,92.86578313,0.247017505,92.86578313,0.06437707,92.86578313,0.15338588,92.86578313,0.109243189,92.86578313,0.06437707,92.86578313,0.097998421,92.86578313,0,92.86578313,0.06437707
93.28481928,0.185367669,93.28481928,0.245999017,93.28481928,0.063462751,93.28481928,0.148439715,93.28481928,0.108410643,93.28481928,0.063462751,93.28481928,0.095121914,93.28481928,0,93.28481928,0.063462751
93.70385542,0.178677902,93.70385542,0.238746317,93.70385542,0.062254391,93.70385542,0.144010614,93.70385542,0.107476185,93.70385542,0.062254391,93.70385542,0.092175884,93.70385542,0,93.70385542,0.062254391
94.12289157,0.174920964,94.12289157,0.229133939,94.12289157,0.060400602,94.12289157,0.139344687,94.12289157,0.106045848,94.12289157,0.060400602,94.12289157,0.088724874,94.12289157,0,94.12289157,0.060400602
94.54192771,0.178044102,94.54192771,0.224129208,94.54192771,0.058340659,94.54192771,0.134275475,94.54192771,0.104441201,94.54192771,0.058340659,94.54192771,0.08528754,94.54192771,0,94.54192771,0.058340659
94.96096386,0.185837651,94.96096386,0.224707407,94.96096386,0.056616686,94.96096386,0.130042787,94.96096386,0.103453253,94.96096386,0.056616686,94.96096386,0.08294539,94.96096386,0,94.96096386,0.056616686
95.38,0.185837651,95.38,0.224707407,95.38,0.056616686,95.38,0.130042787,95.38,0.103453253,95.38,0.056616686,95.38,0.08294539,95.38,0,95.38,0.056616686
