Index,Text,X,S1,X,S2,X,S3,X,S4,X,S5,X,S6,,,,,,,
40,76.5,76.5,24.26184464,76.57,21.32600975,76.61,22.46433258,76.63,31.19401932,76.67,23.45311737,76.7,29.23781204,,1.169860077,1.240285231,1.118997436,1.490690769,1.142472487,1.897596692
41,76.89,76.89,23.80559921,77,20.84229851,77.05,22.02792358,77.09,30.61264992,77.14,23.0075531,77.16,28.49774933,,0.988654292,0.82335075,0.998195,1.160323625,0.960048042,1.707104854
42,77.37,77.37,23.33104515,77.46,20.44709015,77.5,21.54878998,77.53,30.05569458,77.57,22.54673004,77.59,27.678339,,0.963728053,0.999867289,0.975774474,1.325125447,0.919552842,2.337039132
43,77.75,77.75,22.96482849,77.85,20.06714058,77.9,21.17799568,77.93,29.55214691,77.99,22.19729996,78.01,26.79026413,,1.138071208,1.068135104,0.93461275,1.109457021,0.829712562,1.643522583
44,78.23,78.23,22.41855431,78.29,19.55443573,78.31,20.72938156,78.32,29.01960754,78.35,21.79903793,78.4,26.00137329,,1.433543158,1.365280158,1.297017132,1.409450316,1.056083868,1.819038395
45,78.61,78.61,21.87380791,78.67,19.03562927,78.7,20.23651505,78.72,28.48401642,78.75,21.39772606,78.77,25.3101387,,1.390266417,1.763264333,1.458083278,1.996390028,1.224957583,1.814126972
46,78.97,78.97,21.373312,79.11,18.40085411,79.16,19.71160507,79.18,27.76531601,79.21,20.95674133,79.23,24.65705299,,1.561115949,1.764566462,1.345927897,1.416348179,1.162035026,1.467210821
47,79.36,79.36,20.76447678,79.48,17.71267319,79.53,19.18669319,79.55,27.21294022,79.58,20.50354767,79.62,24.08484077,,1.864992778,2.282074822,1.6920556,1.922637111,1.237674289,1.902292022
48,79.81,79.81,19.92523003,79.94,16.68573952,79.98,18.42526817,80,26.34775352,80.05,19.94659424,80.07,23.22880936,,1.889521021,2.697922319,2.139509468,1.89926066,1.389548128,1.853808957
49,80.28,80.28,19.03715515,80.39,15.41771603,80.45,17.41969872,80.48,25.45510101,80.54,19.29350662,80.6,22.35751915,,2.252363109,3.393473848,2.527688913,1.980358609,1.442971435,2.25899737
50,80.74,80.74,18.00106812,80.85,13.85671806,80.9,16.25696182,80.96,24.54413605,81.01,18.62973976,81.06,21.31838036,,2.70758786,3.818305698,2.764366953,2.256912419,1.312983302,2.28885386
51,81.17,81.17,16.83680534,81.28,12.21484661,81.35,15.06828403,81.38,23.57366371,81.44,18.06515694,81.49,20.3341732,,2.600669848,3.516207565,2.647107565,2.222513109,1.632051891,2.637158261
52,81.63,81.63,15.64049721,81.75,10.59739113,81.82,13.85061455,81.89,22.55130768,81.93,17.31441307,81.95,19.1210804,,2.548580979,2.675200526,2.473910319,1.756408362,1.960949191,2.769348468
53,82.1,82.1,14.44266415,82.19,9.340046883,82.23,12.6878767,82.26,21.72579575,82.31,16.39276695,82.33,17.81948662,,2.371017769,1.964109372,2.74662359,1.897596718,3.705203231,4.526847462
54,82.49,82.49,13.51796722,82.59,8.574044228,82.65,11.6166935,82.69,20.98573303,82.74,14.94773769,82.78,16.05401611,,1.914011913,1.529218841,1.973722304,1.429702913,5.493246978,4.554485239
55,82.95,82.95,12.63752174,83.07,7.870603561,83.11,10.70878124,83.15,20.32806969,83.18,12.42084408,83.21,13.9589529,,1.27260208,0.906386374,1.715112682,1.23903276,8.007934574,6.77195358
56,83.45,83.45,12.0012207,83.55,7.417410374,83.6,9.851224899,83.65,19.70855331,83.69,8.416876793,83.71,10.57297611,,1.064884915,0.620100347,1.749919323,1.181764787,5.697784019,8.366488391
57,83.92,83.92,11.50072479,84.04,7.125963211,84.08,9.028762817,84.1,19.15312386,84.14,5.738918304,84.15,6.640726566,,1.048569795,0.571235021,1.850644136,0.94292959,2.500133023,4.835936962
58,84.31,84.31,11.09178257,84.41,6.903181553,84.46,8.307011604,84.48,18.78538132,84.49,4.763866425,84.5,4.754711151,,1.055415472,0.597645178,1.627629333,1.212241917,1.309732597,2.521977158
